io,arm,seed,val_acc,test_acc_overall,test_macro_f1,test_acc_mean_per_batch,per_batch,wall_s
bio,connectome,0,0.9842,0.5495,0.5225,0.5979,"{""3"": 0.8953, ""4"": 0.7578, ""5"": 0.8477, ""6"": 0.6757, ""7"": 0.4456, ""8"": 0.2755, ""9"": 0.4553, ""10"": 0.43}",45.1
bio,connectome,1,0.9881,0.5717,0.5616,0.6279,"{""3"": 0.8953, ""4"": 0.7702, ""5"": 0.8883, ""6"": 0.6357, ""7"": 0.5262, ""8"": 0.3946, ""9"": 0.4787, ""10"": 0.4344}",39.3
bio,connectome,2,0.9842,0.4952,0.4965,0.5651,"{""3"": 0.8733, ""4"": 0.8199, ""5"": 0.9188, ""6"": 0.6578, ""7"": 0.3847, ""8"": 0.1837, ""9"": 0.3383, ""10"": 0.3439}",5.8
bio,connectome,3,0.9842,0.5455,0.5168,0.6015,"{""3"": 0.8619, ""4"": 0.677, ""5"": 0.8629, ""6"": 0.6487, ""7"": 0.4464, ""8"": 0.4116, ""9"": 0.466, ""10"": 0.4378}",6.1
bio,connectome,4,0.9921,0.5536,0.5575,0.6063,"{""3"": 0.9168, ""4"": 0.7578, ""5"": 0.8731, ""6"": 0.6613, ""7"": 0.4736, ""8"": 0.3061, ""9"": 0.4489, ""10"": 0.4125}",6.7
bio,connectome,5,0.9723,0.52,0.5066,0.5939,"{""3"": 0.8499, ""4"": 0.7329, ""5"": 0.8579, ""6"": 0.63, ""7"": 0.421, ""8"": 0.3061, ""9"": 0.566, ""10"": 0.3872}",5.3
bio,degree,0,0.9842,0.5722,0.5437,0.6428,"{""3"": 0.9388, ""4"": 0.8137, ""5"": 0.9289, ""6"": 0.6983, ""7"": 0.4583, ""8"": 0.3639, ""9"": 0.5, ""10"": 0.4406}",5.3
bio,degree,1,0.9723,0.5234,0.483,0.6009,"{""3"": 0.9149, ""4"": 0.8199, ""5"": 0.9137, ""6"": 0.6009, ""7"": 0.403, ""8"": 0.2789, ""9"": 0.4596, ""10"": 0.4161}",4.6
bio,degree,2,0.9684,0.4711,0.4474,0.5278,"{""3"": 0.8392, ""4"": 0.6087, ""5"": 0.934, ""6"": 0.6635, ""7"": 0.3308, ""8"": 0.1565, ""9"": 0.3532, ""10"": 0.3364}",4.1
bio,degree,3,0.9802,0.5928,0.5476,0.6541,"{""3"": 0.9571, ""4"": 0.8199, ""5"": 0.9594, ""6"": 0.7909, ""7"": 0.4697, ""8"": 0.3231, ""9"": 0.4766, ""10"": 0.4361}",6.1
bio,degree,4,0.996,0.5574,0.5396,0.6053,"{""3"": 0.8569, ""4"": 0.7578, ""5"": 0.8579, ""6"": 0.6678, ""7"": 0.5215, ""8"": 0.3095, ""9"": 0.4745, ""10"": 0.3967}",6.7
bio,degree,5,0.9605,0.5564,0.5479,0.6211,"{""3"": 0.8966, ""4"": 0.8012, ""5"": 0.9137, ""6"": 0.6604, ""7"": 0.4578, ""8"": 0.2381, ""9"": 0.5681, ""10"": 0.4331}",4.8
