io,arm,variant,seed,fraction,epoch,train_loss,val_auprc,val_loss
bio,connectome,standard,0,5,1,0.7910034358501434,0.8497,2.1497
bio,connectome,standard,0,5,2,0.7294499278068542,0.8448,0.593
bio,connectome,standard,0,5,3,0.4464822262525558,0.8564,1.7788
bio,connectome,standard,0,5,4,0.4685219526290893,0.9282,0.5283
bio,connectome,standard,0,5,5,0.3180852979421615,0.9647,0.513
bio,connectome,standard,0,5,6,0.2512077912688255,0.9167,0.8677
bio,connectome,standard,0,5,7,0.2724582999944687,0.9589,0.4909
bio,connectome,standard,0,5,8,0.208402544260025,0.9629,0.4525
bio,connectome,standard,0,5,9,0.1999963670969009,0.962,0.4779
bio,connectome,standard,0,5,10,0.1864814311265945,0.9575,0.3928
bio,connectome,standard,0,5,11,0.1752913296222686,0.9693,0.419
bio,connectome,standard,0,5,12,0.1676453277468681,0.9624,0.3426
bio,connectome,standard,0,5,13,0.1807637736201286,0.9695,0.4739
bio,connectome,standard,0,5,14,0.1667318567633628,0.9583,0.3314
bio,connectome,standard,0,5,15,0.2126223146915435,0.9696,0.2762
bio,connectome,standard,0,5,16,0.1574336737394333,0.9755,0.3982
bio,connectome,standard,0,5,17,0.1523099318146705,0.9651,0.3016
bio,connectome,standard,0,5,18,0.1865852773189544,0.9646,0.3085
bio,connectome,standard,0,5,19,0.153646532446146,0.979,0.4031
bio,connectome,standard,0,5,20,0.1599793061614036,0.974,0.3006
bio,connectome,standard,0,5,21,0.1378554105758667,0.9759,0.2648
bio,connectome,standard,0,5,22,0.1240006163716316,0.9795,0.3248
bio,connectome,standard,0,5,23,0.1403369605541229,0.9788,0.266
bio,connectome,standard,0,5,24,0.1261308006942272,0.9784,0.2708
bio,connectome,standard,0,5,25,0.1223745234310627,0.9767,0.2647
bio,connectome,standard,0,5,26,0.1312051974236965,0.9783,0.2566
bio,connectome,standard,0,5,27,0.1111034825444221,0.9748,0.2653
bio,connectome,standard,0,5,28,0.1143593303859233,0.9821,0.258
bio,connectome,standard,0,5,29,0.1095954105257988,0.9668,0.4029
bio,connectome,standard,0,5,30,0.1302801594138145,0.9746,0.3581
bio,connectome,standard,4,5,1,0.6271469295024872,0.8555,0.7964
bio,connectome,standard,4,5,2,0.9632515907287598,0.7775,1.2752
bio,connectome,standard,4,5,3,0.6334155201911926,0.9182,0.7377
bio,connectome,standard,4,5,4,0.2648171335458755,0.9539,0.4947
bio,connectome,standard,4,5,5,0.2666277587413788,0.9214,0.8697
bio,connectome,standard,4,5,6,0.248952142894268,0.9096,0.4781
bio,connectome,standard,4,5,7,0.3175486773252487,0.9497,0.4206
bio,connectome,standard,4,5,8,0.2264298051595688,0.9328,0.7767
bio,connectome,standard,4,5,9,0.2404013127088546,0.9585,0.4321
bio,connectome,standard,4,5,10,0.2026618421077728,0.9602,0.4218
bio,connectome,standard,4,5,11,0.189841978251934,0.9477,0.5567
bio,connectome,standard,4,5,12,0.1906650736927986,0.9512,0.415
bio,connectome,standard,4,5,13,0.188909076154232,0.9595,0.5584
bio,connectome,standard,4,5,14,0.1878298595547676,0.9546,0.4247
bio,connectome,standard,4,5,15,0.1792418509721756,0.9667,0.4799
bio,connectome,standard,4,5,16,0.1753192618489265,0.9616,0.4196
bio,connectome,standard,4,5,17,0.2090459764003753,0.9503,0.4092
bio,connectome,standard,4,5,18,0.1840278208255767,0.9679,0.5502
bio,connectome,standard,4,5,19,0.1880257502198219,0.9686,0.3729
bio,connectome,standard,4,5,20,0.1660487204790115,0.9698,0.3577
bio,connectome,standard,4,5,21,0.1571938097476959,0.9753,0.4438
bio,connectome,standard,4,5,22,0.1637270376086235,0.9684,0.3463
bio,connectome,standard,4,5,23,0.1589780822396278,0.9766,0.3806
bio,connectome,standard,4,5,24,0.154352493584156,0.9722,0.3299
bio,connectome,standard,4,5,25,0.1493628919124603,0.979,0.3709
