io,arm,variant,seed,fraction,n_train,params,epochs_ran,best_val_loss,wall_s,test_iid_auprc,test_iid_auroc,test_iid_recall,test_iid_specificity,test_iid_precision,test_iid_recall_at_fpr10,test_iid_recall_at_fpr05,test_iid_balanced_acc,test_iid_f1_at_0p5,test_iid_f1_best,test_iid_thr_f1_best,test_iid_accuracy,test_iid_n,test_iid_n_pos,test_low_auprc,test_low_auroc,test_low_recall,test_low_specificity,test_low_precision,test_low_recall_at_fpr10,test_low_recall_at_fpr05,test_low_balanced_acc,test_low_f1_at_0p5,test_low_f1_best,test_low_thr_f1_best,test_low_accuracy,test_low_n,test_low_n_pos,low_latency,low_worst_interferent
bio,connectome,standard,0,5,255,263508,30,0.2565,19.7,0.96798,0.91736,0.87069,0.72989,0.89579,0.72845,0.67672,0.80029,0.88306,0.91321,0.01378,0.83229,638,464,0.98122,0.86999,0.76796,0.72989,0.95789,0.61997,0.59411,0.74892,0.85247,0.95748,0.00058,0.76373,1566,1392,"{""pre"": 0.0772, ""0-5s"": 0.625, ""5-10s"": 0.44, ""10-30s"": 0.5625, ""30-60s"": 0.7153, "">60s"": 0.8283}","{""methane"": 0.7902, ""CO"": 0.7457, ""worst"": 0.7457}"
bio,connectome,graded_ln,0,10,510,263508,30,0.25,30.1,0.96914,0.91927,0.94828,0.62644,0.87129,0.72629,0.67457,0.78736,0.90815,0.91633,0.29496,0.8605,638,464,0.97629,0.83709,0.80316,0.62644,0.94505,0.57687,0.51509,0.7148,0.86835,0.95363,0.0099,0.78352,1566,1392,"{""pre"": 0.2572, ""0-5s"": 0.5833, ""5-10s"": 0.36, ""10-30s"": 0.4896, ""30-60s"": 0.6597, "">60s"": 0.7045}","{""methane"": 0.8333, ""CO"": 0.773, ""worst"": 0.773}"
bio,degree,standard,0,25,1276,263508,13,0.2333,26.6,0.96358,0.9086,0.9569,0.68966,0.89157,0.65086,0.64009,0.82328,0.92308,0.92451,0.48095,0.88401,638,464,0.9818,0.8711,0.87141,0.68966,0.95738,0.62428,0.58477,0.78053,0.91237,0.95225,0.00856,0.85121,1566,1392,"{""pre"": 0.2154, ""0-5s"": 0.5833, ""5-10s"": 0.36, ""10-30s"": 0.5521, ""30-60s"": 0.7153, "">60s"": 0.7866}","{""methane"": 0.9037, ""CO"": 0.8391, ""worst"": 0.8391}"
bio,degree,graded_ln,0,50,2552,263508,27,0.1736,104.0,0.97824,0.94404,0.875,0.78161,0.91441,0.76293,0.71767,0.8283,0.89427,0.93548,0.03015,0.84953,638,464,0.98845,0.91676,0.81609,0.78736,0.96846,0.70761,0.66667,0.80172,0.88577,0.96448,0.0005,0.8129,1566,1392,"{""pre"": 0.3537, ""0-5s"": 0.625, ""5-10s"": 0.36, ""10-30s"": 0.6042, ""30-60s"": 0.7431, "">60s"": 0.8662}","{""methane"": 0.8434, ""CO"": 0.7888, ""worst"": 0.7888}"
bio,random,standard,0,100,5104,263508,25,0.1997,183.9,0.97821,0.94398,0.88362,0.78161,0.91518,0.75647,0.73491,0.83261,0.89912,0.93902,0.15601,0.8558,638,464,0.98763,0.91154,0.7773,0.78161,0.96607,0.6796,0.65517,0.77945,0.86146,0.96154,0.00137,0.77778,1566,1392,"{""pre"": 0.135, ""0-5s"": 0.5417, ""5-10s"": 0.44, ""10-30s"": 0.6042, ""30-60s"": 0.7639, "">60s"": 0.899}","{""methane"": 0.7902, ""CO"": 0.7644, ""worst"": 0.7644}"
bio,spectrum,standard,1,5,255,12247627,18,0.6854,5.6,0.66715,0.41264,1.0,0.0,0.72727,0.0,0.0,0.5,0.84211,0.84211,0.50031,0.72727,638,464,0.85585,0.43244,1.0,0.0,0.88889,0.02371,0.00862,0.5,0.94118,0.94118,0.50031,0.88889,1566,1392,"{""pre"": 0.0804, ""0-5s"": 0.0417, ""5-10s"": 0.0, ""10-30s"": 0.0208, ""30-60s"": 0.0139, "">60s"": 0.0038}","{""methane"": 1.0, ""CO"": 1.0, ""worst"": 1.0}"
bio,dense,standard,1,10,510,12247627,22,0.6763,10.9,0.70926,0.48385,0.39655,0.77586,0.82511,0.00216,0.0,0.58621,0.53566,0.84211,0.4552,0.5,638,464,0.89076,0.48237,0.36279,0.77586,0.92831,0.05675,0.02514,0.56932,0.52169,0.94118,0.4552,0.40868,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0417, ""30-60s"": 0.0486, "">60s"": 0.0859}","{""methane"": 0.3348, ""CO"": 0.3908, ""worst"": 0.3348}"
generic,connectome,standard,1,25,1276,300871,18,0.2138,36.3,0.97755,0.94133,0.96336,0.66667,0.88515,0.75,0.73276,0.81501,0.9226,0.93051,0.25824,0.88245,638,464,0.98217,0.87683,0.84124,0.67241,0.95358,0.5898,0.55891,0.75682,0.89389,0.95592,0.02366,0.82248,1566,1392,"{""pre"": 0.0804, ""0-5s"": 0.4167, ""5-10s"": 0.36, ""10-30s"": 0.4896, ""30-60s"": 0.6806, "">60s"": 0.798}","{""methane"": 0.8879, ""CO"": 0.7945, ""worst"": 0.7945}"
generic,degree,standard,1,50,2552,300871,15,0.1854,55.7,0.97467,0.935,0.97414,0.65517,0.88281,0.72629,0.70474,0.81466,0.92623,0.92966,0.45385,0.88715,638,464,0.98175,0.87725,0.87284,0.65517,0.95294,0.56394,0.54095,0.76401,0.91114,0.96412,0.00769,0.84866,1566,1392,"{""pre"": 0.1029, ""0-5s"": 0.375, ""5-10s"": 0.28, ""10-30s"": 0.4167, ""30-60s"": 0.6458, "">60s"": 0.7626}","{""methane"": 0.9267, ""CO"": 0.819, ""worst"": 0.819}"
generic,random,standard,1,100,5104,300871,16,0.1811,114.9,0.97511,0.93487,0.96767,0.67816,0.88911,0.73922,0.73922,0.82292,0.92673,0.93401,0.40539,0.88871,638,464,0.98296,0.88066,0.875,0.67816,0.95604,0.60273,0.59339,0.77658,0.91373,0.95413,0.03478,0.85313,1566,1392,"{""pre"": 0.0643, ""0-5s"": 0.375, ""5-10s"": 0.36, ""10-30s"": 0.5, ""30-60s"": 0.7014, "">60s"": 0.8232}","{""methane"": 0.9296, ""CO"": 0.8204, ""worst"": 0.8204}"
