task,model,fraction,test_acc_mean
cifar10,connectome_frozen,5,0.3652333333333333
cifar10,connectome_frozen,10,0.3929
cifar10,connectome_frozen,15,0.39843333333333336
cifar10,connectome_frozen,20,0.4188
cifar10,connectome_frozen,30,0.4345666666666667
cifar10,connectome_frozen,50,0.4504666666666666
cifar10,connectome_frozen,75,0.4683
cifar10,connectome_frozen,100,0.46823333333333333
cifar10,connectome_trainable,5,0.3745333333333334
cifar10,connectome_trainable,10,0.40746666666666664
cifar10,connectome_trainable,15,0.41956666666666664
cifar10,connectome_trainable,20,0.42323333333333335
cifar10,connectome_trainable,30,0.4421333333333333
cifar10,connectome_trainable,50,0.4764333333333333
cifar10,connectome_trainable,75,0.4889333333333334
cifar10,connectome_trainable,100,0.5008333333333334
cifar10,dense_trainable,5,0.37766666666666665
cifar10,dense_trainable,10,0.42569999999999997
cifar10,dense_trainable,15,0.44259999999999994
cifar10,dense_trainable,20,0.4578
cifar10,dense_trainable,30,0.48536666666666667
cifar10,dense_trainable,50,0.515
cifar10,dense_trainable,75,0.5313666666666667
cifar10,dense_trainable,100,0.5475333333333333
cifar10,mlp,5,0.37189999999999995
cifar10,mlp,10,0.39153333333333334
cifar10,mlp,15,0.41816666666666663
cifar10,mlp,20,0.4201333333333333
cifar10,mlp,30,0.44156666666666666
cifar10,mlp,50,0.4757
cifar10,mlp,75,0.4869666666666667
cifar10,mlp,100,0.49266666666666664
cifar10,random_sparse_frozen,5,0.3753666666666667
cifar10,random_sparse_frozen,10,0.39586666666666664
cifar10,random_sparse_frozen,15,0.41136666666666666
cifar10,random_sparse_frozen,20,0.42216666666666663
cifar10,random_sparse_frozen,30,0.4386333333333334
cifar10,random_sparse_frozen,50,0.46270000000000006
cifar10,random_sparse_frozen,75,0.48186666666666667
cifar10,random_sparse_frozen,100,0.49100000000000005
cifar10,weight_shuffle_frozen,5,0.3707666666666667
cifar10,weight_shuffle_frozen,10,0.39303333333333335
cifar10,weight_shuffle_frozen,15,0.4121666666666666
cifar10,weight_shuffle_frozen,20,0.4241333333333333
cifar10,weight_shuffle_frozen,30,0.4376
cifar10,weight_shuffle_frozen,50,0.45986666666666665
cifar10,weight_shuffle_frozen,75,0.47326666666666667
cifar10,weight_shuffle_frozen,100,0.4849666666666666
mnist,connectome_frozen,5,0.9054333333333333
mnist,connectome_frozen,10,0.9236333333333334
mnist,connectome_frozen,15,0.9318333333333334
mnist,connectome_frozen,20,0.9381
mnist,connectome_frozen,30,0.9463666666666667
mnist,connectome_frozen,50,0.9556666666666667
mnist,connectome_frozen,75,0.9611333333333333
mnist,connectome_frozen,100,0.9653
mnist,connectome_trainable,5,0.8991333333333333
mnist,connectome_trainable,10,0.9250333333333334
mnist,connectome_trainable,15,0.9329000000000001
mnist,connectome_trainable,20,0.9426
mnist,connectome_trainable,30,0.9552666666666667
mnist,connectome_trainable,50,0.9627333333333333
mnist,connectome_trainable,75,0.9695333333333332
mnist,connectome_trainable,100,0.9744999999999999
mnist,dense_trainable,5,0.8930666666666666
mnist,dense_trainable,10,0.9162
mnist,dense_trainable,15,0.9239333333333333
mnist,dense_trainable,20,0.9373
mnist,dense_trainable,30,0.9529
mnist,dense_trainable,50,0.9612999999999999
mnist,dense_trainable,75,0.9655
mnist,dense_trainable,100,0.9705
mnist,mlp,5,0.9208
mnist,mlp,10,0.9434333333333335
mnist,mlp,15,0.9517333333333333
mnist,mlp,20,0.9569333333333333
mnist,mlp,30,0.9623666666666667
mnist,mlp,50,0.9703333333333334
mnist,mlp,75,0.9690333333333333
mnist,mlp,100,0.9708333333333333
mnist,random_sparse_frozen,5,0.9010666666666666
mnist,random_sparse_frozen,10,0.9161333333333334
mnist,random_sparse_frozen,15,0.9269333333333334
mnist,random_sparse_frozen,20,0.9333333333333332
mnist,random_sparse_frozen,30,0.9426
mnist,random_sparse_frozen,50,0.9542333333333334
mnist,random_sparse_frozen,75,0.9609333333333333
mnist,random_sparse_frozen,100,0.9667666666666667
mnist,weight_shuffle_frozen,5,0.9017333333333334
mnist,weight_shuffle_frozen,10,0.9241999999999999
mnist,weight_shuffle_frozen,15,0.9310999999999999
mnist,weight_shuffle_frozen,20,0.9379666666666667
mnist,weight_shuffle_frozen,30,0.9456666666666665
mnist,weight_shuffle_frozen,50,0.9551666666666666
mnist,weight_shuffle_frozen,75,0.9626
mnist,weight_shuffle_frozen,100,0.9664666666666667
