task,model,test_acc_mean,test_acc_std,trainable_params,N
cifar10,connectome_frozen,0.46823333333333333,0.006474823034904779,1937764,407331
cifar10,connectome_trainable,0.5008333333333334,0.004215843134336585,2345095,407331
cifar10,dense_trainable,0.5475333333333333,0.005345403009440309,26937764,25000000
cifar10,mlp,0.49266666666666664,0.009261389384608177,1939217,0
cifar10,random_sparse_frozen,0.49100000000000005,0.004693612681080558,1937764,407331
cifar10,weight_shuffle_frozen,0.4849666666666666,0.0013428824718989113,1937764,407331
mnist,connectome_frozen,0.9653,0.0008888194417315359,503188,407331
mnist,connectome_trainable,0.9744999999999999,0.0016093476939431327,910519,407331
mnist,dense_trainable,0.9705,0.001014889156509225,25503188,25000000
mnist,mlp,0.9708333333333333,0.0002516611478423306,503245,0
mnist,random_sparse_frozen,0.9667666666666667,0.0006350852961085425,503188,407331
mnist,weight_shuffle_frozen,0.9664666666666667,0.002119748412744623,503188,407331
