rank,model,test_ccnlab_score_mean,test_ccnlab_score_std,test_ccnlab_correlation_mean,test_ccnlab_correlation_std,test_ccnlab_ratio_mean,test_ccnlab_ratio_std,test_ccnlab_finite_score_count_mean,test_ccnlab_finite_score_count_std,runtime,init_nonzero_edges,trainable_params,recurrent_params,N,input_dim,feature_dim,encoded_dim,subjects,test_ccnlab_experiment_count,delta_vs_random_sparse_rescorla_wagner,delta_vs_degree_preserving_rescorla_wagner,delta_vs_weight_shuffle_rescorla_wagner,delta_vs_random_sparse_kalman_filter,delta_vs_degree_preserving_kalman_filter,delta_vs_weight_shuffle_kalman_filter,delta_vs_random_sparse_temporal_difference,delta_vs_degree_preserving_temporal_difference,delta_vs_weight_shuffle_temporal_difference
1,kalman_filter,0.7061162832638247,0.006211568003937851,0.8236728697756235,0.007246829337927534,0.0007767641930317,0.0,7.0,0.0,ccnlab_baseline,0,30,0,0,5,5,5,20,7,0.01821161459065157,0.021882894027558386,0.022358305459948435,0.02659209488936376,0.027748151716252667,0.030812771694488927,0.07338213857793252,0.08172295482539382,0.0776247900191186
2,random_sparse_rescorla_wagner,0.6879046686731731,0.017073339006303517,0.8019293813794965,0.02037928649648088,0.0037563924352327998,0.0028323982500254932,7.0,0.0,graph_feature_rescorla_wagner,574660,133,574660,14025,5,128,133,20,7,0.0,0.003671279436906816,0.004146690869296865,0.00838048029871219,0.009536537125601097,0.012601157103837357,0.05517052398728095,0.06351134023474225,0.059413175428467024
3,temporal_difference,0.6870430917883237,0.004897128947118484,0.79303811969024,0.005713317104971637,0.051072924376825105,0.0,7.0,0.0,ccnlab_baseline,0,40,0,0,5,5,5,20,7,-0.0008615768848494465,0.0028097025520573693,0.0032851139844474186,0.007518903413862743,0.00867496024075165,0.01173958021898791,0.054308947102431504,0.0626497633498928,0.05855159854361758
4,degree_preserving_rescorla_wagner,0.6842333892362663,0.018541093928800406,0.7976165273237251,0.022074224683374416,0.00393456071151318,0.002809734412018478,7.0,0.0,graph_feature_rescorla_wagner,574660,133,574660,14025,5,128,133,20,7,-0.003671279436906816,0.0,0.00047541143239004935,0.004709200861805374,0.005865257688694281,0.008929877666930541,0.051499244550374135,0.05984006079783544,0.05574189599156021
5,weight_shuffle_rescorla_wagner,0.6837579778038763,0.015456171573254485,0.7970477235562123,0.01837240959956218,0.004019503289858719,0.0021353885841941503,7.0,0.0,graph_feature_rescorla_wagner,574660,133,574660,14025,5,128,133,20,7,-0.004146690869296865,-0.00047541143239004935,0.0,0.0042337894294153244,0.0053898462563042315,0.008454466234540492,0.051023833117984085,0.05936464936544539,0.05526648455917016
6,connectome_rescorla_wagner,0.6826898564183963,0.012659990981345983,0.795778068609496,0.015069325441269684,0.00416058327179878,0.001976065829647728,7.0,0.0,graph_feature_rescorla_wagner,574660,133,574660,14025,5,128,133,20,7,-0.005214812254776824,-0.001543532817870008,-0.0010681213854799587,0.0031656680439353657,0.004321724870824273,0.007386344849060533,0.04995571173250413,0.05829652797996543,0.0541983631736902
7,rescorla_wagner,0.6822948967669173,0.007017759797491695,0.7960106415536591,0.008187386430406961,4.280464678141814e-07,0.0,7.0,0.0,ccnlab_baseline,0,5,0,0,5,5,5,20,7,-0.005609771906255778,-0.0019384924693489625,-0.0014630810369589131,0.0027707083924564113,0.003926765219345318,0.006991385197581579,0.04956075208102517,0.057901568328486475,0.053803403522211246
8,random_sparse_kalman_filter,0.6795241883744609,0.020420842750153684,0.7919324651600809,0.02416998297127845,0.00507452766074186,0.0021419224190878617,7.0,0.0,graph_feature_kalman_filter,574660,17822,574660,14025,5,128,133,20,7,-0.00838048029871219,-0.004709200861805374,-0.0042337894294153244,0.0,0.001156056826888907,0.0042206768051251675,0.04679004368856876,0.05513085993603006,0.051032695129754835
9,degree_preserving_kalman_filter,0.678368131547572,0.02351835555863213,0.7905678158445089,0.027738961557154794,0.00517002576595042,0.001989330690256573,7.0,0.0,graph_feature_kalman_filter,574660,17822,574660,14025,5,128,133,20,7,-0.009536537125601097,-0.005865257688694281,-0.0053898462563042315,-0.001156056826888907,0.0,0.0030646199782362604,0.045633986861679854,0.053974803109141156,0.04987663830286593
10,weight_shuffle_kalman_filter,0.6753035115693358,0.019145721590445645,0.7869961445607956,0.02260278994451594,0.00514771362057676,0.001752780453939711,7.0,0.0,graph_feature_kalman_filter,574660,17822,574660,14025,5,128,133,20,7,-0.012601157103837357,-0.008929877666930541,-0.008454466234540492,-0.0042206768051251675,-0.0030646199782362604,0.0,0.04256936688344359,0.050910183130904896,0.04681201832462967
11,connectome_kalman_filter,0.6741637931633415,0.017147088712236403,0.7856465153118204,0.020255698796471294,0.00526746027246772,0.001620341554382068,7.0,0.0,graph_feature_kalman_filter,574660,17822,574660,14025,5,128,133,20,7,-0.013740875509831607,-0.010069596072924791,-0.009594184640534742,-0.0053603952111194175,-0.00420433838423051,-0.00113971840599425,0.04142964847744934,0.049770464724910646,0.04567229991863542
12,random_sparse_temporal_difference,0.6327341446858922,0.03110057986195096,0.7264716167970879,0.0361605853707268,0.07030931201871789,0.0040272422949479796,7.0,0.0,graph_feature_temporal_difference,574660,1064,574660,14025,5,128,1064,20,7,-0.05517052398728095,-0.051499244550374135,-0.051023833117984085,-0.04679004368856876,-0.045633986861679854,-0.04256936688344359,0.0,0.008340816247461302,0.004242651441186074
13,weight_shuffle_temporal_difference,0.6284914932447061,0.03480801629994788,0.7215330288075568,0.04070359019949188,0.07024227986760184,0.00410115081369328,7.0,0.0,graph_feature_temporal_difference,574660,1064,574660,14025,5,128,1064,20,7,-0.059413175428467024,-0.05574189599156021,-0.05526648455917016,-0.051032695129754835,-0.04987663830286593,-0.04681201832462967,-0.004242651441186074,0.0040981648062752285,0.0
14,connectome_temporal_difference,0.6276662429776466,0.02713147132271082,0.7205070753681714,0.03167457949950512,0.07062124863449823,0.003565666047758548,7.0,0.0,graph_feature_temporal_difference,574660,1064,574660,14025,5,128,1064,20,7,-0.06023842569552651,-0.056567146258619694,-0.056091734826229644,-0.05185794539681432,-0.05070188856992541,-0.04763726859168915,-0.005067901708245559,0.0032729145392157433,-0.0008252502670594852
15,degree_preserving_temporal_difference,0.6243933284384309,0.02892163409400334,0.7168225336553931,0.033530139642486495,0.069818097136657,0.003791079107077654,7.0,0.0,graph_feature_temporal_difference,574660,1064,574660,14025,5,128,1064,20,7,-0.06351134023474225,-0.05984006079783544,-0.05936464936544539,-0.05513085993603006,-0.053974803109141156,-0.050910183130904896,-0.008340816247461302,0.0,-0.0040981648062752285
