model,kind,method,acc_final,acc_final_se,forgetting,forgetting_se,learning_acc,trainable_params,replay_floats
bio_connectome_full,bio,plastic,0.6948000000000002,0.002354428451521393,0.04195833333333333,0.008546848021996827,0.7251666666666666,23038,230360
bio_shuffle_full,bio,plastic,0.7001333333333334,0.0032986529237115673,0.044750000000000005,0.008016584372411989,0.7336666666666667,23038,230360
bio_random_full,bio,plastic,0.7039666666666666,0.0023447340526758526,0.050749999999999997,0.0066532416910856425,0.7418666666666667,23038,230360
bio_connectome_replay,bio,plastic,0.6996000000000001,0.0008888194417315703,0.05591666666666666,0.004024879225241147,0.7438666666666666,23038,230360
bio_connectome_consol,bio,plastic,0.6576666666666666,0.007282246295691388,0.13570833333333335,0.006581355188037745,0.7662333333333334,23038,230360
bio_connectome_plain,bio,plastic,0.6437333333333334,0.010222578496206843,0.16575,0.011973277537917517,0.7763333333333332,23038,230360
mlp_joint,nonbio,joint,0.7511333333333333,0.0023132468763863013,0.0,0.0,0.7511333333333333,4198402,0
mlp_er,nonbio,er,0.7191333333333333,0.004470023614155904,0.09937499999999999,0.005882087922951627,0.7986333333333334,4198402,7682500
mlp_ewc,nonbio,ewc,0.6136333333333334,0.017695793599358897,0.252375,0.024360893353898176,0.8155333333333333,4198402,0
mlp_naive,nonbio,naive,0.5916666666666667,0.023037963837496032,0.28345833333333337,0.028265973851572455,0.8184333333333335,4198402,0
