model,kind,method,acc_final,acc_final_se,forgetting,forgetting_se,learning_acc,trainable_params,replay_floats
bio_connectome_full,bio,plastic,0.698,0.001985782801147529,0.04108333333333331,0.007068243731256333,0.7282666666666667,23038,230360
bio_shuffle_full,bio,plastic,0.6958666666666667,0.0036177033844385286,0.04487499999999999,0.008519585279421378,0.7298,23038,230360
bio_random_full,bio,plastic,0.7045333333333333,0.0004910306620885241,0.047375,0.0067884706181387585,0.7401666666666666,23038,230360
bio_connectome_replay,bio,plastic,0.6996333333333333,0.0009562658858520925,0.061875000000000006,0.002500000000000007,0.7484000000000001,23038,230360
bio_connectome_consol,bio,plastic,0.6585,0.009033456333725935,0.13720833333333335,0.008933881357568577,0.7682666666666665,23038,230360
bio_connectome_plain,bio,plastic,0.6426666666666666,0.01338772240192898,0.169125,0.015553503088800706,0.7779666666666666,23038,230360
mlp_joint,nonbio,joint,0.7511333333333333,0.0023132468763863013,0.0,0.0,0.7511333333333333,4198402,0
mlp_er,nonbio,er,0.7191333333333333,0.004470023614155904,0.09937499999999999,0.005882087922951627,0.7986333333333334,4198402,7682500
mlp_ewc,nonbio,ewc,0.6136333333333334,0.017695793599358897,0.252375,0.024360893353898176,0.8155333333333333,4198402,0
mlp_naive,nonbio,naive,0.5916666666666667,0.023037963837496032,0.28345833333333337,0.028265973851572455,0.8184333333333335,4198402,0
