model,kind,method,acc_final,acc_final_se,forgetting,forgetting_se,learning_acc,trainable_params,replay_floats
mlp_joint,nonbio,joint,0.7511333333333333,0.0023132468763863013,0.0,0.0,0.7511333333333333,4198402,0
mlp_er,nonbio,er,0.7195,0.0054884727687521005,0.09516666666666666,0.006677205212096184,0.7956333333333333,4198402,7682500
mlp_ewc,nonbio,ewc,0.6136333333333334,0.017695793599358897,0.252375,0.024360893353898176,0.8155333333333333,4198402,0
mlp_naive,nonbio,naive,0.5916666666666667,0.023037963837496032,0.28345833333333337,0.028265973851572455,0.8184333333333335,4198402,0
tbio_random_full,tbio,trainable_bio,0.7156000000000001,0.003235737937472721,0.08599999999999998,0.003236349538188576,0.7844000000000001,86554,21780
tbio_connectome_full,tbio,trainable_bio,0.7119333333333332,0.00409891584581962,0.08650000000000002,0.004760405269862361,0.7811333333333333,86554,21780
tbio_shuffle_full,tbio,trainable_bio,0.7127333333333333,0.001961575330640615,0.08950000000000001,0.003953505828164842,0.7843333333333332,86554,21780
tbio_connectome_replay,tbio,trainable_bio,0.6988,0.003611555528208441,0.12429166666666665,0.005448782993578585,0.7982333333333335,86554,21780
tbio_connectome_ewc,tbio,trainable_bio,0.6753,0.011939988833048932,0.16879166666666667,0.015417342327536361,0.8103333333333333,86554,21780
tbio_connectome_plain,tbio,trainable_bio,0.6326999999999999,0.01730780170905588,0.24033333333333332,0.02180898769875492,0.8249666666666666,86554,21780
