mode,region,arm,seed,gain,sigma,change_snr,readout_base,recall_at_fpr10,auroc,auprc,wall_s
gain,AL,connectome,0,0.25,0.0,0.15951,4.3655,0.6336206896551724,0.8784020346148764,0.98276645697635,60.6
gain,AL,degree,0,0.5,0.0,0.11893,7.7893,0.6795977011494253,0.9093712841854936,0.9871544141422678,101.0
gain,AL,random,0,1.0,0.0,0.06269,15.6447,0.5826149425287356,0.8563011956665345,0.9790578204686736,60.8
gain,AL,connectome,0,4.0,0.0,0.15951,4.3655,0.694683908045977,0.9008868410622276,0.986526176963505,183.4
gain,AL,degree,0,8.0,0.0,0.11893,7.7893,0.6774425287356322,0.8987110252345092,0.985984508720604,182.0
gain,AL,random,0,16.0,0.0,0.06269,15.6447,0.6882183908045977,0.8953915642753336,0.9856650228060148,174.2
gain,AL,degree,1,0.25,0.0,0.11744,7.767,0.5352011494252874,0.8482337495045581,0.9771653910963471,88.8
gain,AL,random,1,0.5,0.0,0.06352,15.4404,0.576867816091954,0.8540386775003302,0.9787260492020502,88.0
gain,AL,connectome,1,2.0,0.0,0.15951,4.3655,0.7205459770114943,0.905973378253402,0.9871679385562526,74.7
gain,AL,degree,1,4.0,0.0,0.11744,7.767,0.6558908045977011,0.8973072730875942,0.9856055117651354,88.9
gain,AL,random,1,8.0,0.0,0.06352,15.4404,0.6602011494252874,0.8929226119698771,0.9852635847679944,88.6
gain,AL,connectome,1,32.0,0.0,0.15951,4.3655,0.7061781609195402,0.8990165477606025,0.9864048510335508,108.4
gain,AL,connectome,5,0.25,0.0,0.15951,4.3655,0.6099137931034483,0.8693560906328445,0.9812852759738868,54.6
gain,AL,degree,5,0.5,0.0,0.11997,7.6216,0.6221264367816092,0.8721759809750297,0.9815980772786916,116.9
gain,AL,random,5,1.0,0.0,0.06387,15.4676,0.6379310344827587,0.8919358567842516,0.9847051603712812,67.9
gain,AL,connectome,5,4.0,0.0,0.15951,4.3655,0.7492816091954023,0.9195650019817676,0.9890874216764506,75.1
gain,AL,degree,5,8.0,0.0,0.11997,7.6216,0.701867816091954,0.902236920332937,0.9867524688874012,148.5
gain,AL,random,5,16.0,0.0,0.06387,15.4676,0.6932471264367817,0.9203453230281412,0.988974369079002,82.4
gain,AL,degree,5,0.25,0.0,0.11997,7.6216,0.480603448275862,0.8410044259479456,0.9752380680832468,62.3
gain,AL,random,5,0.5,0.0,0.06387,15.4676,0.6027298850574713,0.8665238142423042,0.9806521941655196,67.4
gain,AL,connectome,5,2.0,0.0,0.15951,4.3655,0.7004310344827587,0.9135866693090235,0.9882127749084604,110.5
gain,AL,degree,5,4.0,0.0,0.11997,7.6216,0.6781609195402298,0.9045324679614216,0.986805321495605,83.0
gain,AL,random,5,8.0,0.0,0.06387,15.4676,0.6724137931034483,0.9013781543136478,0.986370390726796,73.9
gain,AL,connectome,5,32.0,0.0,0.15951,4.3655,0.694683908045977,0.8994913462808826,0.9863259319383658,162.2
gain,AL,connectome,4,0.25,0.0,0.15951,4.3655,0.6063218390804598,0.8613712181265689,0.9800967768078472,82.2
gain,AL,degree,4,0.5,0.0,0.11724,7.8756,0.6602011494252874,0.8778446624388955,0.9829455564931802,80.1
