mode,region,arm,seed,gain,sigma,change_snr,readout_base,recall_at_fpr10,auroc,auprc,wall_s
nuisance,AL,connectome,0,1.0,0.0,0.15951,4.3655,0.6479885057471264,0.8777208019553442,0.9830170729593858,100.1
nuisance,AL,degree,0,1.0,0.25,0.11893,7.7893,0.540948275862069,0.8249727506936188,0.9742467805562764,98.4
nuisance,AL,random,0,1.0,0.5,0.06269,15.6447,0.4238505747126437,0.7863860813845951,0.9664229048323468,99.4
nuisance,AL,connectome,0,1.0,1.5,0.15951,4.3655,0.4820402298850574,0.802326925617651,0.969679142259176,187.0
nuisance,AL,degree,0,1.0,2.0,0.11893,7.7893,0.4619252873563218,0.7861507464658475,0.9671165430455896,149.9
nuisance,AL,connectome,0,1.0,0.25,0.15951,4.3655,0.5747126436781609,0.8435229224468226,0.9770468528526506,95.6
nuisance,AL,degree,0,1.0,0.5,0.11893,7.7893,0.5172413793103449,0.8062078874355926,0.9713896600521618,101.9
nuisance,AL,random,0,1.0,1.0,0.06269,15.6447,0.3900862068965517,0.7620970405601797,0.96125152133948,103.8
nuisance,AL,connectome,0,1.0,2.0,0.15951,4.3655,0.4834770114942529,0.7948952966045713,0.968658697560116,147.8
nuisance,AL,random,1,1.0,0.0,0.06352,15.4404,0.665948275862069,0.8975838948341921,0.9857312431180396,90.4
nuisance,AL,connectome,1,1.0,0.5,0.15951,4.3655,0.5186781609195402,0.816129112168054,0.9723291825865684,88.5
nuisance,AL,degree,1,1.0,1.0,0.11744,7.767,0.4942528735632184,0.8011997952173339,0.9702011768537748,89.4
nuisance,AL,random,1,1.0,1.5,0.06352,15.4404,0.5208333333333334,0.8128385519883736,0.9725914177094764,156.1
nuisance,AL,random,4,1.0,0.0,0.06302,15.6522,0.6752873563218391,0.8996028207160788,0.9859888029349474,97.4
nuisance,AL,connectome,4,1.0,0.5,0.15951,4.3655,0.5265804597701149,0.8284614876469811,0.9747734076103484,95.5
nuisance,AL,degree,4,1.0,1.0,0.11724,7.8756,0.4655172413793103,0.7831657088122606,0.9668996493200064,74.9
nuisance,AL,random,4,1.0,1.5,0.06302,15.6522,0.4885057471264368,0.8062140804597702,0.9709517049013482,120.6
nuisance,AL,random,0,1.0,0.0,0.06269,15.6447,0.7176724137931034,0.9132274739067248,0.9881344304589366,97.3
nuisance,AL,connectome,0,1.0,0.5,0.15951,4.3655,0.4856321839080459,0.7998786167261197,0.969658138222951,174.9
nuisance,AL,degree,0,1.0,1.0,0.11893,7.7893,0.540948275862069,0.823498810939358,0.9741561591806848,162.2
nuisance,AL,random,0,1.0,1.5,0.06269,15.6447,0.3843390804597701,0.7635420795349451,0.9613374385911022,82.9
nuisance,AL,random,5,1.0,0.0,0.06387,15.4676,0.6487068965517241,0.8935832012154842,0.9851542346417844,76.0
nuisance,AL,connectome,5,1.0,0.5,0.15951,4.3655,0.5524425287356322,0.8207284647905932,0.9737668817891684,161.4
nuisance,AL,degree,5,1.0,1.0,0.11997,7.6216,0.4741379310344827,0.7824142885453825,0.9671822284281908,61.0
nuisance,AL,random,5,1.0,1.5,0.06387,15.4676,0.451867816091954,0.7721751552384727,0.9648261800519058,156.9
nuisance,AL,degree,5,1.0,0.0,0.11997,7.6216,0.6192528735632183,0.8837528075042939,0.9835589710173152,74.1
nuisance,AL,random,5,1.0,0.25,0.06387,15.4676,0.5337643678160919,0.8253649755581979,0.9734253945838278,58.3
nuisance,AL,connectome,5,1.0,1.0,0.15951,4.3655,0.4561781609195402,0.7655444906856916,0.9641737556383608,115.2
nuisance,AL,degree,5,1.0,1.5,0.11997,7.6216,0.5287356321839081,0.7944782996432818,0.9698161893927676,158.4
nuisance,AL,random,5,1.0,2.0,0.06387,15.4676,0.4188218390804598,0.766648913330691,0.96334875305285,145.7
nuisance,AL,connectome,1,1.0,0.25,0.15951,4.3655,0.5919540229885057,0.8586834456335051,0.9797116849332956,89.1
nuisance,AL,degree,1,1.0,0.5,0.11744,7.767,0.5366379310344828,0.8284821310609063,0.9744798180330968,86.9
nuisance,AL,random,1,1.0,1.0,0.06352,15.4404,0.4245689655172414,0.7610029396221429,0.9619311315995468,87.9
nuisance,AL,connectome,1,1.0,2.0,0.15951,4.3655,0.4870689655172414,0.779427186550403,0.9664078356915164,138.3
nuisance,AL,random,2,1.0,0.0,0.06296,15.7769,0.6587643678160919,0.8862011163958251,0.9841043513744522,120.7
nuisance,AL,connectome,2,1.0,0.5,0.15951,4.3655,0.5186781609195402,0.8090690646056282,0.971788787545812,126.4
nuisance,AL,degree,2,1.0,1.0,0.11711,7.9083,0.4827586206896552,0.7870136411679218,0.9678666653367728,128.3
nuisance,AL,random,2,1.0,1.5,0.06296,15.7769,0.4841954022988505,0.7972486457920465,0.9693892517250582,54.4
nuisance,AL,random,3,1.0,0.0,0.0625,15.788,0.694683908045977,0.9139417360285376,0.9880100986340666,123.8
nuisance,AL,connectome,3,1.0,0.5,0.15951,4.3655,0.6149425287356322,0.8764945831681861,0.982096076021526,101.2
nuisance,AL,degree,3,1.0,1.0,0.11736,7.942,0.5373563218390804,0.8171241247192496,0.9729374812837924,80.7
nuisance,AL,random,3,1.0,1.5,0.0625,15.788,0.487787356321839,0.808115338882283,0.9707684926865368,102.9
nuisance,AL,degree,4,1.0,0.0,0.11724,7.8756,0.6163793103448276,0.878913991280222,0.9825815585384172,91.0
nuisance,AL,random,4,1.0,0.25,0.06302,15.6522,0.5862068965517241,0.8772872902629145,0.982221469388037,82.8
nuisance,AL,connectome,4,1.0,1.0,0.15951,4.3655,0.4870689655172414,0.8009603316158013,0.9695140104102058,75.2
nuisance,AL,degree,4,1.0,1.5,0.11724,7.8756,0.5610632183908046,0.8257324283260669,0.9746542701028198,96.9
nuisance,AL,random,4,1.0,2.0,0.06302,15.6522,0.4116379310344827,0.7579229422645,0.9619416979694831,177.3
nuisance,AL,connectome,3,1.0,0.0,0.15951,4.3655,0.694683908045977,0.9209439820319724,0.9891992439199466,182.5
nuisance,AL,degree,3,1.0,0.25,0.11736,7.942,0.6005747126436781,0.8619244616197649,0.979862406409396,102.2
nuisance,AL,random,3,1.0,0.5,0.0625,15.788,0.5337643678160919,0.821174362531378,0.9733675586452992,82.3
nuisance,AL,connectome,3,1.0,1.5,0.15951,4.3655,0.5502873563218391,0.8280362333201216,0.974828327314564,125.6
nuisance,AL,degree,3,1.0,2.0,0.11736,7.942,0.5136494252873564,0.7986111111111112,0.969508864390733,127.3
nuisance,AL,connectome,4,1.0,0.0,0.15951,4.3655,0.7586206896551724,0.9267447813449596,0.9901620201482964,179.6
nuisance,AL,degree,4,1.0,0.25,0.11724,7.8756,0.5423850574712644,0.8283871713568504,0.9745140667854532,95.0
nuisance,AL,random,4,1.0,0.5,0.06302,15.6522,0.5208333333333334,0.8400341854934602,0.9762136739660486,81.6
nuisance,AL,connectome,4,1.0,1.5,0.15951,4.3655,0.5352011494252874,0.8319791253798389,0.9747157031828402,88.6
nuisance,AL,degree,4,1.0,2.0,0.11724,7.8756,0.5050287356321839,0.7897034780023782,0.9686802120323814,146.5
nuisance,AL,degree,0,1.0,0.0,0.11893,7.7893,0.6673850574712644,0.8871341987052451,0.9844739564955298,96.2
nuisance,AL,random,0,1.0,0.25,0.06269,15.6447,0.5237068965517241,0.8108691702999076,0.9715322881541284,102.6
nuisance,AL,connectome,0,1.0,1.0,0.15951,4.3655,0.466235632183908,0.7944411414982164,0.968016929859269,132.6
nuisance,AL,degree,0,1.0,1.5,0.11893,7.7893,0.5028735632183908,0.8083259017043203,0.9713751627000204,168.7
nuisance,AL,random,0,1.0,2.0,0.06269,15.6447,0.4317528735632184,0.7894124058660325,0.966339302449833,160.7
nuisance,AL,connectome,2,1.0,0.0,0.15951,4.3655,0.6795977011494253,0.9058412604042806,0.9868167646565094,117.2
nuisance,AL,degree,2,1.0,0.25,0.11711,7.9083,0.5524425287356322,0.8405172413793104,0.976731271044915,58.9
nuisance,AL,random,2,1.0,0.5,0.06296,15.7769,0.4633620689655172,0.7924015722024046,0.9678018530880704,66.5
nuisance,AL,connectome,2,1.0,1.5,0.15951,4.3655,0.540948275862069,0.8048123926542476,0.9717785766425489,182.3
nuisance,AL,degree,2,1.0,2.0,0.11711,7.9083,0.4647988505747126,0.773176360813846,0.9656167428674318,110.6
nuisance,AL,connectome,5,1.0,0.0,0.15951,4.3655,0.701867816091954,0.9156592680671158,0.9884459446696088,73.2
nuisance,AL,degree,5,1.0,0.25,0.11997,7.6216,0.5962643678160919,0.8505499405469679,0.9785121159231204,119.8
nuisance,AL,random,5,1.0,0.5,0.06387,15.4676,0.4324712643678161,0.7836074778702603,0.9660477644649108,79.7
nuisance,AL,connectome,5,1.0,1.5,0.15951,4.3655,0.5675287356321839,0.8158029462280354,0.9733666243224957,86.5
nuisance,AL,degree,5,1.0,2.0,0.11997,7.6216,0.4597701149425287,0.7773587164750958,0.9660785282158012,149.4
nuisance,AL,degree,2,1.0,0.0,0.11711,7.9083,0.7068965517241379,0.9108493526225392,0.9877263499215222,60.9
