arm,seed,nnz,reciprocity,recall,auroc
connectome,0,258882,0.45,0.6738505747126436,0.9177318668252081
connectome,1,258882,0.45,0.6681034482758621,0.8966673272559122
connectome,2,258882,0.45,0.6882183908045977,0.9058495177698507
connectome,3,258882,0.45,0.6961206896551724,0.9176162637072268
connectome,4,258882,0.45,0.6724137931034483,0.9043466772360946
connectome,5,258882,0.45,0.6666666666666666,0.8934593407319329
recipmatched,0,246545,0.496,0.6752873563218391,0.8944749966970538
recipmatched,1,246737,0.495,0.6594827586206896,0.8929267406526622
recipmatched,2,246524,0.495,0.6716954022988506,0.8985376205575373
recipmatched,3,246553,0.495,0.6364942528735632,0.8877803375611045
recipmatched,4,246677,0.495,0.6839080459770115,0.8968159598361739
recipmatched,5,246670,0.496,0.6522988505747126,0.8900614347998415
degree,0,258882,0.213,0.5977011494252874,0.853828114678293
degree,1,258882,0.214,0.6443965517241379,0.8937318337957458
degree,2,258882,0.214,0.6343390804597702,0.8821095917558462
degree,3,258882,0.213,0.6637931034482759,0.8960934403487911
degree,4,258882,0.214,0.6199712643678161,0.8743972123133835
degree,5,258882,0.215,0.6587643678160919,0.8831541485004624
