mode,region,arm,seed,gain,sigma,change_snr,readout_base,recall_at_fpr10,auroc,auprc,wall_s
recipsweep,AL,random,1,1.0,0.0,0.06352,15.4404,0.6681034482758621,0.902786035143348,0.986337892236502,88.4
recipsweep,AL,recipsweep0.5,4,1.0,0.0,0.13097,5.9369,0.6558908045977011,0.891882183908046,0.985020939918318,111.5
recipsweep,AL,random,0,1.0,0.0,0.06269,15.6447,0.6544540229885057,0.8852886775003302,0.9839012699903072,115.4
recipsweep,AL,recipsweep0.5,3,1.0,0.0,0.13083,5.9384,0.6681034482758621,0.8906311930241776,0.984663793105902,83.9
recipsweep,AL,recipsweep0.25,3,1.0,0.0,0.11957,7.0146,0.6637931034482759,0.896923305588585,0.9856255074141956,124.0
recipsweep,AL,connectome,0,1.0,0.0,0.15951,4.3655,0.7679597701149425,0.9355966772360946,0.9912645489575148,148.6
recipsweep,AL,recipsweep0.25,2,1.0,0.0,0.12107,6.9229,0.6594827586206896,0.8956723147047166,0.9854292359648232,59.9
recipsweep,AL,recipsweep1.0,5,1.0,0.0,0.14835,4.1841,0.5862068965517241,0.8607932025366627,0.97963624542249,57.2
recipsweep,AL,recipsweep0.0,4,1.0,0.0,0.10461,8.4262,0.6767241379310345,0.8912381093935791,0.985063382103199,98.5
recipsweep,AL,recipsweep1.0,1,1.0,0.0,0.14902,4.1913,0.6242816091954023,0.879859459637997,0.9829056888232643,86.7
recipsweep,AL,recipsweep0.5,1,1.0,0.0,0.12884,6.105,0.6487068965517241,0.8849831549742371,0.9835938829061964,79.2
recipsweep,AL,connectome,4,1.0,0.0,0.15951,4.3655,0.6867816091954023,0.8934552120491478,0.985433756399165,93.8
recipsweep,AL,recipsweep0.5,0,1.0,0.0,0.13035,5.9939,0.6487068965517241,0.8876626701017307,0.9839700396898426,93.7
recipsweep,AL,connectome,3,1.0,0.0,0.15951,4.3655,0.7104885057471264,0.9261667657550536,0.9897228552683786,81.9
recipsweep,AL,random,4,1.0,0.0,0.06302,15.6522,0.6314655172413793,0.8693726053639846,0.9815443429099212,104.8
recipsweep,AL,recipsweep0.75,1,1.0,0.0,0.13673,5.1181,0.6918103448275862,0.9035828709208614,0.9866089669712044,106.6
recipsweep,AL,recipsweep0.0,2,1.0,0.0,0.10522,8.3647,0.6882183908045977,0.9086198639186154,0.9873137635225312,181.0
recipsweep,AL,recipsweep0.75,5,1.0,0.0,0.14182,4.95,0.6738505747126436,0.9030543995243756,0.9866237725576232,119.8
recipsweep,AL,random,2,1.0,0.0,0.06296,15.7769,0.665948275862069,0.8938598229620822,0.9851173448359268,118.0
recipsweep,AL,recipsweep0.5,5,1.0,0.0,0.13661,5.6356,0.6056034482758621,0.8658012947549214,0.9806778041754552,57.5
recipsweep,AL,recipsweep0.0,1,1.0,0.0,0.10674,8.2281,0.6795977011494253,0.8999826595323028,0.9863365099055428,180.1
recipsweep,AL,recipsweep0.75,4,1.0,0.0,0.14001,5.0467,0.6637931034482759,0.9015185295283392,0.9862748715970342,99.1
recipsweep,AL,recipsweep0.25,5,1.0,0.0,0.12215,6.9061,0.6602011494252874,0.8963246465847536,0.9854393334804186,158.1
recipsweep,AL,connectome,2,1.0,0.0,0.15951,4.3655,0.6479885057471264,0.884145032368873,0.9836412157338696,60.8
recipsweep,AL,recipsweep0.0,5,1.0,0.0,0.1024,8.4948,0.6594827586206896,0.8986779957722288,0.9857794901324936,122.7
recipsweep,AL,recipsweep1.0,2,1.0,0.0,0.14999,4.1592,0.6142241379310345,0.8628658012947549,0.9801731668456074,50.0
recipsweep,AL,recipsweep0.25,4,1.0,0.0,0.11967,6.9516,0.6767241379310345,0.890953230281411,0.9844060742559372,95.3
recipsweep,AL,connectome,1,1.0,0.0,0.15951,4.3655,0.7313218390804598,0.9119847403884264,0.9880993729292886,175.8
recipsweep,AL,recipsweep0.0,3,1.0,0.0,0.10637,8.3092,0.6558908045977011,0.9016052318668252,0.9859514814397518,102.8
recipsweep,AL,recipsweep1.0,0,1.0,0.0,0.14903,4.1946,0.6831896551724138,0.91883009644603,0.9885713015101965,106.8
recipsweep,AL,random,5,1.0,0.0,0.06387,15.4676,0.5955459770114943,0.8720190910291981,0.9814152742464902,67.5
recipsweep,AL,recipsweep0.75,2,1.0,0.0,0.14075,5.0255,0.6918103448275862,0.91139021006738,0.9875825927986922,110.7
recipsweep,AL,recipsweep0.25,1,1.0,0.0,0.1157,7.1645,0.6242816091954023,0.8737159796538513,0.9819762062802704,87.2
recipsweep,AL,recipsweep1.0,4,1.0,0.0,0.14852,4.1872,0.6551724137931034,0.8846776324481438,0.983861924722064,77.5
