mode,region,arm,seed,gain,sigma,change_snr,readout_base,recall_at_fpr10,auroc,auprc,wall_s
snr,AL,connectome,1,1.0,0.0,0.15951,4.3655,0.673132183908046,0.8985169771436121,0.9860971292062446,77.3
snr,MB,degree,1,1.0,0.0,0.12757,3.7154,0.6264367816091954,0.8689803804994055,0.9815995072452828,94.6
snr,CX,random,1,1.0,0.0,0.17024,5.4288,0.6666666666666666,0.8939011097899326,0.9854095961381664,152.1
snr,AL,connectome,0,1.0,0.0,0.15951,4.3655,0.7270114942528736,0.9140738538776588,0.9884846375824548,145.4
snr,MB,degree,0,1.0,0.0,0.12557,3.8127,0.6616379310344828,0.885817148896816,0.98406791381063,154.1
snr,CX,random,0,1.0,0.0,0.16996,5.3532,0.6293103448275862,0.8774441802087461,0.9827193954857508,162.5
snr,AL,degree,4,1.0,0.0,0.11724,7.8756,0.6860632183908046,0.9024928986656098,0.9864950905428452,102.4
snr,MB,random,4,1.0,0.0,0.14243,3.2353,0.6408045977011494,0.8889755912273748,0.9844859148819592,121.9
snr,AL,random,0,1.0,0.0,0.06269,15.6447,0.7133620689655172,0.912418252080856,0.9880377420346772,96.0
snr,CX,connectome,0,1.0,0.0,0.0574,0.921,0.6867816091954023,0.9118072070286696,0.9876045909519252,171.2
snr,AL,degree,5,1.0,0.0,0.11997,7.6216,0.6149425287356322,0.8749339410754393,0.9822815556013632,96.9
snr,MB,random,5,1.0,0.0,0.13578,3.3394,0.6760057471264368,0.911088816224072,0.9876238439522242,161.1
snr,AL,random,3,1.0,0.0,0.0625,15.788,0.6508620689655172,0.901018958911349,0.9858963951223582,81.6
snr,CX,connectome,3,1.0,0.0,0.0574,0.921,0.6918103448275862,0.9120755714096974,0.9875594643075696,205.5
snr,AL,random,5,1.0,0.0,0.06387,15.4676,0.5955459770114943,0.8659870854802484,0.9804983365221072,62.3
snr,CX,connectome,5,1.0,0.0,0.0574,0.921,0.6681034482758621,0.8992725260932752,0.9859571373146976,175.7
snr,AL,random,2,1.0,0.0,0.06296,15.7769,0.617816091954023,0.8569246267670763,0.9796057634308548,160.7
snr,CX,connectome,2,1.0,0.0,0.0574,0.921,0.6602011494252874,0.8844464262121813,0.9838944764753026,204.0
snr,MB,connectome,0,1.0,0.0,0.13105,1.0088,0.6508620689655172,0.8781336702338486,0.9830549053384816,125.8
snr,CX,degree,0,1.0,0.0,0.14382,5.0769,0.6501436781609196,0.8844464262121813,0.983859823422264,164.0
snr,MB,connectome,2,1.0,0.0,0.13105,1.0088,0.6831896551724138,0.9126123001717532,0.987910066744722,131.4
snr,CX,degree,2,1.0,0.0,0.14216,5.1541,0.6609195402298851,0.8914569295811864,0.9847530003260891,112.7
snr,AL,connectome,2,1.0,0.0,0.15951,4.3655,0.7104885057471264,0.8936616461884,0.9854576834934928,140.5
snr,MB,degree,2,1.0,0.0,0.12654,3.7486,0.6566091954022989,0.8714699762187872,0.9818494729064864,125.3
snr,CX,random,2,1.0,0.0,0.17209,5.3651,0.6688218390804598,0.8972453428458185,0.9856261718403436,211.9
snr,MB,connectome,4,1.0,0.0,0.13105,1.0088,0.6824712643678161,0.9103373959571938,0.9874765842626896,106.6
snr,CX,degree,4,1.0,0.0,0.14541,5.1008,0.6954022988505747,0.9136651142819396,0.9880388182321036,165.2
snr,AL,connectome,3,1.0,0.0,0.15951,4.3655,0.7413793103448276,0.9182025366627032,0.9890307850139932,85.2
snr,MB,degree,3,1.0,0.0,0.12525,3.7745,0.7112068965517241,0.906613324085084,0.9872424169279764,135.3
snr,CX,random,3,1.0,0.0,0.17024,5.3623,0.6939655172413793,0.9014153124587132,0.9863512215111836,179.8
snr,AL,random,4,1.0,0.0,0.06302,15.6522,0.6429597701149425,0.8795374223807636,0.9830805691527555,103.7
snr,CX,connectome,4,1.0,0.0,0.0574,0.921,0.6774425287356322,0.908958415906989,0.987234670348986,159.1
snr,MB,connectome,1,1.0,0.0,0.13105,1.0088,0.6709770114942529,0.9046356850310476,0.9866154263766044,92.7
snr,CX,degree,1,1.0,0.0,0.14541,5.0026,0.6199712643678161,0.8720851499537587,0.9817012904001292,123.8
snr,AL,degree,0,1.0,0.0,0.11893,7.7893,0.6867816091954023,0.8942231470471661,0.9855124532062748,96.9
snr,MB,random,0,1.0,0.0,0.1387,3.3379,0.6989942528735632,0.8952883472057075,0.9856524999693288,100.6
snr,MB,connectome,5,1.0,0.0,0.13105,1.0088,0.673132183908046,0.9087478530849518,0.9871222951217956,116.4
snr,CX,degree,5,1.0,0.0,0.14336,5.0573,0.5998563218390804,0.8705162504954419,0.9814738003185204,150.2
snr,AL,degree,1,1.0,0.0,0.11744,7.767,0.646551724137931,0.8897971991015986,0.9845333676860152,89.2
snr,MB,random,1,1.0,0.0,0.13178,3.4835,0.6544540229885057,0.8833151671290791,0.9838217219569958,92.3
snr,AL,connectome,5,1.0,0.0,0.15951,4.3655,0.7076149425287356,0.9190158871713568,0.9888753993631922,76.1
snr,MB,degree,5,1.0,0.0,0.1221,3.791,0.6472701149425287,0.8816802087462016,0.9834091549738548,71.1
snr,CX,random,5,1.0,0.0,0.17113,5.338,0.5783045977011494,0.8649094992733518,0.9802502302185852,102.8
snr,AL,connectome,4,1.0,0.0,0.15951,4.3655,0.7349137931034483,0.9182892390011892,0.9889100252482208,89.9
snr,MB,degree,4,1.0,0.0,0.13059,3.6832,0.6602011494252874,0.8934469546835777,0.985175182955008,147.2
snr,CX,random,4,1.0,0.0,0.1712,5.3531,0.6824712643678161,0.8962007861012022,0.9856807915454112,199.9
snr,MB,connectome,3,1.0,0.0,0.13105,1.0088,0.6724137931034483,0.9038016911084688,0.986391266960624,153.2
snr,CX,degree,3,1.0,0.0,0.14621,4.9705,0.6609195402298851,0.8963783194609591,0.9855502346135572,149.6
snr,AL,degree,3,1.0,0.0,0.11736,7.942,0.6508620689655172,0.8952635751089972,0.9851921340729868,101.8
snr,MB,random,3,1.0,0.0,0.14114,3.1055,0.7068965517241379,0.9159854340071344,0.9884968759382926,128.0
snr,AL,degree,2,1.0,0.0,0.11711,7.9083,0.6156609195402298,0.8676261725459109,0.9811217499129674,103.0
snr,MB,random,2,1.0,0.0,0.13947,3.3304,0.6867816091954023,0.9022782071607874,0.986469875879515,114.5
snr,AL,random,1,1.0,0.0,0.06352,15.4404,0.6709770114942529,0.897674725855463,0.9857458394258056,91.3
snr,CX,connectome,1,1.0,0.0,0.0574,0.921,0.6760057471264368,0.9060889813713832,0.9871129445256148,150.6
