model,seed,runtime,recurrent_trainable,order,N,trainable_params,recurrent_params,lr,acc_final,bwt,forgetting,fwt,learning_acc_mean,w_rec_drift,rep_drift_mean,R,diag,rep_drift,epochs,wall_seconds
connectome_frozen,0,sparse,0,"[0, 1, 2, 3, 4]",5000,1793112,1015378,0.001,0.6315,-0.22712500000000002,0.22712500000000002,0.07724999999999999,0.8132000000000001,0.0,1.5239183472115314,"[[0.8695, 0.735, 0.642, 0.445, 0.7305], [0.6065, 0.7425, 0.7005, 0.5335, 0.5215], [0.5485, 0.696, 0.761, 0.6155, 0.4705], [0.4015, 0.457, 0.5245, 0.866, 0.608], [0.693, 0.598, 0.525, 0.482, 0.827]]","[0.8695, 0.7425, 0.761, 0.866, 0.827]","[2.18907, 1.82418, 1.96279, 1.64354, 0.0]","[20, 15, 12, 17, 16]",63.1
connectome_frozen,2,sparse,0,"[1, 4, 2, 0, 3]",5000,1793112,1015378,0.001,0.5915999999999999,-0.27912499999999996,0.27912499999999996,0.0315,0.8149000000000001,0.0,1.6158197845210567,"[[0.755, 0.5675, 0.684, 0.6275, 0.531], [0.5875, 0.843, 0.6235, 0.7115, 0.4995], [0.686, 0.5135, 0.7545, 0.611, 0.5965], [0.7025, 0.71, 0.5975, 0.8645, 0.4735], [0.4775, 0.56, 0.564, 0.4275, 0.8575]]","[0.755, 0.843, 0.7545, 0.8645, 0.8575]","[2.23729, 2.362, 1.4754, 2.00441, 0.0]","[18, 16, 12, 15, 16]",60.0
connectome_trainable,1,sparse,1,"[3, 0, 4, 1, 2]",5000,2808490,1015378,0.001,0.6519,-0.19624999999999998,0.19624999999999998,0.082125,0.8089000000000001,9.729954719543457,4.370299590986667,"[[0.868, 0.53, 0.589, 0.496, 0.523], [0.4215, 0.848, 0.7115, 0.7015, 0.645], [0.4555, 0.682, 0.842, 0.701, 0.645], [0.492, 0.6395, 0.5265, 0.732, 0.692], [0.5015, 0.557, 0.511, 0.6985, 0.7545]]","[0.868, 0.848, 0.842, 0.732, 0.7545]","[7.29251, 6.09609, 5.41169, 3.05121, 0.0]","[9, 10, 10, 9, 8]",42.7
connectome_pruned_frozen,0,sparse,0,"[0, 1, 2, 3, 4]",1709,1789821,286053,0.001,0.6375,-0.226125,0.226125,0.07725,0.8183999999999999,0.0,1.5167805903002602,"[[0.8675, 0.7135, 0.6675, 0.4455, 0.7185], [0.594, 0.7445, 0.702, 0.5285, 0.528], [0.5145, 0.6845, 0.771, 0.6155, 0.4795], [0.3975, 0.489, 0.541, 0.8785, 0.631], [0.692, 0.6005, 0.5645, 0.4895, 0.8305]]","[0.8675, 0.7445, 0.771, 0.8785, 0.8305]","[2.59006, 1.75976, 1.77779, 1.4563, 0.0]","[15, 18, 16, 17, 16]",29.8
connectome_pruned_frozen,2,sparse,0,"[1, 4, 2, 0, 3]",1709,1789821,286053,0.001,0.5865,-0.28075000000000006,0.28075000000000006,0.04087500000000001,0.8111,0.0,1.581310335882256,"[[0.7435, 0.57, 0.676, 0.63, 0.523], [0.5945, 0.8395, 0.588, 0.7175, 0.493], [0.6775, 0.517, 0.7465, 0.6075, 0.5955], [0.709, 0.709, 0.616, 0.8665, 0.4615], [0.4675, 0.575, 0.554, 0.436, 0.8595]]","[0.7435, 0.8395, 0.7465, 0.8665, 0.8595]","[2.18829, 2.37102, 1.39465, 1.95259, 0.0]","[18, 16, 14, 15, 17]",29.4
connectome_pruned_trainable,1,sparse,1,"[3, 0, 4, 1, 2]",1709,2075874,286053,0.001,0.6522,-0.205,0.205,0.08549999999999998,0.8161999999999999,6.021252155303955,4.13214549829749,"[[0.874, 0.5065, 0.572, 0.497, 0.521], [0.424, 0.8605, 0.719, 0.7285, 0.6405], [0.4535, 0.6715, 0.836, 0.6815, 0.63], [0.478, 0.6245, 0.5355, 0.7535, 0.7125], [0.503, 0.567, 0.4835, 0.711, 0.757]]","[0.874, 0.8605, 0.836, 0.7535, 0.757]","[7.01038, 5.76342, 5.28731, 2.59962, 0.0]","[9, 10, 9, 10, 8]",19.7
dense_trainable,0,dense,1,"[0, 1, 2, 3, 4]",5000,26793112,25000000,0.0001,0.6267,-0.24050000000000005,0.24050000000000005,0.064,0.8191,6.6592912673950195,4.076278877258301,"[[0.867, 0.691, 0.643, 0.421, 0.688], [0.6305, 0.753, 0.6955, 0.4755, 0.509], [0.5615, 0.673, 0.753, 0.524, 0.4975], [0.4585, 0.4815, 0.494, 0.8685, 0.585], [0.639, 0.5855, 0.5935, 0.4585, 0.854]]","[0.867, 0.753, 0.753, 0.8685, 0.854]","[6.06414, 5.05141, 4.69534, 4.5705, 0.0]","[10, 12, 9, 9, 10]",18.0
dense_trainable,2,dense,1,"[1, 4, 2, 0, 3]",5000,26793112,25000000,0.0001,0.5774999999999999,-0.304375,0.304375,0.05475000000000001,0.821,7.467514514923096,5.035425472259521,"[[0.751, 0.5495, 0.6715, 0.6585, 0.481], [0.639, 0.8495, 0.619, 0.7215, 0.51], [0.69, 0.497, 0.7625, 0.589, 0.5205], [0.6845, 0.7165, 0.625, 0.8655, 0.4995], [0.4925, 0.513, 0.5175, 0.458, 0.8765]]","[0.751, 0.8495, 0.7625, 0.8655, 0.8765]","[5.44708, 7.0665, 5.24472, 7.41884, 0.0]","[9, 9, 10, 9, 12]",17.7
mlp,1,mlp,1,"[3, 0, 4, 1, 2]",0,1792727,0,0.001,0.6077999999999999,-0.25412500000000005,0.25412500000000005,0.07875,0.8111,0.0,50.300375366210936,"[[0.874, 0.451, 0.522, 0.505, 0.5095], [0.427, 0.846, 0.7415, 0.687, 0.567], [0.452, 0.675, 0.831, 0.6675, 0.553], [0.4675, 0.621, 0.519, 0.7495, 0.6545], [0.5145, 0.5605, 0.4795, 0.694, 0.755]]","[0.874, 0.846, 0.831, 0.7495, 0.755]","[64.67548, 69.36694, 67.24845, 50.21101, 0.0]","[9, 10, 8, 8, 8]",2.1
random_sparse_frozen,0,sparse,0,"[0, 1, 2, 3, 4]",5000,1793112,1015378,0.001,0.6169,-0.22649999999999998,0.22649999999999998,0.05374999999999999,0.7981,0.0,0.5057087049403549,"[[0.829, 0.674, 0.5975, 0.4115, 0.7135], [0.5565, 0.725, 0.6775, 0.5135, 0.5115], [0.5015, 0.6585, 0.74, 0.578, 0.435], [0.3825, 0.4435, 0.512, 0.8675, 0.5955], [0.6765, 0.5845, 0.49, 0.488, 0.829]]","[0.829, 0.725, 0.74, 0.8675, 0.829]","[0.92479, 0.74576, 0.60141, 0.25657, 0.0]","[23, 30, 23, 30, 28]",102.2
random_sparse_frozen,2,sparse,0,"[1, 4, 2, 0, 3]",5000,1793112,1015378,0.001,0.5696,-0.280625,0.280625,-0.0011249999999999871,0.7941,0.0,0.35657953790974306,"[[0.7065, 0.545, 0.665, 0.607, 0.497], [0.5875, 0.828, 0.575, 0.7315, 0.5095], [0.642, 0.457, 0.742, 0.582, 0.574], [0.6305, 0.722, 0.5595, 0.8435, 0.417], [0.441, 0.5095, 0.525, 0.3915, 0.8505]]","[0.7065, 0.828, 0.742, 0.8435, 0.8505]","[0.53801, 0.52955, 0.4011, 0.31424, 0.0]","[30, 30, 25, 28, 30]",109.0
weight_shuffle_frozen,1,sparse,0,"[3, 0, 4, 1, 2]",5000,1793112,1015378,0.001,0.5943,-0.22349999999999998,0.22349999999999998,0.057374999999999995,0.7731,0.0,0.3320617264428932,"[[0.831, 0.4655, 0.534, 0.5075, 0.5335], [0.3975, 0.833, 0.736, 0.6685, 0.5825], [0.47, 0.7105, 0.812, 0.6505, 0.518], [0.4535, 0.54, 0.493, 0.699, 0.647], [0.51, 0.482, 0.4215, 0.6285, 0.6905]]","[0.831, 0.833, 0.812, 0.699, 0.6905]","[0.67199, 0.45526, 0.36624, 0.16682, 0.0]","[28, 24, 26, 25, 20]",93.3
connectome_frozen,1,sparse,0,"[3, 0, 4, 1, 2]",5000,1793112,1015378,0.001,0.5987,-0.234625,0.234625,0.05424999999999998,0.7864,0.0,1.385019185842691,"[[0.8505, 0.456, 0.5265, 0.491, 0.529], [0.379, 0.839, 0.7255, 0.6775, 0.578], [0.471, 0.709, 0.817, 0.6565, 0.521], [0.4505, 0.5575, 0.4935, 0.7195, 0.6595], [0.507, 0.4945, 0.423, 0.6355, 0.706]]","[0.8505, 0.839, 0.817, 0.7195, 0.706]","[2.66647, 1.85122, 1.74821, 0.6592, 0.0]","[18, 17, 18, 19, 12]",66.4
connectome_trainable,0,sparse,1,"[0, 1, 2, 3, 4]",5000,2808490,1015378,0.001,0.6253,-0.23262500000000003,0.23262500000000003,0.06912499999999999,0.8114000000000001,12.706649780273438,5.935489475556778,"[[0.8515, 0.6835, 0.7025, 0.4555, 0.7125], [0.591, 0.7475, 0.695, 0.493, 0.5225], [0.547, 0.7025, 0.7605, 0.541, 0.468], [0.489, 0.5075, 0.5205, 0.864, 0.59], [0.6615, 0.588, 0.606, 0.4625, 0.8335]]","[0.8515, 0.7475, 0.7605, 0.864, 0.8335]","[8.11378, 7.0681, 7.36336, 7.13221, 0.0]","[10, 9, 10, 10, 9]",44.6
connectome_trainable,2,sparse,1,"[1, 4, 2, 0, 3]",5000,2808490,1015378,0.001,0.5904,-0.275625,0.275625,0.04575,0.8109,12.808241844177246,5.749540223733959,"[[0.7565, 0.56, 0.669, 0.661, 0.525], [0.5965, 0.834, 0.6485, 0.699, 0.511], [0.692, 0.503, 0.76, 0.609, 0.577], [0.671, 0.6955, 0.6275, 0.851, 0.486], [0.472, 0.536, 0.538, 0.456, 0.853]]","[0.7565, 0.834, 0.76, 0.851, 0.853]","[7.28191, 7.89187, 6.43225, 7.14167, 0.0]","[11, 9, 10, 9, 10]",45.3
connectome_pruned_frozen,1,sparse,0,"[3, 0, 4, 1, 2]",1709,1789821,286053,0.001,0.6044,-0.22687500000000002,0.22687500000000002,0.057999999999999996,0.7859,0.0,1.2448383020278015,"[[0.8575, 0.456, 0.528, 0.5045, 0.5355], [0.4005, 0.8415, 0.7325, 0.685, 0.5885], [0.467, 0.703, 0.8205, 0.6615, 0.5265], [0.4595, 0.539, 0.4895, 0.701, 0.6625], [0.516, 0.4855, 0.417, 0.639, 0.709]]","[0.8575, 0.8415, 0.8205, 0.701, 0.709]","[2.43361, 1.70157, 1.47555, 0.61346, 0.0]","[18, 20, 23, 23, 14]",38.0
connectome_pruned_trainable,0,sparse,1,"[0, 1, 2, 3, 4]",1709,2075874,286053,0.001,0.6285000000000001,-0.23149999999999998,0.23149999999999998,0.07437500000000001,0.8137000000000001,7.130414962768555,5.139243846419845,"[[0.863, 0.6855, 0.647, 0.4575, 0.718], [0.5985, 0.7465, 0.7165, 0.513, 0.527], [0.563, 0.7035, 0.7555, 0.5495, 0.4635], [0.481, 0.5095, 0.517, 0.866, 0.5965], [0.6545, 0.595, 0.5695, 0.4785, 0.8375]]","[0.863, 0.7465, 0.7555, 0.866, 0.8375]","[7.09625, 6.67756, 6.62113, 5.30128, 0.0]","[10, 9, 8, 10, 9]",22.2
