run_id,arm,condition,rule,unit,hp,test_acc,best_val_acc,epochs_ran,wallclock_s,chance
bptt_connectome_u00_hp0.001,bptt,connectome,backprop,0,0.001,0.0955,0.0997,40,148.7,0.0312
bptt_generic_io_u00_hp0.001,bptt,generic_io,backprop,0,0.001,0.1649,0.1787,40,68.3,0.0312
plasticity_connectome_delta_u00_hp0.1,plasticity,connectome,delta,0,0.1,0.2261,0.2321,60,1.97,0.0312
plasticity_connectome_delta_u00_hp0.3,plasticity,connectome,delta,0,0.3,0.2222,0.2298,60,1.98,0.0312
plasticity_connectome_delta_u00_hp0.5,plasticity,connectome,delta,0,0.5,0.2161,0.2243,60,1.97,0.0312
plasticity_connectome_delta_u00_hp0.9,plasticity,connectome,delta,0,0.9,0.1724,0.182,60,1.97,0.0312
plasticity_connectome_delta_u01_hp0.1,plasticity,connectome,delta,1,0.1,0.2268,0.2285,60,1.97,0.0312
plasticity_connectome_delta_u01_hp0.3,plasticity,connectome,delta,1,0.3,0.2242,0.2262,60,1.96,0.0312
plasticity_connectome_delta_u01_hp0.5,plasticity,connectome,delta,1,0.5,0.2208,0.221,60,1.96,0.0312
plasticity_connectome_delta_u01_hp0.9,plasticity,connectome,delta,1,0.9,0.181,0.1815,60,1.97,0.0312
plasticity_connectome_delta_u02_hp0.1,plasticity,connectome,delta,2,0.1,0.2314,0.2234,60,1.97,0.0312
plasticity_connectome_delta_u02_hp0.3,plasticity,connectome,delta,2,0.3,0.23,0.2221,60,1.96,0.0312
plasticity_connectome_delta_u02_hp0.5,plasticity,connectome,delta,2,0.5,0.2239,0.2169,60,1.96,0.0312
plasticity_connectome_delta_u02_hp0.9,plasticity,connectome,delta,2,0.9,0.1774,0.1783,60,1.96,0.0312
plasticity_connectome_hebbian_u00_hp0.1,plasticity,connectome,hebbian,0,0.1,0.226,0.2321,60,2.36,0.0312
plasticity_connectome_hebbian_u00_hp0.3,plasticity,connectome,hebbian,0,0.3,0.2215,0.2294,60,1.97,0.0312
plasticity_connectome_hebbian_u00_hp0.5,plasticity,connectome,hebbian,0,0.5,0.215,0.2236,60,1.96,0.0312
plasticity_connectome_hebbian_u00_hp0.9,plasticity,connectome,hebbian,0,0.9,0.192,0.1982,60,1.96,0.0312
plasticity_connectome_hebbian_u01_hp0.1,plasticity,connectome,hebbian,1,0.1,0.2269,0.2284,60,1.96,0.0312
plasticity_connectome_hebbian_u01_hp0.3,plasticity,connectome,hebbian,1,0.3,0.2237,0.2262,60,1.96,0.0312
plasticity_connectome_hebbian_u01_hp0.5,plasticity,connectome,hebbian,1,0.5,0.2201,0.2201,60,1.96,0.0312
plasticity_connectome_hebbian_u01_hp0.9,plasticity,connectome,hebbian,1,0.9,0.1956,0.197,60,1.96,0.0312
