axis,model,seed,train_recurrent,lr,rho,wd,K,best_val_loss,test_heading_bump_angular_error,test_final_home_bearing_angular_error,epochs_ran,matrix_nnz,build_s,train_s
lr,connectome_bpu,0,dense,0.0001,0.95,0.0,2,0.0978809129446744,0.587479293346405,0.291799247264862,50,511930,0.0,305.8
lr,connectome_bpu,1,dense,0.0001,0.95,0.0,2,0.1035081082955002,0.6180081367492676,0.3261482417583465,50,511930,0.0,304.9
lr,connectome_bpu,2,dense,0.0001,0.95,0.0,2,0.0840702671557664,0.5006406307220459,0.2097426205873489,50,511930,0.0,304.3
lr,connectome_bpu,0,dense,0.0001,0.95,0.0,3,0.0945280343294143,0.5283553004264832,0.3029677867889404,50,511930,0.0,450.6
lr,connectome_bpu,1,dense,0.0001,0.95,0.0,3,0.1051843529567122,0.5647073984146118,0.28260537981987,50,511930,0.0,450.3
lr,connectome_bpu,2,dense,0.0001,0.95,0.0,3,0.1623826026916504,0.7307568788528442,0.5338807106018066,40,511930,0.0,360.7
lr,connectome_bpu,0,dense,0.0003,0.95,0.0,2,0.0695822611451149,0.4879046082496643,0.2227945625782013,50,511930,0.0,303.7
lr,connectome_bpu,1,dense,0.0003,0.95,0.0,2,0.0722223510965704,0.5026686191558838,0.1948669701814651,50,511930,0.0,303.0
lr,connectome_bpu,2,dense,0.0003,0.95,0.0,2,0.0759455068036913,0.5301206111907959,0.2429494261741638,50,511930,0.0,303.7
lr,connectome_bpu,0,dense,0.0003,0.95,0.0,3,0.1357284393161535,0.6156017184257507,0.4007650017738342,35,511930,0.0,315.0
lr,connectome_bpu,1,dense,0.0003,0.95,0.0,3,0.1423585247248411,0.5725788474082947,0.4600142240524292,30,511930,0.0,269.7
lr,connectome_bpu,2,dense,0.0003,0.95,0.0,3,0.0935072684660554,0.57904452085495,0.2906282842159271,50,511930,0.0,449.7
lr,connectome_bpu,0,dense,0.001,0.95,0.0,2,0.5198083892464638,1.2201684713363647,1.2566001415252686,17,511930,0.0,103.3
lr,connectome_bpu,1,dense,0.001,0.95,0.0,2,0.0500971381552517,0.3968806564807892,0.1648700088262558,50,511930,0.0,302.8
lr,connectome_bpu,2,dense,0.001,0.95,0.0,2,0.0497334045358002,0.4293524622917175,0.1458587646484375,50,511930,0.0,303.5
lr,connectome_bpu,0,dense,0.001,0.95,0.0,3,0.5335632413625717,1.2439391613006592,1.2569241523742676,18,511930,0.0,161.7
lr,connectome_bpu,1,dense,0.001,0.95,0.0,3,0.4841312170028686,1.206622838973999,1.256782293319702,42,511930,0.0,376.0
lr,connectome_bpu,2,dense,0.001,0.95,0.0,3,0.0904675237834453,0.5465950965881348,0.2776153683662414,50,511930,0.0,449.3
lr,dense_random,0,dense,0.0001,0.95,0.0,2,0.0676024379208684,0.462289959192276,0.2466867715120315,50,54007801,5.8,307.2
lr,dense_random,1,dense,0.0001,0.95,0.0,2,0.0674968902021646,0.4570944905281067,0.1868273019790649,50,54007801,5.6,306.1
lr,dense_random,2,dense,0.0001,0.95,0.0,2,0.0694048255681991,0.4088238775730133,0.2482102364301681,50,54007801,3.1,305.7
lr,dense_random,0,dense,0.0003,0.95,0.0,2,0.0612327894195914,0.4092760980129242,0.2076629549264907,50,54007801,5.8,304.3
lr,dense_random,1,dense,0.0003,0.95,0.0,2,0.0564922555349767,0.4334101974964142,0.1771311610937118,50,54007801,5.6,303.5
lr,dense_random,2,dense,0.0003,0.95,0.0,2,0.060008090455085,0.449929803609848,0.1961387693881988,50,54007801,3.1,303.9
lr,dense_random,0,dense,0.001,0.95,0.0,2,0.5104393064975739,1.2508305311203003,1.2634741067886353,20,54007801,3.9,161.6
lr,dense_random,1,dense,0.001,0.95,0.0,2,0.5227353274822235,1.2065224647521973,1.26422917842865,15,54007801,4.2,120.2
lr,dense_random,2,dense,0.001,0.95,0.0,2,0.5099524781107903,1.2519375085830688,1.2568137645721436,19,54007801,3.8,152.0
lr,eigvec_matched,0,dense,0.0001,0.95,0.0,2,0.057040995452553,0.4502927660942077,0.1780339628458023,50,30779740,3.7,303.8
lr,eigvec_matched,1,dense,0.0001,0.95,0.0,2,0.0616421364247798,0.5031411647796631,0.1679355800151825,50,30778814,3.6,304.7
lr,eigvec_matched,2,dense,0.0001,0.95,0.0,2,0.05878801131621,0.4487189352512359,0.1482532024383545,50,30779483,3.7,303.9
lr,eigvec_matched,0,dense,0.0001,0.95,0.0,3,0.0764232501387596,0.4528661072254181,0.2163957059383392,50,30779740,3.7,449.7
lr,eigvec_matched,1,dense,0.0001,0.95,0.0,3,0.0675815669819712,0.4988477230072021,0.1856904029846191,50,30778814,3.6,451.1
lr,eigvec_matched,2,dense,0.0001,0.95,0.0,3,0.0814191522076726,0.5178569555282593,0.2426471561193466,40,30779483,3.7,360.2
lr,eigvec_matched,0,dense,0.0003,0.95,0.0,2,0.0492397048510611,0.3507831692695617,0.1961477249860763,50,30779740,3.7,303.1
lr,eigvec_matched,1,dense,0.0003,0.95,0.0,2,0.0602738326415419,0.4669330716133117,0.1689869314432144,49,30778814,3.6,297.9
lr,eigvec_matched,2,dense,0.0003,0.95,0.0,2,0.059971563052386,0.455404132604599,0.1665018498897552,50,30779483,3.7,303.1
lr,eigvec_matched,0,dense,0.0003,0.95,0.0,3,0.0965086324140429,0.4952877461910248,0.3034707009792328,34,30779740,3.7,305.3
lr,eigvec_matched,1,dense,0.0003,0.95,0.0,3,0.0757538173347711,0.4657588005065918,0.2680284380912781,50,30778814,3.6,449.8
lr,eigvec_matched,2,dense,0.0003,0.95,0.0,3,0.4913161285221576,1.20692777633667,1.2553706169128418,16,30779483,3.7,143.8
lr,eigvec_matched,0,dense,0.001,0.95,0.0,2,0.5043225325644016,1.2356266975402832,1.2551453113555908,12,30779740,3.7,72.8
lr,eigvec_matched,1,dense,0.001,0.95,0.0,2,0.0511906486935913,0.3812007308006286,0.2007725238800048,50,30778814,3.6,303.7
lr,eigvec_matched,2,dense,0.001,0.95,0.0,2,0.5001600570976734,1.2071510553359983,1.261091232299805,16,30779483,3.7,96.9
lr,eigvec_matched,0,dense,0.001,0.95,0.0,3,0.0558962989598512,0.4401951134204864,0.1712762713432312,50,30779740,3.7,448.4
lr,eigvec_matched,1,dense,0.001,0.95,0.0,3,0.5210729166865349,1.2243705987930298,1.2693674564361572,15,30778814,3.6,134.8
lr,eigvec_matched,2,dense,0.001,0.95,0.0,3,0.0706856660544872,0.4636800289154053,0.2538616359233856,50,30779483,3.7,448.1
lr,random,0,dense,0.0001,0.95,0.0,2,0.0944333439692854,0.5553581118583679,0.2517830431461334,50,511930,0.2,304.6
lr,random,1,dense,0.0001,0.95,0.0,2,0.0892150495201349,0.5093767046928406,0.2462751269340515,50,511930,0.3,305.0
lr,random,2,dense,0.0001,0.95,0.0,2,0.0985035728663206,0.5723790526390076,0.2801922857761383,50,511930,0.2,304.1
lr,random,0,dense,0.0001,0.95,0.0,3,0.1690166443586349,1.1110024452209473,0.4511297941207886,24,511930,0.2,217.2
lr,random,1,dense,0.0001,0.95,0.0,3,0.1220499034970998,0.5399571061134338,0.4121369123458862,50,511930,0.3,451.7
lr,random,2,dense,0.0001,0.95,0.0,3,0.1224350621923804,0.5659232139587402,0.4082409143447876,50,511930,0.2,450.9
lr,random,0,dense,0.0003,0.95,0.0,2,0.0787163069471716,0.500586748123169,0.2382598221302032,50,511930,0.2,303.2
lr,random,1,dense,0.0003,0.95,0.0,2,0.0773874577134847,0.4667855203151703,0.2496480494737625,50,511930,0.3,303.7
lr,random,2,dense,0.0003,0.95,0.0,2,0.0621788669377565,0.4635220766067505,0.1930244117975235,50,511930,0.2,303.3
lr,random,0,dense,0.0003,0.95,0.0,3,0.1969248615205288,0.5902047753334045,0.5826389789581299,22,511930,0.2,198.1
lr,random,1,dense,0.0003,0.95,0.0,3,0.1196665531024336,0.5782221555709839,0.3962521553039551,40,511930,0.3,360.0
lr,random,2,dense,0.0003,0.95,0.0,3,0.5023649372160435,1.2200918197631836,1.2546570301055908,32,511930,0.2,286.5
lr,random,0,dense,0.001,0.95,0.0,2,0.5217055380344391,1.2531427145004272,1.262753963470459,20,511930,0.2,121.2
lr,random,1,dense,0.001,0.95,0.0,2,0.0708016362041235,0.4926832914352417,0.231905311346054,50,511930,0.3,303.4
lr,random,2,dense,0.001,0.95,0.0,2,0.5340984612703323,1.2640215158462524,1.2547755241394043,14,511930,0.2,85.2
lr,random,0,dense,0.001,0.95,0.0,3,0.5360226929187775,1.284944772720337,1.2778358459472656,16,511930,0.2,143.6
lr,random,1,dense,0.001,0.95,0.0,3,0.5218644514679909,1.2984223365783691,1.2569291591644287,29,511930,0.3,259.8
lr,random,2,dense,0.001,0.95,0.0,3,0.5218178257346153,1.3226816654205322,1.2552036046981812,18,511930,0.2,161.5
