model,axis,lr,rho,wd,K,mean,std,count
connectome_bpu,K,0.001,0.95,0.0,2,0.40479427576065063,0.004859913773913449,3
connectome_bpu,K,0.001,0.95,0.0,5,0.46026551723480225,0.006025260580147915,3
connectome_bpu,lr,0.0003,0.95,0.0,3,0.48264387995004654,0.013995167980474763,3
connectome_bpu,lr,0.001,0.95,0.0,3,0.4318696732322375,0.007835449230614574,3
connectome_bpu,lr,0.003,0.95,0.0,3,0.39839281390110654,0.003999176806113311,3
connectome_bpu,lr,0.01,0.95,0.0,3,0.39008459200461704,0.0054388494572892064,3
connectome_bpu,lr,0.03,0.95,0.0,3,0.4054730373124282,0.03945959119614082,3
connectome_bpu,rho,0.001,0.9,0.0,3,0.4544663615524769,0.008422425386292043,3
connectome_bpu,rho,0.001,0.99,0.0,3,0.4097808251778284,0.006012749308113377,3
connectome_bpu,wd,0.001,0.95,1e-05,3,0.43116479615370434,0.007425240590078848,3
connectome_bpu,wd,0.001,0.95,0.0001,3,0.4312390871345997,0.007470517802742449,3
degree_shuffle,K,0.001,0.95,0.0,2,0.45240818833311397,0.002990633663399131,3
degree_shuffle,K,0.001,0.95,0.0,5,0.49682625507315,9.434758762216669e-05,3
degree_shuffle,lr,0.0003,0.95,0.0,3,0.4995657491187255,9.027467604591838e-05,3
degree_shuffle,lr,0.001,0.95,0.0,3,0.49592688679695124,0.0002927672849408253,3
degree_shuffle,lr,0.003,0.95,0.0,3,0.4911021975179513,8.048634314740248e-05,3
degree_shuffle,lr,0.01,0.95,0.0,3,0.4494038447737694,0.005805903840472943,3
degree_shuffle,lr,0.03,0.95,0.0,3,0.46733811497688293,0.018997113221731077,3
degree_shuffle,rho,0.001,0.9,0.0,3,0.4953888754049937,0.00016648968469235075,3
degree_shuffle,rho,0.001,0.99,0.0,3,0.49615491802493733,0.00045836001685958734,3
degree_shuffle,wd,0.001,0.95,1e-05,3,0.49593034262458485,0.0002570134304781704,3
degree_shuffle,wd,0.001,0.95,0.0001,3,0.4961557562152545,0.00018068187224169006,3
random,K,0.001,0.95,0.0,2,0.4434126491347949,0.000724299108451478,3
random,K,0.001,0.95,0.0,5,0.49776317675908405,0.00011383090303998708,3
random,lr,0.0003,0.95,0.0,3,0.5011201798915863,0.00021357976688135856,3
random,lr,0.001,0.95,0.0,3,0.48835909242431325,0.0008182898078856611,3
random,lr,0.003,0.95,0.0,3,0.45730341598391533,0.0030698126379292085,3
random,lr,0.01,0.95,0.0,3,0.4102996662259102,0.0011695483763216722,3
random,lr,0.03,0.95,0.0,3,0.44515878334641457,0.028867952325893335,3
random,rho,0.001,0.9,0.0,3,0.48233287284771603,0.0009514052979414392,3
random,rho,0.001,0.99,0.0,3,0.48154796784122783,0.002508003744943584,3
random,wd,0.001,0.95,1e-05,3,0.4885256302853425,0.0007893971412626187,3
random,wd,0.001,0.95,0.0001,3,0.4902918338775635,0.0005923704930517708,3
spectrum_full,K,0.001,0.95,0.0,2,0.4618586612244447,0.0008639690356542388,3
spectrum_full,K,0.001,0.95,0.0,5,0.5302981485923132,0.0026746427461964823,3
spectrum_full,lr,0.0003,0.95,0.0,3,0.5889370863636335,0.006028827508118649,3
spectrum_full,lr,0.001,0.95,0.0,3,0.47798940787712735,0.004546780793041795,3
spectrum_full,lr,0.003,0.95,0.0,3,0.4615420897801717,0.0004866993587149792,3
spectrum_full,lr,0.01,0.95,0.0,3,0.4584516299267609,0.0005757871795839849,3
spectrum_full,lr,0.03,0.95,0.0,3,0.4555015948911508,0.0012668291997819105,3
spectrum_full,rho,0.001,0.9,0.0,3,0.4811843956510226,0.004869388072214309,3
spectrum_full,rho,0.001,0.99,0.0,3,0.47575605909029645,0.004296197234814748,3
spectrum_full,wd,0.001,0.95,1e-05,3,0.4801354743540287,0.005854635504357567,3
spectrum_full,wd,0.001,0.95,0.0001,3,0.5001926571130753,0.008272389397952934,3
spectrum_topk,K,0.001,0.95,0.0,2,0.4625292122364044,0.00014833789993698814,3
