task,model,test_acc_mean,test_acc_std,trainable_params,N
cifar10,connectome_frozen,0.47903333333333337,0.001985782801147551,1327922,63545
cifar10,connectome_trainable,0.4833,0.005990826320300075,1391467,63545
cifar10,dense_trainable,0.5459,0.00586600375042501,10042226,8714304
cifar10,mlp,0.4989333333333333,0.0037072002014098666,1328783,0
cifar10,random_sparse_frozen,0.48416666666666663,0.004282911782109612,1327922,63545
cifar10,weight_shuffle_frozen,0.4796,0.0017349351572897606,1327922,63545
mnist,connectome_frozen,0.9712333333333333,0.0020984120980716238,344082,63545
mnist,connectome_trainable,0.9711333333333334,0.0020132891827389153,407627,63545
mnist,dense_trainable,0.9704333333333333,0.0015567059238447332,9058386,8714304
mnist,mlp,0.9707666666666667,0.0016289055630494076,344245,0
mnist,random_sparse_frozen,0.9730666666666666,0.0009291573243177317,344082,63545
mnist,weight_shuffle_frozen,0.9721666666666667,0.0013051181300300916,344082,63545
