axis,model,seed,train_recurrent,runtime,lr,rho,wd,test_acc,val_acc,peak_val,epochs_ran,chance,N,build_s,train_s
lr,degree_preserving_random,0,trainable,sparse,0.0003,0.95,0.0,0.193,0.2033,0.2033,200,0.0312,14025,6.9,866.7
lr,degree_preserving_random,1,trainable,sparse,0.0003,0.95,0.0,0.1943,0.2025,0.2025,200,0.0312,14025,7.0,2134.2
lr,degree_preserving_random,0,trainable,sparse,0.001,0.95,0.0,0.4337,0.4332,0.4332,200,0.0312,14025,6.9,13051.0
lr,degree_preserving_random,1,trainable,sparse,0.001,0.95,0.0,0.1916,0.2046,0.2046,119,0.0312,14025,7.0,515.9
lr,degree_preserving_random,0,trainable,sparse,0.003,0.95,0.0,0.1888,0.1946,0.1946,78,0.0312,14025,6.9,1971.2
lr,degree_preserving_random,1,trainable,sparse,0.003,0.95,0.0,0.1873,0.1931,0.1931,76,0.0312,14025,7.0,329.3
lr,degree_preserving_random,0,trainable,sparse,0.01,0.95,0.0,0.1133,0.1221,0.1221,178,0.0312,14025,6.9,770.9
lr,degree_preserving_random,1,trainable,sparse,0.01,0.95,0.0,0.136,0.1454,0.1454,93,0.0312,14025,7.0,403.4
lr,degree_preserving_random,0,trainable,sparse,0.03,0.95,0.0,0.0277,0.038,0.038,91,0.0312,14025,6.9,394.0
lr,degree_preserving_random,1,trainable,sparse,0.03,0.95,0.0,0.0298,0.037,0.037,72,0.0312,14025,7.0,312.2
lr,hemibrain_seeded,0,trainable,sparse,0.0003,0.95,0.0,0.1976,0.2099,0.2099,134,0.0312,14025,0.1,583.1
lr,hemibrain_seeded,1,trainable,sparse,0.0003,0.95,0.0,0.1996,0.2094,0.2094,111,0.0312,14025,1.2,482.9
lr,hemibrain_seeded,0,trainable,sparse,0.001,0.95,0.0,0.6514,0.6512,0.6512,200,0.0312,14025,0.1,3488.0
lr,hemibrain_seeded,1,trainable,sparse,0.001,0.95,0.0,0.7654,0.7695,0.7695,200,0.0312,14025,1.2,866.0
lr,hemibrain_seeded,0,trainable,sparse,0.003,0.95,0.0,0.6593,0.6756,0.6756,200,0.0312,14025,0.1,873.7
lr,hemibrain_seeded,1,trainable,sparse,0.003,0.95,0.0,0.5731,0.5721,0.5721,200,0.0312,14025,1.2,865.8
lr,hemibrain_seeded,0,trainable,sparse,0.01,0.95,0.0,0.1634,0.177,0.177,90,0.0312,14025,0.1,390.2
lr,hemibrain_seeded,1,trainable,sparse,0.01,0.95,0.0,0.172,0.1756,0.1756,72,0.0312,14025,1.2,311.7
lr,hemibrain_seeded,0,trainable,sparse,0.03,0.95,0.0,0.0372,0.0402,0.0402,44,0.0312,14025,0.1,190.8
lr,hemibrain_seeded,1,trainable,sparse,0.03,0.95,0.0,0.0361,0.0394,0.0394,47,0.0312,14025,1.2,204.0
lr,random_sparse,0,trainable,sparse,0.0003,0.95,0.0,0.2002,0.2114,0.2114,108,0.0312,14025,1.5,470.4
lr,random_sparse,1,trainable,sparse,0.0003,0.95,0.0,0.2063,0.2162,0.2162,169,0.0312,14025,0.3,733.7
lr,random_sparse,0,trainable,sparse,0.001,0.95,0.0,0.197,0.2091,0.2091,78,0.0312,14025,1.5,338.3
lr,random_sparse,1,trainable,sparse,0.001,0.95,0.0,0.2075,0.2146,0.2146,76,0.0312,14025,0.3,329.9
lr,random_sparse,0,trainable,sparse,0.003,0.95,0.0,0.1949,0.2036,0.2036,74,0.0312,14025,1.5,12505.3
