model,seed,common_epochs,common_mean,common_auc,final_common_val,epoch1,epoch3,epoch5,epoch10
conv_protonet,0,9,0.9815263310185186,7.8552734375,0.9781119791666668,0.9788151041666666,0.98359375,0.9833203125,
conv_protonet,1,9,0.9793619791666666,7.836373697916667,0.9789192708333332,0.9768489583333332,0.9792578125,0.9802083333333332,
conv_protonet,2,9,0.9809071180555554,7.850201822916667,0.9803776041666666,0.975546875,0.9833984375,0.9817057291666668,
conv_protonet,3,9,0.9812731481481483,7.852291666666666,0.9796614583333332,0.978671875,0.9834895833333334,0.9835677083333332,
conv_protonet,4,9,0.9797786458333335,7.841028645833333,0.9766276041666668,0.9773307291666666,0.9827994791666668,0.9795572916666668,
hemibrain_conv_fast_memory,0,9,0.982076099537037,7.859309895833333,0.9800911458333332,0.9786588541666666,0.9839713541666668,0.9832421875,
hemibrain_conv_fast_memory,1,9,0.9813700810185184,7.853639322916667,0.9782942708333332,0.9790885416666668,0.9817447916666666,0.9830338541666668,
hemibrain_conv_fast_memory,2,9,0.9838946759259259,7.874270833333334,0.9867447916666666,0.9748177083333334,0.9837109375,0.9848307291666668,
hemibrain_conv_fast_memory,3,9,0.9857913773148148,7.888177083333334,0.9872005208333332,0.9806901041666668,0.9854427083333334,0.98703125,
hemibrain_conv_fast_memory,4,9,0.983392650462963,7.869680989583333,0.9845963541666668,0.977109375,0.9836848958333332,0.9850130208333332,
random_sparse_conv_fast_memory,0,9,0.9834693287037037,7.870891927083333,0.9827083333333332,0.9779557291666666,0.9845182291666666,0.9855598958333334,
random_sparse_conv_fast_memory,1,9,0.983197337962963,7.868502604166666,0.9833723958333334,0.9771744791666668,0.9832682291666668,0.9847005208333334,
random_sparse_conv_fast_memory,2,9,0.9819140625,7.8587044270833335,0.9824609375,0.9745833333333334,0.9832942708333332,0.9830208333333332,
random_sparse_conv_fast_memory,3,9,0.9835951967592593,7.871328125,0.9838151041666666,0.9782421875,0.983359375,0.9863020833333334,
random_sparse_conv_fast_memory,4,9,0.9828168402777777,7.86595703125,0.982890625,0.9758984375,0.9839973958333332,0.9849348958333334,
weight_shuffle_conv_fast_memory,0,9,0.9821773726851851,7.86052734375,0.9802083333333332,0.9779296875,0.9830338541666668,0.9836458333333332,
weight_shuffle_conv_fast_memory,1,9,0.9813512731481482,7.852604166666666,0.9813151041666668,0.9777994791666668,0.9825,0.9826041666666666,
weight_shuffle_conv_fast_memory,2,9,0.9800405092592592,7.843450520833334,0.9782942708333332,0.9755338541666668,0.9823046875,0.9820182291666668,
weight_shuffle_conv_fast_memory,3,9,0.9824725115740741,7.862109375000001,0.9801041666666668,0.9801822916666668,0.9853515625,0.9847916666666666,
weight_shuffle_conv_fast_memory,4,9,0.9804267939814816,7.845729166666667,0.9793619791666668,0.9768619791666666,0.982734375,0.9816796875,
