model,baseline_model,metric,paired_seed_count,mean_delta,std_delta,se_delta,ci95_low,ci95_high
conv_protonet,random_sparse_conv_fast_memory,common_mean,5,-0.0024291087962962977,0.0010745745354040885,0.0004805643416107592,-0.0033710149058533857,-0.0014872026867392097
conv_protonet,weight_shuffle_conv_fast_memory,common_mean,5,-0.0007242476851851753,0.0010449942229779072,0.0004673356237346346,-0.0016402255077050591,0.00019173013733470847
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,common_mean,5,0.0003064236111110619,0.001863335332781073,0.0008333088937951342,-0.0013268618207274011,0.0019397090429495248
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,common_mean,5,0.0020112847222221843,0.0019006613313235323,0.0008500015878089337,0.00034528161011667443,0.003677287834327694
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,common_mean,5,0.0017048611111111223,0.000506777486366596,0.0002266377817964363,0.0012606510587901071,0.0021490711634321374
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,common_mean,5,-0.0017048611111111223,0.000506777486366596,0.0002266377817964363,-0.0021490711634321374,-0.0012606510587901071
conv_protonet,random_sparse_conv_fast_memory,common_auc,5,-0.02004296874999998,0.008995919562393538,0.004023097532326422,-0.027928239913359767,-0.012157697586640193
conv_protonet,weight_shuffle_conv_fast_memory,common_auc,5,-0.005850260416666942,0.008425649601927427,0.003768065052900754,-0.013235667920352419,0.0015351470870185353
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,common_auc,5,0.0019388020833337905,0.014801470162856612,0.006619418690216454,-0.011035258549490458,0.01491286271615804
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,common_auc,5,0.016131510416666828,0.015037723295576556,0.006725074303148268,0.002950364782496223,0.02931265605083743
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,common_auc,5,0.014192708333333037,0.004468041139236711,0.001998168742719778,0.010276297597602272,0.018109119069063803
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,common_auc,5,-0.014192708333333037,0.004468041139236711,0.001998168742719778,-0.018109119069063803,-0.010276297597602272
conv_protonet,random_sparse_conv_fast_memory,final_common_val,5,-0.004309895833333299,0.001491581783330259,0.0006670556523053643,-0.005617324911851814,-0.003002466754814785
conv_protonet,weight_shuffle_conv_fast_memory,final_common_val,5,-0.0011171875000000274,0.00199419493087038,0.0008918310851623326,-0.0028651764269181992,0.0006308014269181446
