model,baseline_model,metric,paired_seed_count,mean_delta,std_delta,se_delta,ci95_low,ci95_high
conv_protonet,random_sparse_conv_fast_memory,common_mean,5,-0.004985909598214144,0.0017113546250996133,0.0007653410550662806,-0.0064859780661440545,-0.003485841130284234
conv_protonet,weight_shuffle_conv_fast_memory,common_mean,5,-0.0029387555803570995,0.0018563670146471705,0.0008301925671878841,-0.004565933012045352,-0.0013115781486688466
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,common_mean,5,0.0015637555803571733,0.002873608850866862,0.0012851169462566718,-0.0009550736343059032,0.0040825847950202495
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,common_mean,5,0.003610909598214218,0.0028629839998001922,0.0012803653684094949,0.001101393476131608,0.006120425720296828
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,common_mean,5,0.0020471540178570446,0.000491974829475939,0.00022001783238541334,0.0016159190663816345,0.002478388969332455
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,common_mean,5,-0.0020471540178570446,0.000491974829475939,0.00022001783238541334,-0.002478388969332455,-0.0016159190663816345
conv_protonet,random_sparse_conv_fast_memory,common_auc,5,-0.06259765625,0.02088413098215738,0.00933966730542267,-0.08090340416862843,-0.04429190833137156
conv_protonet,weight_shuffle_conv_fast_memory,common_auc,5,-0.03542285156250067,0.022764998480371335,0.010180816821957943,-0.055377252533538236,-0.015468450591463102
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,common_auc,5,0.019806640625000326,0.03790377242882789,0.016951082350908295,-0.01341748078277993,0.05303076203278058
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,common_auc,5,0.04698144531249966,0.03734123531158489,0.01669950810410387,0.014250409428456075,0.07971248119654326
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,common_auc,5,0.027174804687499332,0.00727990959174057,0.003255674543436931,0.020793682582362947,0.033555926792635714
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,common_auc,5,-0.027174804687499332,0.00727990959174057,0.003255674543436931,-0.033555926792635714,-0.020793682582362947
conv_protonet,random_sparse_conv_fast_memory,final_common_val,5,-0.014154296874999962,0.005911606393267891,0.0026437507503138716,-0.01933604834561515,-0.008972545404384774
conv_protonet,weight_shuffle_conv_fast_memory,final_common_val,5,-0.01162890624999997,0.006551098319417408,0.002929740233900391,-0.017371197108444737,-0.005886615391555204
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,final_common_val,5,0.0036308593750000286,0.004359087753403197,0.0019494433072992775,-0.00019004950730655513,0.007451768257306613
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,final_common_val,5,0.0061562500000000185,0.005765320146973136,0.002578329552136202,0.0011027240778130627,0.011209775922186974
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,final_common_val,5,0.0025253906249999903,0.0015086168110614434,0.0006746739483064688,0.0012030296863193115,0.003847751563680669
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,final_common_val,5,-0.0025253906249999903,0.0015086168110614434,0.0006746739483064688,-0.003847751563680669,-0.0012030296863193115
conv_protonet,random_sparse_conv_fast_memory,epoch1,5,-0.00025585937499996716,0.0012283432783520352,0.0005493318140200193,-0.001332549730479205,0.0008208309804792706
conv_protonet,weight_shuffle_conv_fast_memory,epoch1,5,0.00018945312500000532,0.0014483215351450774,0.0006477090811722487,-0.0010800566740976022,0.001458962924097613
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,epoch1,5,0.0005410156249999965,0.0011606846899933519,0.0005190739734536809,-0.0004763693629692181,0.0015584006129692111
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch1,5,0.000986328124999969,0.0006880435528831332,0.00030770243114543145,0.00038323135995492333,0.0015894248900450146
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch1,5,0.0004453124999999725,0.0006279911942563139,0.0002808461999256787,-0.00010514605185435775,0.0009957710518543026
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,epoch1,5,-0.0004453124999999725,0.0006279911942563139,0.0002808461999256787,-0.0009957710518543026,0.00010514605185435775
conv_protonet,random_sparse_conv_fast_memory,epoch3,5,-0.0005019531250000098,0.0009757711637538684,0.0004363781305275457,-0.0013572542608339994,0.00035334801083397984
conv_protonet,weight_shuffle_conv_fast_memory,epoch3,5,0.0014746093749999911,0.0015190177775604866,0.0006793254019311805,0.00014313158721487732,0.002806087162785105
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,epoch3,5,1.1718750000011547e-05,0.0011812450913423588,0.0005282688644658926,-0.0010236882243531379,0.0010471257243531609
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch3,5,0.0019882812500000126,0.0009837285901542656,0.0004399367997989936,0.0011260051223939852,0.0028505573776060403
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch3,5,0.001976562500000001,0.0008806568936487167,0.0003938417358104667,0.0012046326978114863,0.0027484923021885155
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,epoch3,5,-0.001976562500000001,0.0008806568936487167,0.0003938417358104667,-0.0027484923021885155,-0.0012046326978114863
conv_protonet,random_sparse_conv_fast_memory,epoch5,5,-0.003166015624999985,0.0013476102517059323,0.0006026696259980133,-0.004347248091956091,-0.0019847831580438787
conv_protonet,weight_shuffle_conv_fast_memory,epoch5,5,0.0009570312500000178,0.000921209580092448,0.00041197744852215014,0.00014955545089660347,0.001764507049103432
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,epoch5,5,-0.000523437499999968,0.002160263527936288,0.0009660992195558111,-0.002416991970329358,0.0013701169703294216
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch5,5,0.0035996093750000346,0.001776519919818713,0.0007944838608194236,0.0020424210077939643,0.005156797742206105
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch5,5,0.004123046875000003,0.0010907464339630672,0.0004877966345113807,0.0031669654713576967,0.005079128278642309
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,epoch5,5,-0.004123046875000003,0.0010907464339630672,0.0004877966345113807,-0.005079128278642309,-0.0031669654713576967
conv_protonet,random_sparse_conv_fast_memory,epoch10,5,-0.005185546874999969,0.0024100426843432646,0.0010778038541735214,-0.007298042429180071,-0.0030730513208198675
conv_protonet,weight_shuffle_conv_fast_memory,epoch10,5,-0.003597656249999992,0.0025233570003365515,0.0011284795568504977,-0.005809476181426967,-0.0013858363185730166
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,epoch10,5,0.0028535156250000028,0.004296400009257826,0.0019214084958462448,-0.0009124450268586369,0.006619476276858643
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch10,5,0.004441406249999979,0.004697556960494949,0.0021008113383687997,0.00032381602679713156,0.008558996473202827
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch10,5,0.001587890624999977,0.0009753801436160545,0.00043620326100580104,0.0007329322334286069,0.002442849016571347
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,epoch10,5,-0.001587890624999977,0.0009753801436160545,0.00043620326100580104,-0.002442849016571347,-0.0007329322334286069
