model,baseline_model,comparison_type,metric,paired_seed_count,mean_delta,std_delta,se_delta,ci95_low,ci95_high
conv_protonet,random_sparse_conv_fast_memory,reference_baseline,test_query_accuracy,5,-0.00840234375000004,0.0013189171635411678,0.0005898376868738517,-0.00955842561627279,-0.007246261883727291
conv_protonet,weight_shuffle_conv_fast_memory,reference_baseline,test_query_accuracy,5,-0.004556640625000008,0.001666908087729197,0.0007454639592813335,-0.006017749985191422,-0.0030955312648085946
conv_protonet,nearest_support,reference_baseline,test_query_accuracy,5,0.5762685546875,0.0017627811992147338,0.0007883397181805488,0.5747234088398662,0.5778137005351339
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,matched_topology_control,test_query_accuracy,5,-0.0020126953125000125,0.002954943626756852,0.0013214909638216174,-0.004602817601590382,0.0005774269765903574
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,matched_topology_control,test_query_accuracy,5,0.0018330078125000204,0.0033220687709214726,0.0014856743195419179,-0.0010789138538021385,0.0047449294788021795
hemibrain_conv_fast_memory,nearest_support,reference_baseline,test_query_accuracy,5,0.582658203125,0.0026458054688756425,0.0011832401767293281,0.5803390523786106,0.5849773538713895
nearest_support,random_sparse_conv_fast_memory,reference_baseline,test_query_accuracy,5,-0.5846708984375001,0.0014922948668834254,0.0006673745529650677,-0.5859789525613116,-0.5833628443136886
nearest_support,weight_shuffle_conv_fast_memory,reference_baseline,test_query_accuracy,5,-0.5808251953125001,0.0010932321685027376,0.0004889082887923252,-0.5817834555585331,-0.5798669350664671
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,reference_baseline,test_query_accuracy,5,0.0038457031250000327,0.0018224622614214602,0.0008150299005932754,0.002248244519837213,0.005443161730162852
random_sparse_conv_fast_memory,nearest_support,reference_baseline,test_query_accuracy,5,0.5846708984375001,0.0014922948668834254,0.0006673745529650677,0.5833628443136886,0.5859789525613116
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,reference_baseline,test_query_accuracy,5,-0.0038457031250000327,0.0018224622614214602,0.0008150299005932754,-0.005443161730162852,-0.002248244519837213
weight_shuffle_conv_fast_memory,nearest_support,reference_baseline,test_query_accuracy,5,0.5808251953125001,0.0010932321685027376,0.0004889082887923252,0.5798669350664671,0.5817834555585331
conv_protonet,random_sparse_conv_fast_memory,reference_baseline,test_reversal_query_accuracy,5,-0.008835937500000002,0.0014563130508329402,0.0006512829956365121,-0.010112452171447565,-0.007559422828552438
conv_protonet,weight_shuffle_conv_fast_memory,reference_baseline,test_reversal_query_accuracy,5,-0.0047246093750000105,0.001895052179508926,0.0008474930988582185,-0.006385695848762119,-0.003063522901237902
conv_protonet,nearest_support,reference_baseline,test_reversal_query_accuracy,5,0.6319218750000001,0.0024036276263163883,0.0010749349530079812,0.6298150024921044,0.6340287475078957
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,matched_topology_control,test_reversal_query_accuracy,5,-0.0022070312500000132,0.0031105393573114923,0.0013910754899274008,-0.004933539210257718,0.0005194767102576921
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,matched_topology_control,test_reversal_query_accuracy,5,0.0019042968749999778,0.0037014230929749317,0.0016553267298758942,-0.0013401435155567748,0.005148737265556731
hemibrain_conv_fast_memory,nearest_support,reference_baseline,test_reversal_query_accuracy,5,0.63855078125,0.0033301540153559306,0.0014892901507759478,0.6356317725544791,0.6414697899455208
nearest_support,random_sparse_conv_fast_memory,reference_baseline,test_reversal_query_accuracy,5,-0.6407578125000001,0.0016100195917868644,0.0007200226504683781,-0.6421690568949181,-0.6393465681050821
nearest_support,weight_shuffle_conv_fast_memory,reference_baseline,test_reversal_query_accuracy,5,-0.636646484375,0.0017381248832409534,0.0007773130784621313,-0.6381700180087858,-0.6351229507412143
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,reference_baseline,test_reversal_query_accuracy,5,0.004111328124999991,0.0019003740645154926,0.0008498731181868425,0.00244557681335378,0.005777079436646203
random_sparse_conv_fast_memory,nearest_support,reference_baseline,test_reversal_query_accuracy,5,0.6407578125000001,0.0016100195917868644,0.0007200226504683781,0.6393465681050821,0.6421690568949181
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,reference_baseline,test_reversal_query_accuracy,5,-0.004111328124999991,0.0019003740645154926,0.0008498731181868425,-0.005777079436646203,-0.00244557681335378
weight_shuffle_conv_fast_memory,nearest_support,reference_baseline,test_reversal_query_accuracy,5,0.636646484375,0.0017381248832409534,0.0007773130784621313,0.6351229507412143,0.6381700180087858
conv_protonet,random_sparse_conv_fast_memory,reference_baseline,test_initial_query_accuracy,5,-0.007968749999999991,0.0014720687706265563,0.000658329167735105,-0.009259075168760797,-0.006678424831239186
conv_protonet,weight_shuffle_conv_fast_memory,reference_baseline,test_initial_query_accuracy,5,-0.004388671874999983,0.001452660927450594,0.0006496497164074837,-0.005661985319158651,-0.0031153584308413152
conv_protonet,nearest_support,reference_baseline,test_initial_query_accuracy,5,0.5206152343749999,0.0013980371338983436,0.0006252212132931344,0.5193898007969454,0.5218406679530544
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,matched_topology_control,test_initial_query_accuracy,5,-0.0018183593749999893,0.0028720103766378753,0.0012844020868494127,-0.0043357874652248385,0.0006990687152248595
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,matched_topology_control,test_initial_query_accuracy,5,0.0017617187500000187,0.0030303082133740157,0.0013551950315760473,-0.0008944635118890338,0.0044179010118890714
hemibrain_conv_fast_memory,nearest_support,reference_baseline,test_initial_query_accuracy,5,0.5267656249999999,0.002142318612502696,0.0009580740094038118,0.5248877999415684,0.5286434500584314
nearest_support,random_sparse_conv_fast_memory,reference_baseline,test_initial_query_accuracy,5,-0.5285839843750001,0.0015359841169887013,0.0006869129795893451,-0.5299303338149952,-0.527237634935005
nearest_support,weight_shuffle_conv_fast_memory,reference_baseline,test_initial_query_accuracy,5,-0.5250039062499999,0.001082677104461166,0.0004841879206515616,-0.525952914574477,-0.5240548979255228
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,reference_baseline,test_initial_query_accuracy,5,0.003580078125000008,0.0020063737397344964,0.000897277614063361,0.0018214140014358208,0.005338742248564196
random_sparse_conv_fast_memory,nearest_support,reference_baseline,test_initial_query_accuracy,5,0.5285839843750001,0.0015359841169887013,0.0006869129795893451,0.527237634935005,0.5299303338149952
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,reference_baseline,test_initial_query_accuracy,5,-0.003580078125000008,0.0020063737397344964,0.000897277614063361,-0.005338742248564196,-0.0018214140014358208
weight_shuffle_conv_fast_memory,nearest_support,reference_baseline,test_initial_query_accuracy,5,0.5250039062499999,0.001082677104461166,0.0004841879206515616,0.5240548979255228,0.525952914574477
conv_protonet,random_sparse_conv_fast_memory,reference_baseline,test_loss,5,-0.13830484107136726,0.0035734076073082916,0.0015980764642512428,-0.1414370709412997,-0.1351726112014348
conv_protonet,weight_shuffle_conv_fast_memory,reference_baseline,test_loss,5,-0.12861852704547344,0.0031818883138135345,0.0014229837132998492,-0.13140757512354115,-0.12582947896740573
conv_protonet,nearest_support,reference_baseline,test_loss,5,88.2594033575803,0.2658888711241604,0.1189091180588607,88.02634148618493,88.49246522897566
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,matched_topology_control,test_loss,5,-0.006300682425498994,0.006775510074003638,0.003030100221541353,-0.012239678859720046,-0.00036168599127794215
