model,seed,common_epochs,common_mean,common_auc,final_common_val,epoch1,epoch3,epoch5,epoch10
conv_protonet,0,14,0.9813835565476191,12.760869791666666,0.97396875,0.98303125,0.9867395833333332,0.9849895833333332,0.9809010416666668
conv_protonet,1,14,0.9817518601190477,12.765059895833332,0.9755,0.9834322916666668,0.9856197916666668,0.9838177083333334,0.98115625
conv_protonet,2,14,0.9799985119047617,12.7430390625,0.9739166666666668,0.9799635416666668,0.9847708333333334,0.983078125,0.9777708333333334
conv_protonet,3,14,0.9804966517857142,12.750179687500001,0.9728802083333332,0.9806666666666668,0.9839166666666668,0.9850520833333334,0.9782552083333332
conv_protonet,4,14,0.9794110863095239,12.736177083333333,0.96909375,0.9820625,0.9845,0.9832760416666668,0.9771770833333332
hemibrain_conv_fast_memory,0,14,0.9828608630952381,12.778041666666665,0.9819479166666668,0.9820729166666666,0.9849114583333334,0.9839635416666668,0.983390625
hemibrain_conv_fast_memory,1,14,0.9871532738095238,12.834752604166667,0.9884791666666668,0.9823072916666666,0.9861979166666668,0.9874479166666666,0.9874739583333332
hemibrain_conv_fast_memory,2,14,0.9853058035714286,12.811359375,0.98665625,0.9791875,0.9848697916666668,0.9856510416666666,0.9865052083333332
hemibrain_conv_fast_memory,3,14,0.9851945684523811,12.80951822916667,0.9866979166666666,0.9797135416666668,0.985,0.9855208333333332,0.9853385416666668
hemibrain_conv_fast_memory,4,14,0.9854304315476189,12.811903645833334,0.9854114583333332,0.9828333333333332,0.9860833333333332,0.9855572916666666,0.98590625
random_sparse_conv_fast_memory,0,14,0.9842585565476191,12.798981770833334,0.9787447916666666,0.98253125,0.9873229166666668,0.98678125,0.9847395833333332
random_sparse_conv_fast_memory,1,14,0.9849877232142857,12.807234375,0.9831510416666668,0.9820364583333332,0.9869739583333332,0.98709375,0.9850989583333334
random_sparse_conv_fast_memory,2,14,0.9836863839285714,12.7914921875,0.9812395833333334,0.9789947916666668,0.986765625,0.9860885416666668,0.9835729166666668
random_sparse_conv_fast_memory,3,14,0.9845718005952381,12.803346354166665,0.9808697916666668,0.9804479166666666,0.9869791666666666,0.9866927083333332,0.9844895833333334
random_sparse_conv_fast_memory,4,14,0.9835223214285715,12.787796875,0.980109375,0.982921875,0.98603125,0.9858177083333334,0.9818854166666666
weight_shuffle_conv_fast_memory,0,14,0.9824575892857143,12.772130208333335,0.982265625,0.9822864583333332,0.9855208333333332,0.9822916666666668,0.9820885416666668
weight_shuffle_conv_fast_memory,1,14,0.9827470238095237,12.777403645833333,0.9803958333333334,0.9817135416666668,0.9845989583333332,0.98553125,0.982984375
weight_shuffle_conv_fast_memory,2,14,0.9806934523809525,12.750208333333335,0.9788489583333332,0.9801510416666668,0.9837708333333334,0.9820572916666668,0.976703125
weight_shuffle_conv_fast_memory,3,14,0.9818266369047619,12.765807291666667,0.9792083333333332,0.9803229166666668,0.983515625,0.9835,0.9805833333333334
weight_shuffle_conv_fast_memory,4,14,0.9809107142857142,12.753026041666665,0.9776458333333332,0.9818020833333332,0.9839895833333332,0.9819270833333332,0.9778020833333332
