model,baseline_model,metric,paired_seed_count,mean_delta,std_delta,se_delta,ci95_low,ci95_high
conv_protonet,random_sparse_conv_fast_memory,common_mean,5,-0.0035970238095238472,0.0005368951544689497,0.00024010681243656428,-0.004067633161899513,-0.0031264144571481814
conv_protonet,weight_shuffle_conv_fast_memory,common_mean,5,-0.0011187499999999906,0.00031087619326322077,0.00013902806014458476,-0.0013912449978833769,-0.0008462550021166045
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,common_mean,5,0.0009836309523809205,0.0014540246838455322,0.0006502596068082501,-0.00029087787696324956,0.0022581397817250906
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,common_mean,5,0.003461904761904777,0.0017817362646269713,0.0007968166811364924,0.001900144066877252,0.005023665456932302
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,common_mean,5,0.0024782738095238564,0.00046611863590701364,0.00020845459109351136,0.002069702810980574,0.0028868448080671388
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,common_mean,5,-0.0024782738095238564,0.00046611863590701364,0.00020845459109351136,-0.0028868448080671388,-0.002069702810980574
conv_protonet,random_sparse_conv_fast_memory,common_auc,5,-0.04670520833333356,0.006390028953372433,0.0028577078235865186,-0.052306315667563136,-0.041104100999103985
conv_protonet,weight_shuffle_conv_fast_memory,common_auc,5,-0.012650000000000716,0.0038262416533558124,0.0017111472870489565,-0.016003848682616673,-0.009296151317384762
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,common_auc,5,0.011344791666667575,0.01978732542163354,0.008849160947136456,-0.005999563789719879,0.02868914712305503
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,common_auc,5,0.04540000000000042,0.02310149663982535,0.010331303373726492,0.025150645387496496,0.06564935461250435
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,common_auc,5,0.034055208333332844,0.005801754413551643,0.00259462345149218,0.02896974636840817,0.03914067029825752
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,common_auc,5,-0.034055208333332844,0.005801754413551643,0.00259462345149218,-0.03914067029825752,-0.02896974636840817
conv_protonet,random_sparse_conv_fast_memory,final_common_val,5,-0.007751041666666692,0.002222516731244078,0.000993939698438478,-0.009699163475606109,-0.005802919857727275
conv_protonet,weight_shuffle_conv_fast_memory,final_common_val,5,-0.006601041666666596,0.0017641825167076812,0.0007889664064150067,-0.008147415823240009,-0.0050546675100931835
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,final_common_val,5,0.005015624999999991,0.0010351161221256622,0.00046291800273579097,0.00410830571463784,0.005922944285362141
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,final_common_val,5,0.006165625000000086,0.003630397756296618,0.0016235632336883904,0.0029834410619708407,0.00934780893802933
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,final_common_val,5,0.0011500000000000954,0.002641945757799215,0.001181514061461248,-0.0011657675604639507,0.0034657675604641415
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,final_common_val,5,-0.0011500000000000954,0.002641945757799215,0.001181514061461248,-0.0034657675604641415,0.0011657675604639507
conv_protonet,random_sparse_conv_fast_memory,epoch1,5,0.00044479166666675505,0.0008564470322777226,0.0003830147566601888,-0.000305917256387215,0.0011955005897207251
conv_protonet,weight_shuffle_conv_fast_memory,epoch1,5,0.0005760416666667157,0.0007195195156028324,0.00032177890960513074,-5.464499615934063e-05,0.0012067283294927718
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,epoch1,5,-0.0001635416666666556,0.0004283612740156831,0.00019156898552549634,-0.0005390168782966284,0.00021193354496331724
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch1,5,-3.2291666666695026e-05,0.0008300831801316794,0.0003712244835507276,-0.000759891654426121,0.000695308321092731
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch1,5,0.00013124999999996055,0.0008192279536882117,0.0003663698787029782,-0.0005868349622578767,0.0008493349622577977
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,epoch1,5,-0.00013124999999996055,0.0008192279536882117,0.0003663698787029782,-0.0008493349622577977,0.0005868349622578767
conv_protonet,random_sparse_conv_fast_memory,epoch3,5,-0.0017052083333332969,0.0009135363217250296,0.0004085458630584568,-0.0025059582249278723,-0.0009044584417387216
conv_protonet,weight_shuffle_conv_fast_memory,epoch3,5,0.0008302083333334487,0.0003544652540368754,0.00015852168073763703,0.0005195058390876801,0.0011409108275792171
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,epoch3,5,-0.0014020833333333149,0.0010126920792599334,0.0004528896659001632,-0.0022897470784976346,-0.0005144195881689951
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch3,5,0.0011333333333334306,0.0010369005547382767,0.00046371602526040567,0.00022444992382303548,0.002042216742843826
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch3,5,0.0025354166666667457,0.0006855183720133732,0.00030657313592937836,0.0019345333202451642,0.003136300013088327
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,epoch3,5,-0.0025354166666667457,0.0006855183720133732,0.00030657313592937836,-0.003136300013088327,-0.0019345333202451642
conv_protonet,random_sparse_conv_fast_memory,epoch5,5,-0.0024520833333333326,0.000723409189210874,0.00032351842452470436,-0.0030861794454017533,-0.001817987221264912
conv_protonet,weight_shuffle_conv_fast_memory,epoch5,5,0.0009812500000000001,0.001633361068801422,0.0007304612763283381,-0.0004504541016035425,0.0024129541016035426
