model,baseline_model,comparison_type,metric,paired_seed_count,mean_delta,std_delta,se_delta,ci95_low,ci95_high
conv_protonet,random_sparse_conv_fast_memory,reference_baseline,test_query_accuracy,5,-0.006283593749999983,0.004751372860616272,0.0021248785405571236,-0.010448355689491946,-0.0021188318105080208
conv_protonet,weight_shuffle_conv_fast_memory,reference_baseline,test_query_accuracy,5,-0.003043749999999923,0.004229823430120836,0.0018916345445143042,-0.006751353707247959,0.0006638537072481132
conv_protonet,nearest_support,reference_baseline,test_query_accuracy,5,0.5225924479166667,0.00500031389734627,0.0022362083566606333,0.5182094795376119,0.5269754162957215
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,matched_topology_control,test_query_accuracy,5,-0.00022473958333339982,0.0022801032541552124,0.0010196931744019069,-0.0022233382051611373,0.0017738590384943377
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,matched_topology_control,test_query_accuracy,5,0.00301510416666666,0.0029567671520843376,0.0013223064691398076,0.00042338348715263707,0.005606824846180683
hemibrain_conv_fast_memory,nearest_support,reference_baseline,test_query_accuracy,5,0.5286513020833332,0.003267785909516363,0.0014613982859189127,0.5257869614429321,0.5315156427237343
nearest_support,random_sparse_conv_fast_memory,reference_baseline,test_query_accuracy,5,-0.5288760416666667,0.0021368128534020882,0.0009556117590804724,-0.5307490407144644,-0.527003042618869
nearest_support,weight_shuffle_conv_fast_memory,reference_baseline,test_query_accuracy,5,-0.5256361979166667,0.0017799299617328075,0.0007960088779246314,-0.527196375317399,-0.5240760205159344
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,reference_baseline,test_query_accuracy,5,0.00323984375000006,0.0007784163018713684,0.0003481183531556753,0.0025575317778149366,0.003922155722185183
random_sparse_conv_fast_memory,nearest_support,reference_baseline,test_query_accuracy,5,0.5288760416666667,0.0021368128534020882,0.0009556117590804724,0.527003042618869,0.5307490407144644
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,reference_baseline,test_query_accuracy,5,-0.00323984375000006,0.0007784163018713684,0.0003481183531556753,-0.003922155722185183,-0.0025575317778149366
weight_shuffle_conv_fast_memory,nearest_support,reference_baseline,test_query_accuracy,5,0.5256361979166667,0.0017799299617328075,0.0007960088779246314,0.5240760205159344,0.527196375317399
conv_protonet,random_sparse_conv_fast_memory,reference_baseline,test_initial_query_accuracy,5,-0.006283593749999983,0.004751372860616272,0.0021248785405571236,-0.010448355689491946,-0.0021188318105080208
conv_protonet,weight_shuffle_conv_fast_memory,reference_baseline,test_initial_query_accuracy,5,-0.003043749999999923,0.004229823430120836,0.0018916345445143042,-0.006751353707247959,0.0006638537072481132
conv_protonet,nearest_support,reference_baseline,test_initial_query_accuracy,5,0.5225924479166667,0.00500031389734627,0.0022362083566606333,0.5182094795376119,0.5269754162957215
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,matched_topology_control,test_initial_query_accuracy,5,-0.00022473958333339982,0.0022801032541552124,0.0010196931744019069,-0.0022233382051611373,0.0017738590384943377
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,matched_topology_control,test_initial_query_accuracy,5,0.00301510416666666,0.0029567671520843376,0.0013223064691398076,0.00042338348715263707,0.005606824846180683
hemibrain_conv_fast_memory,nearest_support,reference_baseline,test_initial_query_accuracy,5,0.5286513020833332,0.003267785909516363,0.0014613982859189127,0.5257869614429321,0.5315156427237343
nearest_support,random_sparse_conv_fast_memory,reference_baseline,test_initial_query_accuracy,5,-0.5288760416666667,0.0021368128534020882,0.0009556117590804724,-0.5307490407144644,-0.527003042618869
nearest_support,weight_shuffle_conv_fast_memory,reference_baseline,test_initial_query_accuracy,5,-0.5256361979166667,0.0017799299617328075,0.0007960088779246314,-0.527196375317399,-0.5240760205159344
