arm,epoch,val_mean_r2,val_yaw_r2,val_fwd_r2,val_lat_r2
connectome,1,-0.0004841884074267,-0.0006164312362670898,-0.0007574558258056641,-7.867813110351562e-05
connectome,2,-0.0005421638488769531,-0.0007879734039306641,-0.0007054805755615234,-0.00013303756713867188
connectome,3,-0.0007632176275365055,-0.001390695571899414,-0.0007090568542480469,-0.00018990039825439453
connectome,4,-0.0004121859965380281,-0.0002008676528930664,-0.0005888938903808594,-0.0004467964172363281
connectome,5,-0.00048474469804205,-0.0005027055740356445,-0.0007376670837402344,-0.00021386146545410156
connectome,6,-0.0007028977270238101,-0.0012292861938476562,-0.0006418228149414062,-0.00023758411407470703
connectome,7,-0.0004209280014038086,-0.00034618377685546875,-0.00036263465881347656,-0.0005539655685424805
connectome,8,-0.0006560087203979492,-0.0007187128067016602,-0.0005962848663330078,-0.0006530284881591797
connectome,9,-0.0005953709478490055,-0.001145005226135254,-0.0004678964614868164,-0.00017321109771728516
connectome,10,-0.0007494688034057617,-0.0012481212615966797,-0.0007290840148925781,-0.00027120113372802734
connectome,11,-0.0003799597325269133,-0.00043463706970214844,-0.00032711029052734375,-0.0003781318664550781
connectome,12,-0.0006844202871434391,-0.0006392002105712891,-0.0011273622512817383,-0.0002866983413696289
connectome,13,-0.000514467537868768,-0.0005609989166259766,-0.0006508827209472656,-0.00033152103424072266
connectome,14,-0.0006568034295924008,-0.0010756254196166992,-0.0006973743438720703,-0.00019741058349609375
connectome,15,-0.0005964835290797055,-0.00020229816436767578,-0.001180410385131836,-0.0004067420959472656
connectome,16,-0.00030402341508306563,-0.0001512765884399414,-0.0007245540618896484,-3.62396240234375e-05
connectome,17,-0.0006004571914672852,-0.0008423328399658203,-0.000825047492980957,-0.00013399124145507812
connectome,18,-0.0005755424499511719,-0.00031495094299316406,-0.000984787940979004,-0.00042688846588134766
connectome,19,-0.0008037884836085141,-0.0009679794311523438,-0.000964045524597168,-0.0004793405532836914
connectome,20,-0.0005745887756347656,-0.0007739067077636719,-0.0005023479461669922,-0.0004475116729736328
