arm,epoch,val_mean_r2,val_yaw_r2,val_fwd_r2,val_lat_r2
control,1,0.006157954689115286,-0.007712125778198242,0.025869548320770264,0.00031644105911254883
control,2,0.05223659798502922,-0.0720522403717041,0.23740577697753906,-0.008643746376037598
control,3,0.09389382600784302,-0.027675628662109375,0.3124229311943054,-0.003065824508666992
control,4,0.10591546446084976,-0.014462828636169434,0.33296823501586914,-0.0007590055465698242
control,5,0.11256704479455948,-0.019598007202148438,0.3565996289253235,0.0006995201110839844
control,6,0.12196270376443863,-0.007187008857727051,0.37174177169799805,0.0013333559036254883
control,7,0.12186107784509659,-0.013204813003540039,0.3801700472831726,-0.001381993293762207
control,8,0.13644148409366608,-0.0014244318008422852,0.40923285484313965,0.0015160441398620605
control,9,0.14242835342884064,-0.004970073699951172,0.4296512007713318,0.0026039481163024902
control,10,0.1457672268152237,-0.0014793872833251953,0.4347240924835205,0.004056990146636963
control,11,0.15245573222637177,0.0006451010704040527,0.45208287239074707,0.0046392083168029785
control,12,0.15614646673202515,-0.0038706064224243164,0.46633362770080566,0.005976378917694092
control,13,0.16056478023529053,0.002225637435913086,0.47564148902893066,0.003827214241027832
control,14,0.16441011428833008,0.0063626766204833984,0.4835388660430908,0.0033288002014160156
control,15,0.1652776598930359,-0.002364516258239746,0.49165236949920654,0.006545126438140869
control,16,0.1688864380121231,0.0012342333793640137,0.49899202585220337,0.006433069705963135
control,17,0.17476536333560944,0.00854635238647461,0.5087594389915466,0.006990313529968262
control,18,0.16254763305187225,0.009463846683502197,0.4719105362892151,0.006268501281738281
control,19,0.17694997787475586,0.007730603218078613,0.5165959596633911,0.0065233707427978516
control,20,0.18327122926712036,0.010033071041107178,0.5300185680389404,0.009762048721313477
