root_id,super_class,cell_class,cell_sub_class,cell_type,side
720575940596125868,optic,LO>LOP,,T5c,right
720575940597856265,optic,ME>LO,,Tm16,right
720575940597944841,optic,ME>LO,,Tm7,right
720575940598267657,optic,ME>LO.LOP,,TmY15,right
720575940599333574,optic,ME>LO,,Tm1,right
720575940599457990,optic,ME>LOP,,T4b,right
720575940599459782,optic,LO>LOP,,T5b,right
720575940599704006,optic,LO>LOP,,T5a,right
720575940599729862,optic,LO>LOP,,T5a,right
720575940599733446,optic,LO>LOP,,T5b,right
720575940599736492,sensory,visual,,R1-6,left
720575940599744172,sensory,visual,,R1-6,left
720575940599755718,optic,ME>LOP,,T4a,right
720575940599763910,optic,LO>LOP,,T5b,right
720575940599797164,optic,ME,,Dm3v,left
720575940600010668,sensory,visual,,R1-6,left
720575940600071689,optic,LO>LOP,,T5b,right
720575940600084489,optic,ME>LO,,Tm9,right
720575940600101641,optic,ME>LOP,,T4a,right
720575940600124169,optic,LO>LOP,,T5b,right
720575940600143369,optic,ME>LOP,,T4a,right
720575940600150793,optic,LO>LOP,,T5a,right
720575940600322965,optic,LA>ME,L1-5,L2,left
720575940600547529,optic,ME>LOP,,T4a,right
720575940600588204,optic,ME,,Dm2,right
720575940600623020,optic,ME,,Dm3q,right
720575940600722348,optic,ME,,Sm01,right
720575940600782252,optic,ME,,Mi9,right
720575940600850441,optic,ME>LOP,,T4c,right
720575940600866569,optic,LO>LOP,,T5d,right
720575940600934665,optic,ME>LOP,,T4d,right
720575940601049097,sensory,visual,,R1-6,right
720575940601067436,optic,ME,,Mi15,right
720575940601103625,optic,ME>LO.LOP,,TmY3,right
720575940601206499,optic,ME>LOP,,T4b,right
720575940601263473,optic,ME>LOP,,T4a,left
720575940601325484,optic,ME,,Mi15,right
720575940601412361,optic,LOP>LO,,TmY20,right
720575940601423625,optic,ME>LO.LOP,,TmY31,right
720575940601598892,optic,ME,,Mi9,right
720575940601603185,optic,ME>LO,,T2a,left
720575940601653513,optic,ME,,Dm3q,right
720575940601672201,optic,ME>LOP,,T4b,right
720575940601712649,optic,LO,tangential,Li22,right
720575940601736201,optic,ME,,Dm10,right
720575940601867017,optic,ME>LO,,Tm5f,right
720575940602140862,optic,LO>LOP,,T5b,right
720575940602289198,sensory,visual,,R1-6,left
720575940602398473,optic,ME>LO,,Tm3,right
720575940602401214,optic,ME>LO,,T3,right
720575940602483424,visual_projection,,,LC31b,left
720575940602497726,optic,LO>LOP,,T5c,right
720575940602572768,optic,ME>LO,,T2a,right
720575940602577598,optic,LO>LOP,,T5a,right
720575940602619249,optic,ME,,Dm3p,left
720575940602737598,optic,LO>LOP,,T5a,right
720575940602790610,optic,LO>LOP,,T5c,right
720575940602857440,optic,ME>LO,,Tm8a,right
720575940602857696,optic,LA>ME,L1-5,L1,right
720575940602858464,optic,ME>LO,,T2a,right
720575940602880736,optic,ME>LO,,Tm9,right
720575940602885344,visual_centrifugal,,,cLP01,right
720575940602922976,optic,ME>LO,,T2,right
720575940602928608,optic,ME>LOP,,T4c,right
720575940602943968,optic,ME,columnar,Mi4,right
720575940603011808,visual_projection,,,LTe66,left
720575940603022304,optic,ME>LOP,,T4a,left
720575940603042272,optic,ME,columnar,Mi1,right
720575940603067360,visual_projection,,,LC13,right
720575940603077600,visual_projection,,,LC12,left
720575940603114869,sensory,visual,,R1-6,left
720575940603174572,visual_projection,,,LCe06,left
720575940603176049,optic,ME,,Dm3p,left
720575940603200428,optic,ME,columnar,Mi1,right
720575940603215532,optic,ME,,Dm2,right
720575940603225312,visual_projection,,,LC17,left
720575940603268780,optic,ME>LO,,Tm2,right
720575940603272038,visual_projection,,,LC18,left
720575940603295200,optic,ME,,Mi9,right
720575940603314144,optic,LOP>ME.LO,,Y4,right
720575940603314656,optic,ME>LO,,Tm2,right
720575940603318240,optic,ME>LO,,Tm4,left
720575940603327916,optic,ME,columnar,Mi1,right
720575940603333804,optic,ME>LO,,T2a,right
720575940603338156,optic,LO,,Li17,left
720575940603339232,optic,ME>LOP,,T4c,right
720575940603349216,optic,LO>LOP,,T5d,left
720575940603356896,optic,ME>LOP,,T4d,right
720575940603365980,optic,LO>LOP,,T5a,right
720575940603366112,optic,ME,,pDm8,right
720575940603372460,visual_projection,,,MeTu1,left
720575940603373916,optic,LO>LOP,,T5a,right
720575940603379168,optic,ME>LO,,Tm25,left
720575940603383008,optic,ME>LO,,Tm3,right
720575940603384748,optic,ME>LO,,Tm4,right
720575940603390380,optic,LO>LOP,,T5c,left
720575940603391404,visual_projection,,,LC6,right
720575940603391712,optic,ME>LOP,,T4c,right
720575940603391778,optic,LO>LOP,,T5d,left
720575940603392546,optic,LO>LOP,,T5b,left
720575940603394272,optic,ME>LOP,,T4c,right
720575940603397088,visual_projection,,,MTe04,right
720575940603402412,visual_projection,,,LC12,right
720575940603404834,optic,LO>LOP,,T5d,left
720575940603406258,sensory,visual,,R1-6,left
720575940603407328,optic,ME>LO.LOP,,TmY3,right
720575940603408608,optic,ME,,Dm3v,right
720575940603435232,optic,ME>LA,,C2,right
720575940603439020,visual_centrifugal,,,cLP01,right
720575940603449010,sensory,visual,,R1-6,left
720575940603452384,visual_projection,,,LC16,left
720575940603457760,optic,LO,,Li03,left
720575940603471811,optic,LO>LOP,,T5d,left
720575940603472608,optic,ME,,Mi9,right
720575940603472864,optic,ME,,Mi13,right
720575940603487456,optic,LO>LOP,,T5d,left
720575940603491957,optic,ME>LOP,,T4a,right
720575940603495340,visual_projection,,,LC13,right
720575940603495648,optic,ME>LO,,Tm2,right
720575940603497184,optic,ME,,Sm12,right
720575940603498357,optic,ME>LOP,,T4d,right
720575940603498613,optic,ME>LOP,,T4c,right
720575940603498869,optic,ME>LOP,,T4b,right
720575940603501024,optic,ME>LO,,Tm9,left
720575940603526005,optic,ME>LOP,,T4a,right
720575940603530464,optic,ME>LO.LOP,,TmY4,right
720575940603538348,visual_projection,,,LC17,right
720575940603539424,optic,bilateral,,MeMe_e01,right
720575940603544363,optic,LO>LOP,,T5d,left
720575940603552736,visual_projection,,,LC21,left
720575940603556981,optic,ME>LOP,,T4d,right
720575940603557920,optic,ME>LO,,Tm9,right
720575940603563893,optic,ME>LOP,,T4c,right
720575940603568757,optic,ME>LOP,,T4a,right
720575940603578848,visual_projection,,,LC11,right
720575940603596972,visual_projection,,,LC44,right
720575940603604258,optic,LO>LOP,,T5b,left
720575940603605538,optic,ME>LOP,,T4a,left
720575940603618494,visual_projection,,,MeTu3a,left
720575940603637438,visual_projection,,,LC4,right
720575940603672032,visual_projection,,,LC18,right
720575940603688226,optic,LO>LOP,,T5b,left
720575940603701472,optic,ME>LO,,Tm9,left
720575940603707657,optic,ME>LO,,T2,right
720575940603714652,optic,LO>LOP,,T5b,right
720575940603718316,optic,LA>ME,L1-5,L4,right
720575940603761836,optic,LO>LOP,,T5a,right
720575940603763680,optic,ME>LA,,T1,left
720575940603767980,optic,ME>LO,,T3,right
720575940603784620,optic,ME,,Mi2,left
720575940603795116,optic,LOP>ME.LO,,Tlp5,right
720575940603797420,optic,ME>LOP,,T4c,right
720575940603809452,optic,ME>LO,,Tm20,right
720575940603817900,visual_projection,,,LPLC1,right
720575940603818464,optic,LO>LOP,,T5c,left
720575940603821792,optic,ME,,Mi13,left
720575940603823136,visual_projection,,,LC10e,right
720575940603839753,optic,LOP>LO.ME,,Y12,right
720575940603841964,optic,ME,,Mi9,left
720575940603842476,optic,ME>LOP,,T4d,right
720575940603842988,optic,ME>LO.LOP,,TmY9q,right
720575940603851180,optic,LA>ME,L1-5,L4,left
720575940603853090,optic,ME,,yDm8,left
720575940603859372,optic,ME,,Dm3v,left
720575940603860000,visual_projection,,,LC10d,right
720575940603873033,optic,LO>LOP,,T5b,right
720575940603873452,optic,ME,,Dm3q,left
720575940603884512,optic,ME>LO,,Tm1,right
720575940603886880,visual_projection,,,LTe58,left
720575940603893280,optic,ME>LO,,Tm2,right
720575940603896748,optic,ME>LO.LOP,,TmY31,left
720575940603904496,optic,ME>LOP,,T4c,right
720575940603909804,visual_projection,,,LC21,right
720575940603915436,optic,ME>LO,,Tm20,right
720575940603917228,optic,LOP,,LPi09,left
720575940603923116,optic,LA>ME,L1-5,L5,right
720575940603932640,optic,LO,,Li01,left
720575940603934892,optic,ME>LO,,Tm4,right
720575940603935334,optic,ME,columnar,Mi1,right
720575940603940012,optic,LO>LOP,,T5a,right
720575940603944672,visual_projection,,,LC9,left
720575940603948716,optic,ME>LO,,Tm36,left
720575940603948832,optic,ME>LO.LOP,,TmY11,right
720575940603949024,visual_projection,,,LC10a,left
720575940603962214,visual_projection,,,LC10d,right
720575940603975392,visual_projection,,,LC28a,left
720575940603979488,visual_projection,,,LC41,right
720575940603987390,optic,LA>ME,L1-5,L4,right
720575940603989420,visual_projection,,,LPLC2,left
720575940604007392,visual_projection,,,MeTu4c,right
720575940604009062,optic,ME>LO,,Tm1,right
720575940604010412,visual_projection,,,MTe50,left
720575940604012134,optic,ME>LO.LOP,,TmY11,right
720575940604013926,optic,ME>LO,,T2a,right
720575940604014112,optic,ME,,Dm11,right
720575940604016608,visual_projection,,,LPLC1,right
720575940604023980,visual_projection,,,aMe5,right
720575940604024934,optic,ME>LO.LOP,,TmY31,right
720575940604030176,visual_projection,,,LTe48,right
720575940604030636,visual_projection,,,LLPC3,right
720575940604038880,optic,ME>LO,,Tm2,right
720575940604045484,visual_projection,,,LLPC2,left
720575940604058540,visual_projection,,,LC21,left
720575940604070078,optic,LO,,Li17,left
720575940604076990,optic,ME>LO,,Tm3,right
720575940604080318,optic,ME>LO,,Tm9,right
720575940604081836,visual_centrifugal,,,cLP02,left
720575940604084704,optic,LO>LOP,,T5b,right
720575940604086496,optic,LA>ME,L1-5,L5,right
720575940604087230,optic,ME>LO,,Tm5e,right
720575940604094240,optic,ME>LO,,Tm1,right
720575940604096614,optic,LO,,Li05,left
720575940604101310,optic,ME>LO.LOP,,TmY5a,left
