task,region,arm,seed,native,score,epochs,wall_s,src,val_score,N,edges,n_out
flow,AL,connectome,0,0,0.3027,30,105.1,local,,,,
flow,AL,connectome,4,0,0.2787,30,106.5,local,,,,
flow,AL,degree,2,0,0.2633,30,113.4,local,,,,
flow,AL,degree_sm,0,0,0.2879,30,111.9,local,,,,
flow,AL,degree_sm,4,0,0.2556,30,31.7,local,,,,
flow,AL,connectome,1,0,0.2668,30,105.1,local,,,,
flow,AL,connectome,5,0,0.2891,30,106.4,local,,,,
flow,AL,degree,3,0,0.2697,30,113.6,local,,,,
flow,AL,degree_sm,1,0,0.2438,30,111.8,local,,,,
flow,AL,degree_sm,5,0,0.2794,30,31.6,local,,,,
flow,AL,connectome,2,0,0.2945,30,105.0,local,,,,
flow,AL,degree,0,0,0.2845,30,106.2,local,,,,
flow,AL,degree,4,0,0.2578,30,113.6,local,,,,
flow,AL,degree_sm,2,0,0.2703,30,111.8,local,,,,
flow,AL,connectome,3,0,0.285,30,104.9,local,,,,
flow,AL,degree,1,0,0.2455,30,106.1,local,,,,
flow,AL,degree,5,0,0.277,30,113.5,local,,,,
flow,AL,degree_sm,3,0,0.2666,30,111.1,local,,,,
mqar,AL,degree,2,0,0.17425,40,306.2,fleet,0.18188,3499.0,258882.0,685.0
mqar,AL,degree,1,0,0.17163,34,254.8,fleet,0.17792,3499.0,258882.0,685.0
mqar,AL,degree,4,0,0.16175,31,235.4,fleet,0.16167,3499.0,258882.0,685.0
mqar,AL,degree,3,0,0.16762,40,262.3,fleet,0.17479,3499.0,258882.0,685.0
mqar,AL,degree,5,0,0.17437,33,251.2,fleet,0.17146,3499.0,258882.0,685.0
mqar,AL,degree,0,0,0.17138,40,269.2,fleet,0.16896,3499.0,258882.0,685.0
mqar,AL,connectome,5,0,0.17988,30,224.3,fleet,0.17458,3499.0,258882.0,685.0
mqar,AL,connectome,4,0,0.17063,40,306.1,fleet,0.17417,3499.0,258882.0,685.0
mqar,AL,degree_sm,2,0,0.16013,35,1099.9,fleet,0.17521,3499.0,258882.0,685.0
mqar,AL,connectome,3,0,0.1655,29,1068.6,fleet,0.17292,3499.0,258882.0,685.0
mqar,AL,degree_sm,0,0,0.16113,34,1072.7,fleet,0.16438,3499.0,258882.0,685.0
mqar,AL,connectome,0,0,0.17012,40,1439.6,fleet,0.17417,3499.0,258882.0,685.0
mqar,AL,connectome,2,0,0.1675,30,1098.1,fleet,0.1775,3499.0,258882.0,685.0
mqar,AL,connectome,1,0,0.171,29,1068.4,fleet,0.18021,3499.0,258882.0,685.0
mqar,AL,degree_sm,4,0,0.1745,39,1211.6,fleet,0.17375,3499.0,258882.0,685.0
mqar,AL,degree_sm,3,0,0.16612,38,1185.5,fleet,0.16813,3499.0,258882.0,685.0
mqar,AL,degree_sm,5,0,0.17662,40,1236.9,fleet,0.18208,3499.0,258882.0,685.0
mqar,AL,degree_sm,1,0,0.17175,32,1013.7,fleet,0.18021,3499.0,258882.0,685.0
path,AL,degree,2,0,0.89931,30,352.1,fleet,0.89416,3499.0,258882.0,685.0
path,AL,connectome,0,0,0.89783,28,313.9,fleet,0.90067,3499.0,258882.0,685.0
path,AL,connectome,1,0,0.89954,30,333.6,fleet,0.90367,3499.0,258882.0,685.0
path,AL,connectome,5,0,0.89921,30,349.1,fleet,0.90166,3499.0,258882.0,685.0
path,AL,degree,0,0,0.89925,30,343.3,fleet,0.90095,3499.0,258882.0,685.0
path,AL,connectome,3,0,0.89873,30,395.9,fleet,0.89726,3499.0,258882.0,685.0
path,AL,degree,5,0,0.89746,30,348.5,fleet,0.89807,3499.0,258882.0,685.0
path,AL,degree,4,0,0.90342,30,347.3,fleet,0.90271,3499.0,258882.0,685.0
path,AL,connectome,2,0,0.90119,30,403.6,fleet,0.89677,3499.0,258882.0,685.0
path,AL,degree,1,0,0.89904,30,340.5,fleet,0.90276,3499.0,258882.0,685.0
path,AL,connectome,4,0,0.90264,30,351.4,fleet,0.90192,3499.0,258882.0,685.0
path,AL,degree,3,0,0.89867,30,348.2,fleet,0.89734,3499.0,258882.0,685.0
path,AL,degree_sm,1,0,0.8975,30,340.4,fleet,0.90087,3499.0,258882.0,685.0
path,AL,degree_sm,0,0,0.89555,30,327.9,fleet,0.89834,3499.0,258882.0,685.0
path,AL,degree_sm,2,0,0.90231,30,1253.7,fleet,0.8979,3499.0,258882.0,685.0
path,AL,degree_sm,5,0,0.90109,30,1209.7,fleet,0.90314,3499.0,258882.0,685.0
path,AL,degree_sm,3,0,0.89874,27,1081.2,fleet,0.89765,3499.0,258882.0,685.0
path,AL,degree_sm,4,0,0.90394,30,1116.5,fleet,0.90312,3499.0,258882.0,685.0
flow,CX,degree,4,0,0.27089,30,162.3,fleet,0.28441,3499.0,466370.0,327.0
flow,CX,degree,5,0,0.29464,30,161.1,fleet,0.2472,3499.0,466370.0,327.0
flow,CX,degree_sm,0,0,0.28494,30,161.5,fleet,0.26927,3499.0,466370.0,327.0
flow,CX,degree_sm,3,0,0.27272,30,161.0,fleet,0.27017,3499.0,466370.0,327.0
flow,CX,degree_sm,4,0,0.25068,30,161.6,fleet,0.26654,3499.0,466370.0,327.0
flow,CX,degree_sm,2,0,0.24552,30,162.4,fleet,0.24168,3499.0,466370.0,327.0
flow,CX,degree_sm,1,0,0.25122,30,158.6,fleet,0.27719,3499.0,466370.0,327.0
flow,CX,degree_sm,5,0,0.28016,30,158.5,fleet,0.23573,3499.0,466370.0,327.0
flow,CX,connectome,4,0,0.28826,30,660.0,fleet,0.29657,3499.0,466370.0,327.0
flow,CX,degree,1,0,0.26668,30,661.1,fleet,0.29985,3499.0,466370.0,327.0
flow,CX,connectome,5,0,0.28518,30,659.8,fleet,0.24531,3499.0,466370.0,327.0
flow,CX,connectome,3,0,0.26023,29,642.2,fleet,0.26173,3499.0,466370.0,327.0
flow,CX,degree,3,0,0.28451,30,657.3,fleet,0.27889,3499.0,466370.0,327.0
flow,CX,degree,0,0,0.30139,30,661.4,fleet,0.28275,3499.0,466370.0,327.0
flow,CX,connectome,1,0,0.19665,30,160.6,fleet,0.21794,3499.0,466370.0,327.0
flow,CX,connectome,2,0,0.29581,30,661.0,fleet,0.27929,3499.0,466370.0,327.0
flow,CX,connectome,0,0,0.28903,30,160.7,fleet,0.27414,3499.0,466370.0,327.0
flow,CX,degree,2,0,0.27827,30,660.8,fleet,0.26788,3499.0,466370.0,327.0
mqar,CX,degree,2,0,0.199,34,263.8,fleet,0.20458,3499.0,466370.0,327.0
mqar,CX,connectome,0,0,0.20063,31,223.5,fleet,0.19792,3499.0,466370.0,327.0
mqar,CX,connectome,1,0,0.19637,32,233.4,fleet,0.19979,3499.0,466370.0,327.0
mqar,CX,connectome,5,0,0.192,28,207.2,fleet,0.19479,3499.0,466370.0,327.0
mqar,CX,degree,0,0,0.19613,39,302.5,fleet,0.19667,3499.0,466370.0,327.0
mqar,CX,connectome,3,0,0.19563,26,155.6,fleet,0.19667,3499.0,466370.0,327.0
mqar,CX,degree,5,0,0.19662,32,250.0,fleet,0.19813,3499.0,466370.0,327.0
mqar,CX,degree,4,0,0.19187,38,295.9,fleet,0.19771,3499.0,466370.0,327.0
mqar,CX,connectome,2,0,0.19537,34,203.4,fleet,0.20583,3499.0,466370.0,327.0
mqar,CX,degree,1,0,0.1975,34,263.4,fleet,0.20229,3499.0,466370.0,327.0
mqar,CX,connectome,4,0,0.18925,24,177.7,fleet,0.19229,3499.0,466370.0,327.0
mqar,CX,degree,3,0,0.1905,35,271.9,fleet,0.19083,3499.0,466370.0,327.0
mqar,CX,degree_sm,1,0,0.19987,37,285.2,fleet,0.20312,3499.0,466370.0,327.0
mqar,CX,degree_sm,0,0,0.19312,40,304.5,fleet,0.19062,3499.0,466370.0,327.0
mqar,CX,degree_sm,2,0,0.19363,34,1507.0,fleet,0.20042,3499.0,466370.0,327.0
mqar,CX,degree_sm,5,0,0.195,36,1575.8,fleet,0.195,3499.0,466370.0,327.0
mqar,CX,degree_sm,3,0,0.19475,40,1687.7,fleet,0.18896,3499.0,466370.0,327.0
mqar,CX,degree_sm,4,0,0.19025,40,1688.0,fleet,0.19542,3499.0,466370.0,327.0
flow,MB,degree,2,0,0.21728,30,85.3,fleet,0.21105,3499.0,218164.0,96.0
flow,MB,degree,1,0,0.23696,30,81.8,fleet,0.26098,3499.0,218164.0,96.0
flow,MB,degree,4,0,0.24278,30,51.8,fleet,0.2546,3499.0,218164.0,96.0
flow,MB,degree,3,0,0.25672,30,45.3,fleet,0.25513,3499.0,218164.0,96.0
flow,MB,degree,5,0,0.2548,30,81.7,fleet,0.20752,3499.0,218164.0,96.0
flow,MB,degree,0,0,0.27803,30,48.5,fleet,0.25624,3499.0,218164.0,96.0
flow,MB,connectome,5,0,0.23835,30,50.6,fleet,0.20512,3499.0,218164.0,96.0
flow,MB,connectome,4,0,0.24989,30,85.3,fleet,0.26624,3499.0,218164.0,96.0
flow,MB,degree_sm,2,0,0.24807,30,355.2,fleet,0.24008,3499.0,218164.0,96.0
flow,MB,connectome,3,0,0.25822,30,439.6,fleet,0.25897,3499.0,218164.0,96.0
flow,MB,degree_sm,0,0,0.26177,30,359.8,fleet,0.24099,3499.0,218164.0,96.0
flow,MB,connectome,0,0,0.27728,30,315.8,fleet,0.26135,3499.0,218164.0,96.0
flow,MB,connectome,2,0,0.22374,30,435.4,fleet,0.21922,3499.0,218164.0,96.0
flow,MB,connectome,1,0,-0.00254,17,263.1,fleet,-0.00038,3499.0,218164.0,96.0
flow,MB,degree_sm,4,0,0.23895,30,312.5,fleet,0.24797,3499.0,218164.0,96.0
flow,MB,degree_sm,3,0,0.2422,30,323.7,fleet,0.24093,3499.0,218164.0,96.0
flow,MB,degree_sm,5,0,0.25462,30,299.7,fleet,0.21391,3499.0,218164.0,96.0
flow,MB,degree_sm,1,0,0.22644,30,368.3,fleet,0.25284,3499.0,218164.0,96.0
mqar,MB,connectome,0,1,0.191,40,314.2,local,,,,
mqar,MB,connectome,4,1,0.1874,40,264.0,local,,,,
mqar,MB,degree,2,1,0.1896,40,175.0,local,,,,
mqar,MB,degree_sm,0,1,0.193,40,156.2,local,,,,
mqar,MB,degree_sm,4,1,0.1847,39,89.4,local,,,,
mqar,MB,connectome,1,1,0.1979,40,314.6,local,,,,
mqar,MB,connectome,5,1,0.1976,36,246.3,local,,,,
mqar,MB,degree,3,1,0.1812,40,175.3,local,,,,
mqar,MB,degree_sm,1,1,0.1936,40,164.6,local,,,,
mqar,MB,degree_sm,5,1,0.1921,40,94.6,local,,,,
mqar,MB,connectome,2,1,0.1923,38,298.7,local,,,,
mqar,MB,degree,0,1,0.1593,31,231.4,local,,,,
mqar,MB,degree,4,1,0.1811,40,175.4,local,,,,
mqar,MB,degree_sm,2,1,0.1856,40,174.7,local,,,,
mqar,MB,connectome,3,1,0.1856,37,290.7,local,,,,
mqar,MB,degree,1,1,0.1864,36,256.7,local,,,,
mqar,MB,degree,5,1,0.1923,40,175.2,local,,,,
mqar,MB,degree_sm,3,1,0.1842,40,170.6,local,,,,
path,MB,degree,4,0,0.90233,30,502.4,fleet,0.90285,3499.0,218164.0,96.0
path,MB,degree,5,0,0.89999,30,502.5,fleet,0.90251,3499.0,218164.0,96.0
path,MB,degree_sm,0,0,0.88354,30,499.9,fleet,0.88596,3499.0,218164.0,96.0
path,MB,degree_sm,3,0,0.88582,30,502.2,fleet,0.88486,3499.0,218164.0,96.0
path,MB,degree_sm,4,0,0.88388,30,500.2,fleet,0.88448,3499.0,218164.0,96.0
path,MB,degree_sm,2,0,0.87191,30,502.7,fleet,0.86596,3499.0,218164.0,96.0
path,MB,degree_sm,1,0,0.87197,30,495.0,fleet,0.87481,3499.0,218164.0,96.0
path,MB,degree_sm,5,0,0.87501,30,495.2,fleet,0.87651,3499.0,218164.0,96.0
path,MB,connectome,4,0,0.88443,30,2068.1,fleet,0.88411,3499.0,218164.0,96.0
path,MB,degree,1,0,0.89751,30,2067.9,fleet,0.90039,3499.0,218164.0,96.0
path,MB,connectome,5,0,0.86804,30,2067.6,fleet,0.86892,3499.0,218164.0,96.0
path,MB,connectome,3,0,0.88661,30,2066.5,fleet,0.88261,3499.0,218164.0,96.0
path,MB,degree,3,0,0.90041,30,2067.3,fleet,0.89994,3499.0,218164.0,96.0
path,MB,degree,0,0,0.89674,30,2065.9,fleet,0.89893,3499.0,218164.0,96.0
path,MB,connectome,1,0,0.86871,30,1648.1,fleet,0.87338,3499.0,218164.0,96.0
path,MB,connectome,2,0,0.87159,30,2066.8,fleet,0.86639,3499.0,218164.0,96.0
path,MB,connectome,0,0,0.86023,30,1647.9,fleet,0.86338,3499.0,218164.0,96.0
path,MB,degree,2,0,0.90273,30,2067.7,fleet,0.89733,3499.0,218164.0,96.0
path,CX,connectome,0,1,0.8161,30,195.9,local,,,,
path,CX,connectome,4,1,0.893,30,197.2,local,,,,
path,CX,degree,2,1,0.893,30,199.4,local,,,,
path,CX,degree_sm,0,1,0.8876,30,192.0,local,,,,
