task,region,arm,seed,native,score,val_score,N,edges,n_out,epochs,wall_s
mqar,AL,connectome,0,0,0.174,0.17125,3499,258882,685,31,85.4
mqar,MB,degree,3,1,0.17225,0.17854,3499,218164,96,40,97.9
mqar,OL,connectome,0,0,0.03663,0.03729,3499,60742,22,10,19.8
path,AL,degree,3,0,0.89245,0.89011,3499,258882,685,23,134.5
path,CX,connectome,0,1,0.88576,0.88872,3499,466370,327,30,279.0
path,OL,degree,3,0,0.87893,0.87675,3499,60742,22,30,121.3
flow,MB,connectome,0,0,0.25694,0.24054,3499,218164,96,30,34.5
flow,CX,degree,3,0,0.27509,0.27008,3499,466370,327,30,60.4
mqar,AL,random,3,0,0.19062,0.19271,3499,258882,685,34,95.0
mqar,CX,degree,0,0,0.19338,0.19833,3499,466370,327,40,179.2
mqar,OL,random,3,0,0.18937,0.19104,3499,60742,22,40,76.3
path,MB,degree,0,0,0.89626,0.8988,3499,218164,96,30,158.8
path,CX,random,3,1,0.89742,0.89515,3499,466370,327,30,281.9
flow,AL,degree,0,0,0.27781,0.26244,3499,258882,685,30,38.4
flow,MB,random,3,0,0.25649,0.25067,3499,218164,96,30,34.9
flow,OL,degree,0,1,0.21423,0.19409,3499,60742,22,30,27.5
mqar,AL,random,2,0,0.19737,0.20979,3499,258882,685,32,90.6
mqar,CX,connectome,5,0,0.19688,0.19375,3499,466370,327,27,120.2
mqar,OL,random,2,0,0.19212,0.19771,3499,60742,22,40,75.3
path,MB,connectome,5,0,0.87762,0.87873,3499,218164,96,30,159.2
path,CX,random,2,1,0.8938,0.88877,3499,466370,327,30,286.1
flow,AL,connectome,5,0,0.27455,0.24204,3499,258882,685,30,39.0
flow,MB,random,2,0,0.26337,0.25379,3499,218164,96,30,34.8
flow,OL,connectome,5,1,-0.00214,-0.00125,3499,60742,22,11,10.0
mqar,AL,degree,5,0,0.17975,0.17917,3499,258882,685,37,105.6
mqar,CX,connectome,2,0,0.19775,0.19938,3499,466370,327,31,140.3
mqar,OL,degree,5,0,0.19013,0.18854,3499,60742,22,40,76.3
path,MB,connectome,2,0,0.87721,0.87155,3499,218164,96,30,164.6
path,CX,degree,5,1,0.89887,0.89977,3499,466370,327,30,292.4
