task,region,native,con,deg,rnd,pct_vs_deg,pct_vs_rnd,rank_deg,rank_rnd,p_deg,p_rnd,dead,n
flow,AL,0,0.281125,0.26573166666666664,0.2655133333333333,5.792811043722065,5.879805157305355,6/6,4/6,0.04129793510324484,0.09109544522773862,False,6
flow,CX,0,0.2840833333333334,0.2818583333333333,0.28328666666666663,0.789403660231235,0.28122278963597963,4/6,4/6,0.41107944602769864,0.4712764361781911,False,6
flow,MB,0,0.20917,0.2456533333333333,0.2663016666666667,-14.851552323056874,-21.45373980635997,0/6,0/6,0.6022698865056747,0.9705514724263787,False,6
flow,OL,1,-0.0018183333333333333,0.15734,0.2535833333333333,-101.15567136985722,-100.7170555372987,1/6,0/6,0.9948502574871256,0.999950002499875,False,6
mqar,AL,0,0.172145,0.17264333333333334,0.19618499999999997,-0.2886490452377834,-12.253740092259848,2/6,0/6,0.5553222338883056,0.9990500474976252,False,6
mqar,CX,0,0.19558333333333333,0.19264499999999998,0.19320833333333334,1.5252580307474104,1.229243045072239,4/6,5/6,0.1801409929503525,0.19714014299285035,False,6
mqar,MB,1,0.18843833333333335,0.18083333333333332,0.19456166666666666,4.205529953917067,-3.1472455177021756,5/6,1/6,0.04594770261486926,0.936153192340383,False,6
mqar,OL,0,0.032959999999999996,0.16010333333333332,0.19218666666666664,-79.41329557993797,-82.85000693769946,1/6,0/6,0.9947002649867507,0.99930003499825,False,6
path,AL,0,0.9005200000000001,0.8994966666666667,0.9006416666666667,0.1137673291359289,-0.013508887182276587,3/6,3/6,0.3340332983350833,0.5206739663016849,False,6
path,CX,1,0.8888683333333334,0.898705,0.8941683333333333,-1.0945378813589115,-0.5927295568880547,0/6,0/6,0.9993500324983751,0.9941502924853758,False,6
path,MB,0,0.8763899999999999,0.9004099999999999,0.8949783333333334,-2.6676736153530105,-2.076959032527812,0/6,0/6,0.999850007499625,1.0,False,6
path,OL,0,0.7299883333333335,0.8782016666666667,0.8958333333333334,-16.87691323746822,-18.512930232558126,0/6,0/6,0.999550022498875,0.9991500424978751,False,6
