task,region,arm,seed,native,score,epochs,wall_s,src
flow,AL,connectome,0,0,0.3027,30,105.1,local
flow,AL,connectome,4,0,0.2787,30,106.5,local
flow,AL,degree,2,0,0.2633,30,113.4,local
flow,AL,degree_sm,0,0,0.2879,30,111.9,local
flow,AL,degree_sm,4,0,0.2556,30,31.7,local
flow,AL,connectome,1,0,0.2668,30,105.1,local
flow,AL,connectome,5,0,0.2891,30,106.4,local
flow,AL,degree,3,0,0.2697,30,113.6,local
flow,AL,degree_sm,1,0,0.2438,30,111.8,local
flow,AL,degree_sm,5,0,0.2794,30,31.6,local
flow,AL,connectome,2,0,0.2945,30,105.0,local
flow,AL,degree,0,0,0.2845,30,106.2,local
flow,AL,degree,4,0,0.2578,30,113.6,local
flow,AL,degree_sm,2,0,0.2703,30,111.8,local
flow,AL,connectome,3,0,0.285,30,104.9,local
flow,AL,degree,1,0,0.2455,30,106.1,local
flow,AL,degree,5,0,0.277,30,113.5,local
flow,AL,degree_sm,3,0,0.2666,30,111.1,local
mqar,MB,connectome,0,1,0.191,40,314.2,local
mqar,MB,connectome,4,1,0.1874,40,264.0,local
mqar,MB,degree,2,1,0.1896,40,175.0,local
mqar,MB,degree_sm,0,1,0.193,40,156.2,local
mqar,MB,degree_sm,4,1,0.1847,39,89.4,local
mqar,MB,connectome,1,1,0.1979,40,314.6,local
mqar,MB,connectome,5,1,0.1976,36,246.3,local
mqar,MB,degree,3,1,0.1812,40,175.3,local
mqar,MB,degree_sm,1,1,0.1936,40,164.6,local
mqar,MB,degree_sm,5,1,0.1921,40,94.6,local
mqar,MB,connectome,2,1,0.1923,38,298.7,local
mqar,MB,degree,0,1,0.1593,31,231.4,local
mqar,MB,degree,4,1,0.1811,40,175.4,local
mqar,MB,degree_sm,2,1,0.1856,40,174.7,local
mqar,MB,connectome,3,1,0.1856,37,290.7,local
mqar,MB,degree,1,1,0.1864,36,256.7,local
mqar,MB,degree,5,1,0.1923,40,175.2,local
mqar,MB,degree_sm,3,1,0.1842,40,170.6,local
