task,model,seed,metric
mqar,degree_preserving_random,0,0.1779
mqar,degree_preserving_random,1,0.184
mqar,degree_preserving_random,2,0.178
mqar,degree_preserving_random,3,0.1785
mqar,degree_preserving_random,4,0.1607
mqar,hemibrain_seeded,0,0.1835
mqar,hemibrain_seeded,1,0.1915
mqar,hemibrain_seeded,2,0.1897
mqar,hemibrain_seeded,3,0.1859
mqar,hemibrain_seeded,4,0.1874
mqar,random_sparse,0,0.1944
mqar,random_sparse,1,0.1968
mqar,random_sparse,2,0.2002
mqar,random_sparse,3,0.1963
mqar,random_sparse,4,0.195
mqar,weight_shuffle,0,0.184
mqar,weight_shuffle,1,0.1856
mqar,weight_shuffle,2,0.1827
mqar,weight_shuffle,3,0.1806
mqar,weight_shuffle,4,0.1818
flow,optic_lobe_seeded,0,0.1159278973937034
flow,optic_lobe_seeded,1,0.1175607666373252
flow,optic_lobe_seeded,2,0.1144075319170951
flow,random_sparse,0,0.1241673231124877
flow,random_sparse,1,0.1235037669539451
flow,random_sparse,2,0.1210162639617919
flow,random_weight_topology,0,0.1177423670887947
flow,random_weight_topology,1,0.1150696203112602
flow,random_weight_topology,2,0.1143597066402435
flow,shuffled_topology,0,0.1231571361422538
flow,shuffled_topology,1,0.1247420161962509
flow,shuffled_topology,2,0.1249961555004119
path,connectome_bpu,0,0.3996150782331824
path,connectome_bpu,1,0.3996150782331824
path,connectome_bpu,2,0.3996150782331824
path,connectome_bpu,3,0.3996150782331824
path,connectome_bpu,4,0.3996150782331824
path,connectome_bpu,5,0.3996150782331824
path,connectome_bpu,6,0.3996150782331824
path,connectome_bpu,7,0.3971054190769791
path,connectome_bpu,8,0.3971054190769791
path,connectome_bpu,9,0.3971054190769791
path,connectome_bpu,10,0.3971054190769791
path,connectome_bpu,11,0.3971054190769791
path,connectome_bpu,12,0.3971054190769791
path,connectome_bpu,13,0.3971054190769791
path,connectome_bpu,14,0.3969766236841678
path,connectome_bpu,15,0.3969766236841678
path,connectome_bpu,16,0.3969766236841678
path,connectome_bpu,17,0.3969766236841678
path,connectome_bpu,18,0.3969766236841678
path,connectome_bpu,19,0.3969766236841678
path,connectome_bpu,20,0.3969766236841678
path,degree_shuffle,0,0.432730246335268
path,degree_shuffle,1,0.432730246335268
path,degree_shuffle,2,0.432730246335268
path,degree_shuffle,3,0.432730246335268
path,degree_shuffle,4,0.432730246335268
path,degree_shuffle,5,0.432730246335268
path,degree_shuffle,6,0.432730246335268
path,degree_shuffle,7,0.4131233021616936
path,degree_shuffle,8,0.4131233021616936
path,degree_shuffle,9,0.4131233021616936
path,degree_shuffle,10,0.4131233021616936
path,degree_shuffle,11,0.4131233021616936
path,degree_shuffle,12,0.4131233021616936
path,degree_shuffle,13,0.4131233021616936
path,degree_shuffle,14,0.4120752075687051
path,degree_shuffle,15,0.4120752075687051
path,degree_shuffle,16,0.4120752075687051
path,degree_shuffle,17,0.4120752075687051
path,degree_shuffle,18,0.4120752075687051
path,degree_shuffle,19,0.4120752075687051
path,degree_shuffle,20,0.4120752075687051
path,random,0,0.4559453492984175
path,random,1,0.4559453492984175
path,random,2,0.4559453492984175
path,random,3,0.4559453492984175
path,random,4,0.4559453492984175
path,random,5,0.4559453492984175
path,random,6,0.4559453492984175
path,random,7,0.4509281106293201
path,random,8,0.4509281106293201
path,random,9,0.4509281106293201
path,random,10,0.4509281106293201
path,random,11,0.4509281106293201
path,random,12,0.4509281106293201
path,random,13,0.4509281106293201
path,random,14,0.4457124266773462
path,random,15,0.4457124266773462
path,random,16,0.4457124266773462
path,random,17,0.4457124266773462
path,random,18,0.4457124266773462
path,random,19,0.4457124266773462
path,random,20,0.4457124266773462
path,weight_shuffle,0,0.4052121341228485
path,weight_shuffle,1,0.4052121341228485
path,weight_shuffle,2,0.4052121341228485
path,weight_shuffle,3,0.4052121341228485
path,weight_shuffle,4,0.4052121341228485
path,weight_shuffle,5,0.4052121341228485
path,weight_shuffle,6,0.4052121341228485
path,weight_shuffle,7,0.4144513458013534
path,weight_shuffle,8,0.4144513458013534
path,weight_shuffle,9,0.4144513458013534
path,weight_shuffle,10,0.4144513458013534
path,weight_shuffle,11,0.4144513458013534
path,weight_shuffle,12,0.4144513458013534
path,weight_shuffle,13,0.4144513458013534
path,weight_shuffle,14,0.4154178779572248
path,weight_shuffle,15,0.4154178779572248
path,weight_shuffle,16,0.4154178779572248
path,weight_shuffle,17,0.4154178779572248
path,weight_shuffle,18,0.4154178779572248
path,weight_shuffle,19,0.4154178779572248
path,weight_shuffle,20,0.4154178779572248
