region,arm,seed,N,edges,n_in,n_out,wall_s,test_low_auprc,test_low_auroc,test_low_recall,test_low_specificity,test_low_precision,test_low_recall_at_fpr10,test_low_recall_at_fpr05,test_low_balanced_acc,test_low_f1_at_0p5,test_low_f1_best,test_low_thr_f1_best,test_low_accuracy,test_low_n,test_low_n_pos,test_iid_auprc,test_iid_auroc,test_iid_recall,test_iid_specificity,test_iid_precision,test_iid_recall_at_fpr10,test_iid_recall_at_fpr05,test_iid_balanced_acc,test_iid_f1_at_0p5,test_iid_f1_best,test_iid_thr_f1_best,test_iid_accuracy,test_iid_n,test_iid_n_pos
AL,connectome,0,3499,258882,2385,685,91.1,0.98779,0.91052,0.8592,0.76437,0.96686,0.7069,0.68534,0.81178,0.90985,0.95522,0.00522,0.84866,1566,1392,0.97601,0.9378,0.91379,0.76437,0.91183,0.75431,0.73276,0.83908,0.91281,0.93374,0.1611,0.87304,638,464
AL,random,4,3499,258882,2385,685,115.4,0.98877,0.91907,0.91882,0.6954,0.96021,0.71624,0.65445,0.80711,0.93906,0.96345,0.00907,0.894,1566,1392,0.9779,0.9431,0.97414,0.6954,0.89505,0.75216,0.71336,0.83477,0.93292,0.93582,0.50934,0.89812,638,464
MB,random,2,3499,274271,406,96,131.1,0.98616,0.89965,0.76868,0.78161,0.9657,0.68032,0.65517,0.77514,0.856,0.95643,0.0003,0.77011,1566,1392,0.97694,0.93969,0.8556,0.78161,0.91264,0.75647,0.74353,0.81861,0.8832,0.92894,0.26269,0.83542,638,464
CX,random,0,3499,482490,307,327,157.8,0.98149,0.86682,0.88147,0.61494,0.94822,0.63865,0.6092,0.7482,0.91363,0.94817,0.00048,0.85185,1566,1392,0.95417,0.88142,0.90302,0.61494,0.86214,0.65086,0.62284,0.75898,0.88211,0.89691,0.37316,0.82445,638,464
OL,degree,4,3499,137087,1399,22,107.6,0.98619,0.89994,0.81322,0.75862,0.96422,0.67672,0.64152,0.78592,0.88231,0.95128,0.10955,0.80715,1566,1392,0.97459,0.9325,0.89009,0.75862,0.90769,0.73922,0.71983,0.82435,0.8988,0.93292,0.28435,0.85423,638,464
AL,connectome,4,3499,258882,2385,685,104.3,0.99093,0.93414,0.86638,0.8046,0.97258,0.74497,0.6717,0.83549,0.91641,0.96593,0.03138,0.85951,1566,1392,0.97973,0.94748,0.89871,0.8046,0.92461,0.7694,0.71983,0.85165,0.91148,0.93789,0.19208,0.87304,638,464
MB,connectome,2,3499,274271,406,96,119.0,0.98713,0.9076,0.86063,0.73563,0.96302,0.68175,0.65805,0.79813,0.90895,0.96022,0.00699,0.84674,1566,1392,0.9762,0.93904,0.95474,0.73563,0.90593,0.74784,0.72414,0.84519,0.9297,0.93807,0.30419,0.89498,638,464
CX,connectome,0,3499,482490,307,327,154.5,0.98206,0.8728,0.87572,0.62069,0.94864,0.63793,0.60489,0.7482,0.91072,0.95499,0.00615,0.84738,1566,1392,0.96045,0.89845,0.92672,0.62069,0.86694,0.68319,0.63362,0.77371,0.89583,0.91972,0.03807,0.84326,638,464
CX,random,4,3499,482490,307,327,167.2,0.98688,0.90699,0.84626,0.74713,0.96399,0.66954,0.63793,0.7967,0.9013,0.96472,0.00475,0.83525,1566,1392,0.97357,0.93257,0.91379,0.74713,0.90598,0.71552,0.69612,0.83046,0.90987,0.93252,0.28457,0.86834,638,464
OL,random,2,3499,137087,1399,22,82.8,0.98505,0.89158,0.89224,0.66667,0.95538,0.6681,0.65086,0.77945,0.92273,0.95779,0.00351,0.86718,1566,1392,0.97877,0.94447,0.9806,0.66667,0.88694,0.77371,0.76509,0.82364,0.93142,0.93361,0.49699,0.89498,638,464
AL,connectome,1,3499,258882,2385,685,178.9,0.98787,0.91147,0.89583,0.72414,0.96293,0.68319,0.65374,0.80999,0.92817,0.95937,0.00998,0.87676,1566,1392,0.97668,0.94022,0.94397,0.72414,0.90123,0.74138,0.71767,0.83405,0.92211,0.93986,0.11703,0.88401,638,464
AL,random,5,3499,258882,2385,685,51.5,0.98121,0.86922,0.85704,0.68391,0.95593,0.60345,0.54526,0.77047,0.90379,0.95301,0.00122,0.8378,1566,1392,0.9652,0.91066,0.93319,0.68391,0.8873,0.67888,0.65086,0.80855,0.90966,0.91959,0.35017,0.8652,638,464
MB,random,3,3499,274271,406,96,155.1,0.98744,0.90926,0.87213,0.71839,0.9612,0.6875,0.66739,0.79526,0.9145,0.96139,0.00017,0.85504,1566,1392,0.97425,0.93237,0.93319,0.71839,0.89834,0.75,0.73491,0.82579,0.91543,0.92678,0.44803,0.87461,638,464
CX,random,1,3499,482490,307,327,269.5,0.98896,0.91988,0.84411,0.77011,0.96708,0.69899,0.66954,0.80711,0.90142,0.95955,0.00116,0.83589,1566,1392,0.97969,0.94779,0.93319,0.77011,0.91543,0.75862,0.73276,0.85165,0.92423,0.93886,0.31546,0.88871,638,464
OL,degree,5,3499,137087,1399,22,107.7,0.9845,0.8903,0.8671,0.71839,0.96099,0.64583,0.62141,0.79274,0.91163,0.95936,0.00533,0.85057,1566,1392,0.96915,0.91976,0.94181,0.71839,0.89918,0.70905,0.68534,0.8301,0.92,0.92482,0.38542,0.88088,638,464
AL,degree,4,3499,258882,2385,685,179.5,0.9861,0.90154,0.88793,0.72989,0.96337,0.66667,0.63003,0.80891,0.92411,0.96597,0.00414,0.87037,1566,1392,0.97516,0.9361,0.96336,0.72989,0.90486,0.74138,0.72629,0.84662,0.93319,0.93388,0.43112,0.89969,638,464
MB,degree,2,3499,274271,406,96,161.7,0.98248,0.87608,0.85991,0.67241,0.95455,0.64727,0.60704,0.76616,0.90476,0.95721,0.00419,0.83908,1566,1392,0.9699,0.92255,0.95905,0.67241,0.88645,0.74569,0.67026,0.81573,0.92133,0.92703,0.46949,0.88088,638,464
CX,degree,0,3499,482490,307,327,121.7,0.98533,0.89653,0.8283,0.72989,0.96083,0.6444,0.61782,0.77909,0.88966,0.95841,0.04692,0.81737,1566,1392,0.97173,0.92861,0.90302,0.72989,0.89914,0.72198,0.68319,0.81645,0.90108,0.93496,0.30925,0.8558,638,464
OL,connectome,4,3499,137087,1399,22,38.9,1.0,0.5,1.0,0.0,0.88889,0.0,0.0,0.5,0.94118,1.0,0.55396,0.88889,1566,1392,1.0,0.5,1.0,0.0,0.72727,0.0,0.0,0.5,0.84211,1.0,0.55396,0.72727,638,464
AL,connectome,5,3499,258882,2385,685,55.5,0.98511,0.89334,0.79167,0.77586,0.96582,0.66667,0.63147,0.78376,0.87011,0.95265,0.02614,0.78991,1566,1392,0.96925,0.92104,0.8319,0.77586,0.90824,0.71767,0.67241,0.80388,0.86839,0.92593,0.22199,0.81661,638,464
MB,connectome,3,3499,274271,406,96,149.8,0.98634,0.90308,0.89727,0.70115,0.96003,0.67026,0.64152,0.79921,0.92759,0.96206,0.00937,0.87548,1566,1392,0.96968,0.92182,0.93319,0.70115,0.89278,0.71336,0.69828,0.81717,0.91254,0.92683,0.17095,0.86991,638,464
CX,connectome,1,3499,482490,307,327,143.9,0.98362,0.88196,0.80819,0.71264,0.95745,0.65733,0.62931,0.76042,0.87651,0.95185,0.00183,0.79757,1566,1392,0.97198,0.92859,0.90733,0.71264,0.89384,0.72629,0.70259,0.80999,0.90053,0.93699,0.23902,0.85423,638,464
CX,random,5,3499,482490,307,327,107.9,0.98321,0.8826,0.8046,0.72989,0.95973,0.64152,0.58549,0.76724,0.87534,0.95544,0.00238,0.7963,1566,1392,0.9682,0.9201,0.87284,0.72989,0.89602,0.69181,0.65517,0.80136,0.88428,0.93156,0.28642,0.83386,638,464
OL,random,3,3499,137087,1399,22,83.1,0.98944,0.92323,0.9102,0.72989,0.96423,0.71049,0.69037,0.82004,0.93644,0.96385,0.00276,0.89017,1566,1392,0.98004,0.94766,0.95474,0.72989,0.90408,0.77371,0.76724,0.84231,0.92872,0.93418,0.57461,0.89342,638,464
AL,connectome,2,3499,258882,2385,685,119.1,0.98735,0.90769,0.88218,0.73563,0.96389,0.70761,0.6408,0.80891,0.92123,0.95522,0.00057,0.8659,1566,1392,0.97594,0.93904,0.94397,0.73563,0.90496,0.73276,0.69828,0.8398,0.92405,0.93402,0.24675,0.88715,638,464
MB,connectome,0,3499,274271,406,96,90.5,0.9828,0.87789,0.86997,0.61494,0.94757,0.65158,0.59555,0.74246,0.90712,0.95994,0.00444,0.84163,1566,1392,0.9647,0.90791,0.93103,0.61494,0.86573,0.71552,0.6681,0.77299,0.8972,0.91502,0.17134,0.84483,638,464
MB,random,4,3499,274271,406,96,121.6,0.98683,0.90517,0.88793,0.7069,0.96037,0.67672,0.65661,0.79741,0.92273,0.96253,0.00028,0.86782,1566,1392,0.97173,0.92753,0.94828,0.7069,0.89613,0.7069,0.69397,0.82759,0.92147,0.92612,0.4531,0.88245,638,464
CX,random,2,3499,482490,307,327,95.9,0.98698,0.90535,0.72342,0.86782,0.97767,0.70402,0.65158,0.79562,0.83154,0.95484,0.00181,0.73946,1566,1392,0.98002,0.94807,0.80172,0.86782,0.94177,0.79741,0.7306,0.83477,0.86612,0.93578,0.27087,0.81975,638,464
OL,random,0,3499,137087,1399,22,63.5,0.98629,0.90022,0.85704,0.74138,0.96365,0.69109,0.65517,0.79921,0.90722,0.95311,0.00703,0.84419,1566,1392,0.97072,0.923,0.90948,0.74138,0.90364,0.74138,0.68966,0.82543,0.90655,0.91399,0.34304,0.86364,638,464
AL,random,0,3499,258882,2385,685,90.6,0.98511,0.89301,0.79023,0.73563,0.95986,0.6681,0.64655,0.76293,0.86682,0.95721,0.00031,0.78416,1566,1392,0.9717,0.92696,0.86422,0.73563,0.89709,0.71983,0.70259,0.79993,0.88035,0.92923,0.24243,0.82915,638,464
MB,degree,4,3499,274271,406,96,120.9,0.98677,0.90302,0.89224,0.6954,0.95907,0.69684,0.65876,0.79382,0.92445,0.95682,0.00355,0.87037,1566,1392,0.97283,0.92805,0.94828,0.6954,0.89249,0.74138,0.71767,0.82184,0.91954,0.92466,0.46382,0.87931,638,464
CX,degree,2,3499,482490,307,327,194.3,0.98463,0.88985,0.87069,0.6954,0.9581,0.6602,0.6444,0.78305,0.91231,0.96091,0.0003,0.85121,1566,1392,0.97,0.92259,0.95474,0.6954,0.89315,0.71983,0.70905,0.82507,0.92292,0.92777,0.34464,0.88401,638,464
OL,degree,0,3499,137087,1399,22,106.7,0.98007,0.86376,0.88937,0.62069,0.94939,0.59124,0.5546,0.75503,0.9184,0.95823,0.00054,0.85951,1566,1392,0.96272,0.9054,0.96983,0.62069,0.87209,0.67888,0.64871,0.79526,0.91837,0.92585,0.22284,0.87461,638,464
