region,arm,seed,N,edges,wall_s,test_low_auprc,test_low_auroc,test_low_recall,test_low_specificity,test_low_precision,test_low_recall_at_fpr10,test_low_recall_at_fpr05,test_low_balanced_acc,test_low_f1_at_0p5,test_low_f1_best,test_low_thr_f1_best,test_low_accuracy,test_low_n,test_low_n_pos,test_iid_auprc,test_iid_auroc,test_iid_recall,test_iid_specificity,test_iid_precision,test_iid_recall_at_fpr10,test_iid_recall_at_fpr05,test_iid_balanced_acc,test_iid_f1_at_0p5,test_iid_f1_best,test_iid_thr_f1_best,test_iid_accuracy,test_iid_n,test_iid_n_pos
AL,connectome,0,3499,258882,54.8,0.98813,0.91206,0.90445,0.6954,0.9596,0.73132,0.66882,0.79993,0.93121,0.95241,0.00802,0.88123,1566,1392,0.98557,0.96294,0.99138,0.6954,0.89669,0.84052,0.78448,0.84339,0.94166,0.94347,0.58183,0.91066,638,464
AL,random,4,3499,258882,41.7,0.97268,0.81551,0.80675,0.59195,0.94054,0.54741,0.48707,0.69935,0.86852,0.95136,0.00888,0.78289,1566,1392,0.95649,0.88507,0.88793,0.59195,0.853,0.67241,0.63147,0.73994,0.87012,0.90533,0.09011,0.80721,638,464
MB,random,2,3499,295696,126.4,0.97929,0.86337,0.87069,0.65517,0.95283,0.53233,0.47917,0.76293,0.90991,0.95683,0.02543,0.84674,1566,1392,0.96624,0.91504,0.94181,0.65517,0.87928,0.67888,0.625,0.79849,0.90947,0.92589,0.23231,0.86364,638,464
CX,random,0,3499,482499,145.6,0.97108,0.81125,0.77658,0.65517,0.94741,0.45546,0.41667,0.71588,0.85353,0.94518,2e-05,0.76309,1566,1392,0.95831,0.89585,0.90302,0.65517,0.87474,0.62284,0.57974,0.77909,0.88865,0.91093,0.21104,0.83542,638,464
OL,degree,4,3499,286236,63.1,0.98287,0.87768,0.86925,0.6092,0.94679,0.66595,0.60632,0.73922,0.90637,0.95112,0.02897,0.84036,1566,1392,0.97808,0.94205,0.96767,0.6092,0.86847,0.80819,0.77371,0.78843,0.91539,0.92585,0.28083,0.86991,638,464
AL,degree,4,3499,258882,54.5,0.98596,0.89823,0.88003,0.65517,0.95331,0.69756,0.64224,0.7676,0.9152,0.95797,0.11026,0.85504,1566,1392,0.981,0.94846,0.95905,0.65517,0.88119,0.82759,0.78017,0.80711,0.91847,0.92958,0.27924,0.87618,638,464
MB,degree,2,3499,295696,53.7,0.97693,0.84742,0.75287,0.67241,0.94842,0.5352,0.51006,0.71264,0.83941,0.96061,0.02035,0.74393,1566,1392,0.96561,0.91153,0.87931,0.67241,0.87742,0.68966,0.67241,0.77586,0.87836,0.9257,0.12679,0.82288,638,464
CX,degree,0,3499,482499,153.6,0.98241,0.87573,0.90014,0.63793,0.95213,0.61207,0.5898,0.76904,0.92541,0.94993,0.00971,0.87101,1566,1392,0.97648,0.93812,0.98276,0.64368,0.88031,0.75431,0.74353,0.81322,0.92872,0.92872,0.53224,0.89028,638,464
OL,connectome,4,3499,286236,46.3,0.98106,0.8666,0.83549,0.65517,0.95094,0.63649,0.55603,0.74533,0.88948,0.95268,0.03448,0.81545,1566,1392,0.97715,0.94003,0.95474,0.65517,0.88072,0.78017,0.71552,0.80496,0.91624,0.92477,0.32175,0.87304,638,464
AL,random,0,3499,258882,105.3,0.98482,0.89111,0.8477,0.68966,0.95624,0.6602,0.6444,0.76868,0.89871,0.95719,0.03671,0.83014,1566,1392,0.97692,0.9385,0.93534,0.68391,0.88753,0.7694,0.76293,0.80963,0.91081,0.93117,0.29142,0.86677,638,464
MB,degree,4,3499,295696,47.2,0.98476,0.89075,0.86997,0.68391,0.95656,0.68822,0.6092,0.77694,0.91121,0.9532,0.01827,0.8493,1566,1392,0.98251,0.95536,0.98491,0.68391,0.89258,0.83405,0.77802,0.83441,0.93648,0.94213,0.38575,0.90282,638,464
CX,degree,2,3499,482499,84.2,0.97125,0.81951,0.82543,0.63793,0.94802,0.44397,0.42529,0.73168,0.88249,0.95404,0.01522,0.8046,1566,1392,0.95256,0.88228,0.91595,0.63793,0.8709,0.60345,0.59052,0.77694,0.89286,0.92076,0.1303,0.84013,638,464
OL,degree,0,3499,286236,101.9,0.98097,0.8641,0.87787,0.59195,0.94509,0.60129,0.58405,0.73491,0.91024,0.94633,0.00925,0.8461,1566,1392,0.97242,0.92717,0.97414,0.59195,0.86424,0.73491,0.71336,0.78305,0.91591,0.91892,0.4252,0.86991,638,464
AL,random,1,3499,258882,67.4,0.98594,0.90155,0.83118,0.74138,0.96256,0.66164,0.59986,0.78628,0.89206,0.9605,0.03066,0.8212,1566,1392,0.98455,0.9607,0.96121,0.74138,0.90835,0.83836,0.75862,0.85129,0.93403,0.93895,0.52408,0.90125,638,464
MB,degree,5,3499,295696,122.0,0.98074,0.86647,0.84124,0.62069,0.94665,0.60273,0.59339,0.73096,0.89083,0.95761,0.02081,0.81673,1566,1392,0.97085,0.92182,0.93319,0.62069,0.86774,0.75431,0.73922,0.77694,0.89927,0.92339,0.27454,0.84796,638,464
CX,degree,3,3499,482499,81.9,0.98628,0.90168,0.87356,0.71264,0.96051,0.69971,0.64296,0.7931,0.91497,0.95637,0.06109,0.85568,1566,1392,0.97667,0.93946,0.93534,0.71264,0.89669,0.79526,0.74569,0.82399,0.91561,0.92966,0.2595,0.87461,638,464
OL,degree,1,3499,286236,91.1,0.98682,0.90419,0.84483,0.72989,0.96157,0.70618,0.65517,0.78736,0.89943,0.95643,0.02748,0.83206,1566,1392,0.98312,0.95521,0.95043,0.72989,0.90369,0.8125,0.79526,0.84016,0.92647,0.93789,0.40932,0.89028,638,464
AL,degree,5,3499,258882,49.0,0.98842,0.91634,0.89655,0.72414,0.96296,0.7227,0.66236,0.81034,0.92857,0.96011,0.03536,0.87739,1566,1392,0.9864,0.96505,0.97629,0.72414,0.90419,0.8556,0.78664,0.85022,0.93886,0.94703,0.67431,0.90752,638,464
MB,degree,3,3499,295696,87.7,0.99077,0.93184,0.84626,0.81609,0.97355,0.76509,0.71264,0.83118,0.90546,0.96351,0.10683,0.84291,1566,1392,0.98781,0.96847,0.95905,0.81609,0.93291,0.85345,0.81034,0.88757,0.9458,0.94802,0.43332,0.92006,638,464
CX,degree,1,3499,482499,111.2,0.98583,0.89922,0.84195,0.71264,0.95908,0.68534,0.62859,0.7773,0.89671,0.95958,0.01729,0.82759,1566,1392,0.9811,0.9514,0.95474,0.71264,0.89858,0.81681,0.76078,0.83369,0.92581,0.93429,0.3114,0.88871,638,464
OL,connectome,5,3499,286236,72.1,0.98796,0.91376,0.85129,0.77586,0.96814,0.71695,0.62356,0.81358,0.90596,0.95955,0.02845,0.84291,1566,1392,0.98563,0.96293,0.96336,0.77586,0.91975,0.8556,0.76509,0.86961,0.94105,0.94492,0.51365,0.91223,638,464
AL,connectome,1,3499,258882,82.3,0.9786,0.85714,0.88721,0.63218,0.95073,0.56753,0.50647,0.7597,0.91787,0.95722,0.03981,0.85888,1566,1392,0.97238,0.92763,0.9806,0.63218,0.87669,0.76078,0.70259,0.80639,0.92574,0.92929,0.3947,0.88558,638,464
AL,random,5,3499,258882,77.3,0.97961,0.85316,0.85129,0.61494,0.94649,0.62572,0.61135,0.73312,0.89637,0.94429,0.00039,0.82503,1566,1392,0.97396,0.92919,0.94397,0.61494,0.86733,0.78017,0.75216,0.77945,0.90402,0.91331,0.40086,0.85423,638,464
MB,random,3,3499,295696,79.2,0.9858,0.89523,0.80101,0.71839,0.9579,0.73563,0.6681,0.7597,0.87246,0.9548,0.01472,0.79183,1566,1392,0.98072,0.94675,0.89009,0.71839,0.89394,0.84698,0.80819,0.80424,0.89201,0.92012,0.2102,0.84326,638,464
CX,random,1,3499,482499,167.0,0.98375,0.88474,0.83261,0.68391,0.9547,0.65661,0.61925,0.75826,0.88949,0.95685,0.00103,0.81609,1566,1392,0.97948,0.94484,0.94612,0.67816,0.88687,0.81034,0.78448,0.81214,0.91554,0.93065,0.20904,0.87304,638,464
OL,degree,5,3499,286236,69.5,0.99021,0.9251,0.81537,0.86207,0.97929,0.77945,0.73851,0.83872,0.88985,0.95342,0.03528,0.82056,1566,1392,0.98837,0.96998,0.90733,0.86207,0.94607,0.86853,0.80172,0.8847,0.92629,0.95327,0.38108,0.89498,638,464
AL,connectome,5,3499,258882,68.2,0.98632,0.90177,0.88362,0.67241,0.95571,0.67098,0.63721,0.77802,0.91825,0.96123,0.07253,0.86015,1566,1392,0.97979,0.9458,0.94828,0.67241,0.88531,0.79526,0.75431,0.81034,0.91571,0.91914,0.36857,0.87304,638,464
MB,connectome,3,3499,295696,93.6,0.98177,0.86885,0.87284,0.65517,0.95294,0.62859,0.54598,0.76401,0.91114,0.94533,3e-05,0.84866,1566,1392,0.97157,0.92627,0.94828,0.65517,0.88,0.73491,0.67457,0.80172,0.91286,0.91581,0.42426,0.86834,638,464
CX,connectome,1,3499,482499,72.1,0.97867,0.85457,0.86853,0.60345,0.94601,0.60704,0.54598,0.73599,0.90562,0.95804,0.07367,0.83908,1566,1392,0.97603,0.93722,0.98922,0.60345,0.86932,0.78448,0.74353,0.79634,0.9254,0.92893,0.43109,0.88401,638,464
CX,random,5,3499,482499,84.7,0.97752,0.85065,0.85776,0.60345,0.94537,0.57256,0.48779,0.7306,0.89944,0.95869,0.03567,0.8295,1566,1392,0.97724,0.9417,0.98922,0.60345,0.86932,0.7931,0.71552,0.79634,0.9254,0.93047,0.60015,0.88401,638,464
OL,random,3,3499,286236,86.7,0.98518,0.89388,0.8556,0.66667,0.95356,0.68894,0.64655,0.76114,0.90193,0.96208,0.08191,0.83461,1566,1392,0.9812,0.94898,0.95259,0.66667,0.884,0.82974,0.78879,0.80963,0.91701,0.92915,0.34383,0.87461,638,464
AL,connectome,4,3499,258882,76.4,0.98234,0.87733,0.7931,0.6954,0.95419,0.60991,0.59626,0.74425,0.86622,0.95905,0.02095,0.78225,1566,1392,0.97398,0.93137,0.89871,0.6954,0.88723,0.75,0.73491,0.79705,0.89293,0.92901,0.15265,0.84326,638,464
MB,connectome,2,3499,295696,118.6,0.98074,0.86762,0.88937,0.65517,0.95378,0.56609,0.55675,0.77227,0.92045,0.95274,0.00126,0.86335,1566,1392,0.97175,0.92654,0.97629,0.65517,0.88304,0.71767,0.7069,0.81573,0.92733,0.92792,0.42049,0.88871,638,464
CX,connectome,0,3499,482499,96.8,0.98747,0.90844,0.87787,0.70115,0.95918,0.7148,0.6717,0.78951,0.91673,0.95514,0.08178,0.85824,1566,1392,0.98405,0.95878,0.97845,0.70115,0.89723,0.84267,0.75862,0.8398,0.93608,0.94022,0.29329,0.90282,638,464
CX,random,4,3499,482499,121.0,0.98364,0.87908,0.85776,0.71264,0.95981,0.68175,0.61638,0.7852,0.90592,0.94329,1e-05,0.84163,1566,1392,0.98215,0.95446,0.98276,0.71264,0.90119,0.78448,0.74353,0.8477,0.94021,0.94387,0.5466,0.90909,638,464
OL,random,2,3499,286236,54.9,0.9836,0.88446,0.63075,0.94253,0.98874,0.66236,0.62284,0.78664,0.77018,0.96627,0.04522,0.66539,1566,1392,0.97599,0.93537,0.76724,0.94253,0.97268,0.78017,0.76509,0.85489,0.85783,0.92757,0.14337,0.81505,638,464
AL,random,3,3499,258882,78.2,0.98905,0.92189,0.84555,0.78736,0.96952,0.73779,0.64799,0.81645,0.9033,0.9639,0.04369,0.83908,1566,1392,0.98454,0.96032,0.94397,0.78736,0.92211,0.85776,0.75216,0.86566,0.93291,0.94093,0.30977,0.90125,638,464
MB,random,1,3499,295696,97.3,0.98086,0.86234,0.85848,0.63793,0.94992,0.64296,0.60273,0.7482,0.90189,0.94821,0.00404,0.83397,1566,1392,0.97425,0.93051,0.95043,0.63793,0.875,0.78233,0.74353,0.79418,0.91116,0.92401,0.35076,0.8652,638,464
CX,degree,5,3499,482499,150.4,0.97338,0.82308,0.81609,0.66092,0.95063,0.48491,0.4727,0.73851,0.87824,0.94486,0.00015,0.79885,1566,1392,0.96361,0.9072,0.92457,0.66092,0.8791,0.66164,0.65517,0.79274,0.90126,0.92477,0.14948,0.85266,638,464
OL,degree,3,3499,286236,89.5,0.98906,0.91815,0.87644,0.72414,0.96215,0.74066,0.71121,0.80029,0.91729,0.9571,0.05566,0.85951,1566,1392,0.98919,0.97098,0.97845,0.71839,0.90258,0.88578,0.84052,0.84842,0.93899,0.94387,0.5162,0.90752,638,464
AL,connectome,3,3499,258882,47.5,0.98439,0.88641,0.87356,0.67241,0.95522,0.70833,0.62931,0.77299,0.91257,0.94677,0.05939,0.85121,1566,1392,0.98141,0.95249,0.97845,0.67241,0.88845,0.83836,0.74138,0.82543,0.93128,0.93591,0.41543,0.89498,638,464
MB,connectome,1,3499,295696,91.9,0.97532,0.83411,0.85632,0.63218,0.94904,0.5079,0.49282,0.74425,0.9003,0.9481,0.00315,0.83142,1566,1392,0.96824,0.91684,0.96767,0.63218,0.87524,0.70474,0.69181,0.79993,0.91914,0.92041,0.47733,0.87618,638,464
MB,random,5,3499,295696,94.2,0.98254,0.87507,0.7694,0.72989,0.95796,0.65517,0.59483,0.74964,0.85339,0.94963,0.006,0.76501,1566,1392,0.97549,0.93526,0.89224,0.72989,0.89805,0.76293,0.72629,0.81106,0.89514,0.93253,0.15298,0.84796,638,464
CX,random,3,3499,482499,83.3,0.98648,0.904,0.85489,0.74713,0.96434,0.68319,0.6329,0.80101,0.90632,0.95553,0.01234,0.84291,1566,1392,0.98124,0.95195,0.95259,0.74713,0.90947,0.80603,0.73922,0.84986,0.93053,0.93608,0.25966,0.89655,638,464
OL,random,1,3499,286236,92.9,0.98352,0.88318,0.84914,0.66092,0.95246,0.65302,0.58908,0.75503,0.89784,0.95386,0.0018,0.82822,1566,1392,0.97689,0.9391,0.95259,0.66092,0.88224,0.78664,0.73276,0.80675,0.91606,0.92786,0.1167,0.87304,638,464
