region,arm,seed,low_recall_at_fpr10,low_auroc
AL,connectome,0,0.5474,0.8721
AL,connectome,1,0.7414,0.9162
AL,connectome,2,0.5999,0.8562
AL,degree,0,0.6092,0.8801
AL,degree,1,0.6157,0.8287
AL,degree,2,0.6803,0.8791
AL,random,0,0.4813,0.8397
AL,random,1,0.6789,0.8882
AL,random,2,0.6494,0.8859
MB,connectome,0,0.6451,0.8741
MB,connectome,1,0.7213,0.9031
MB,connectome,2,0.5762,0.86
MB,degree,0,0.704,0.902
MB,degree,1,0.4684,0.8342
MB,degree,2,0.5338,0.8473
OL,connectome,0,0.5539,0.8541
OL,connectome,1,0.4325,0.8153
OL,connectome,2,0.7012,0.8871
OL,degree,0,0.4777,0.8424
OL,degree,1,0.6092,0.8615
OL,degree,2,0.5395,0.8545
OL,random,0,0.6731,0.8849
OL,random,1,0.6422,0.8721
