io,arm,seed,params,epochs_ran,best_val_r2,test_r2,test_rmse,test_pearson_r,test_output_std_ratio,wall_s
bio,connectome,0,263508,30,0.3569,0.35339,0.21272,0.59539,0.56749,140.0
bio,random,4,263508,30,0.3399,0.33659,0.21547,0.58067,0.58185,143.9
generic,connectome,2,300871,30,0.6444,0.63849,0.15906,0.80349,0.77998,139.0
generic,spectrum,0,12284990,30,0.6724,0.66492,0.15313,0.81557,0.81304,90.0
bio,adapter_only,4,478,30,0.5445,0.54384,0.17867,0.73752,0.72844,0.8
bio,connectome,1,263508,30,0.3603,0.35764,0.21202,0.59895,0.58186,140.4
bio,random,5,263508,30,0.3334,0.3295,0.21662,0.5747,0.58414,146.3
generic,connectome,3,300871,8,0.5197,0.51481,0.18427,0.72091,0.65837,37.6
generic,spectrum,1,12284990,7,0.2556,0.24994,0.22911,0.54458,0.47784,21.7
bio,adapter_only,5,478,30,0.5467,0.54583,0.17828,0.73885,0.7364,0.8
bio,degree,4,263508,30,0.347,0.34542,0.21403,0.58783,0.59331,140.8
bio,dense,2,12247627,13,0.1173,0.12277,0.24777,0.38225,0.27875,41.2
generic,random,0,300871,30,0.6418,0.63732,0.15931,0.79847,0.78327,141.0
generic,dense,4,12284990,28,0.3328,0.32466,0.2174,0.72664,0.60519,84.9
bio,degree,5,263508,30,0.3423,0.34017,0.21488,0.58463,0.59213,140.4
bio,dense,3,12247627,8,0.0573,0.05964,0.25653,0.25759,0.21685,25.1
generic,random,1,300871,7,0.4092,0.40515,0.20403,0.64302,0.63786,33.0
generic,dense,5,12284990,18,0.2996,0.29677,0.22184,0.69214,0.5624,53.1
bio,random,0,263508,30,0.3353,0.33249,0.21613,0.57815,0.58447,144.4
bio,dense,4,12247627,12,0.2015,0.2042,0.23599,0.45686,0.39609,38.0
generic,random,2,300871,30,0.6433,0.63744,0.15929,0.80023,0.80814,143.6
bio,adapter_only,0,478,30,0.5439,0.54298,0.17884,0.73695,0.72593,0.8
bio,random,1,263508,30,0.3386,0.33558,0.21563,0.5797,0.5583,142.6
bio,dense,5,12247627,19,0.1442,0.14915,0.24401,0.40667,0.29417,60.2
generic,random,3,300871,11,0.5653,0.56195,0.17509,0.75105,0.70581,52.5
bio,adapter_only,1,478,30,0.5403,0.5395,0.17952,0.73475,0.71755,0.8
bio,random,2,263508,30,0.3401,0.33681,0.21543,0.58095,0.55459,142.2
generic,connectome,0,300871,10,0.5741,0.5705,0.17337,0.75567,0.77303,46.1
generic,random,4,300871,30,0.6424,0.63777,0.15922,0.80085,0.85354,139.9
bio,adapter_only,2,478,30,0.5459,0.54517,0.17841,0.7384,0.73212,0.8
bio,random,3,263508,30,0.3348,0.32931,0.21665,0.57558,0.5358,140.2
generic,connectome,1,300871,7,0.293,0.28274,0.22404,0.63097,0.96239,32.4
generic,random,5,300871,30,0.6229,0.61876,0.16334,0.78866,0.7587,140.0
bio,adapter_only,3,478,30,0.5451,0.54429,0.17858,0.73787,0.73138,0.8
bio,connectome,2,263508,30,0.359,0.353,0.21279,0.59593,0.55225,142.8
bio,spectrum,0,12247627,30,0.2709,0.26363,0.22701,0.51348,0.50869,97.6
generic,connectome,4,300871,19,0.6171,0.61378,0.1644,0.78375,0.79912,88.5
generic,spectrum,2,12284990,9,0.1798,0.1734,0.24051,0.61005,0.54155,27.8
bio,gru,0,53889,30,0.6829,0.67712,0.15032,0.82307,0.8051,1.2
bio,connectome,3,263508,30,0.3484,0.34645,0.21386,0.58876,0.59999,137.4
bio,spectrum,1,12247627,13,0.2157,0.21741,0.23402,0.46788,0.43303,40.3
generic,connectome,5,300871,12,0.5795,0.577,0.17205,0.76027,0.78957,54.5
generic,spectrum,3,12284990,14,0.5139,0.51036,0.18511,0.73471,0.65148,41.0
bio,gru,1,53889,30,0.6818,0.67596,0.15059,0.82221,0.82947,1.2
bio,connectome,4,263508,30,0.3514,0.34389,0.21428,0.58721,0.56186,141.8
