bodyId_pre,bodyId_post,weight
202916528,203257652,1
202916528,203598557,1
202916528,234292899,4
202916528,264986706,1
202916528,296531421,2
202916528,328930845,1
202916528,422881784,1
202916528,424236821,3
202916528,483245369,2
202916528,638074940,1
202916528,725955898,1
202916528,763435729,1
202916528,885262311,1
202916528,886281163,1
202916528,915610388,2
202916528,916288408,1
202916528,948363764,1
202916528,949045596,2
202916528,1072455791,1
202916528,1072861316,1
202916528,1163212068,2
202916528,1168387674,3
202916528,1197246979,1
202916528,1254947903,5
202916528,1349102153,1
202916528,1374390473,1
202916528,1442176747,4
202916528,1536991376,2
202916528,5813058338,9
202916528,5813128545,1
203253072,203594175,1
203253072,203598504,1
203253072,203931040,1
203253072,294450495,4
203253072,295116205,2
203253072,295141570,4
203253072,295474876,2
203253072,295819960,3
203253072,296156918,2
203253072,357569116,1
203253072,358251878,1
203253072,602562786,1
203253072,850764542,1
203253072,851200326,2
203253072,885598772,1
203253072,885599260,1
203253072,885607728,1
203253072,885940052,2
203253072,885944205,1
203253072,915610680,1
203253072,915960391,1
203253072,916651038,1
203253072,916970190,1
203253072,916987393,1
203253072,940791269,1
203253072,948342190,3
203253072,948346463,3
203253072,948683239,1
203253072,949710555,1
203253072,980391392,1
203253072,1072455791,1
203253072,1072472949,1
203253072,1166592315,2
203253072,1168387674,2
203253072,1227941128,3
203253072,1230328538,1
203253072,1254947903,2
203253072,1259027455,1
203253072,1348769352,1
203253072,1349740992,1
203253072,1478400968,2
203253072,1536986537,2
203253072,1536991376,1
203253072,1537323564,2
203253072,1537327396,2
203253072,1537327465,2
203253072,1537327673,1
203253072,5813002500,1
203253072,5813009284,3
203253072,5813016853,1
203253072,5813058338,2
203253072,5813082481,3
203257652,202916528,1
203257652,203594175,1
203257652,203598542,1
203257652,234292899,4
203257652,264986706,1
203257652,483245369,2
203257652,638074940,1
203257652,940791269,2
203257652,1041468139,1
203257652,1072861316,1
203257652,1135173449,2
203257652,1163212068,1
203257652,1168387674,4
203257652,1197246979,1
203257652,1227941128,1
203257652,1254947903,2
203257652,1536991376,1
203257652,5813009284,1
203257652,5813016853,1
203257652,5813058338,5
203257652,5813108066,1
203594169,203594175,1
203594169,203598504,1
203594169,294450495,4
203594169,295116205,1
203594169,295474876,3
203594169,295819960,2
203594169,296156918,2
203594169,885944205,2
203594169,886281163,1
203594169,911220341,1
203594169,916629686,1
203594169,917311596,2
203594169,940791269,1
203594169,948346463,1
203594169,979709436,1
203594169,1039383744,1
203594169,1101794211,1
203594169,1103576992,4
203594169,1192606191,1
203594169,1230328538,1
203594169,1348380828,1
203594169,1478400968,2
203594169,1535626467,1
203594169,1536986537,1
203594169,1536986964,1
203594169,1536991376,1
203594169,1537323564,2
203594169,1537327396,1
203594169,1537327673,1
203594169,1537327732,2
203594169,5813009284,2
203594169,5813079341,2
203594169,5813082481,2
203594175,203253072,2
203594175,203594169,1
203594175,203598504,1
203594175,295116205,2
203594175,295141570,3
203594175,295819960,2
203594175,296156918,2
203594175,725955898,2
203594175,787779388,1
203594175,885944205,1
203594175,886276864,1
203594175,886281163,1
203594175,915610680,1
203594175,916629686,1
203594175,916970574,1
203594175,917311596,2
203594175,917647959,1
203594175,947664053,1
203594175,948342190,2
203594175,948346463,1
203594175,1010740063,1
203594175,1072472949,1
203594175,1072861316,1
203594175,1103576992,2
203594175,1168387674,3
203594175,1254947903,2
203594175,1348773541,1
203594175,1349740992,1
203594175,1478400968,1
203594175,1505611050,1
203594175,1536991376,1
203594175,1537323564,1
203594175,1537327396,1
203594175,1537327673,1
203594175,1537327732,3
203594175,5813002500,1
203594175,5813009284,12
203594175,5813009324,1
203594175,5813041497,1
203594175,5813082481,2
203598499,202916528,2
203598499,203253072,3
203598499,203594169,3
203598499,203594175,1
203598499,203931040,1
203598499,204962646,2
203598499,205299889,3
203598499,234292899,1
203598499,264986706,1
203598499,265120677,1
203598499,265655867,2
203598499,295136778,2
203598499,295477903,1
203598499,295820069,3
203598499,295820085,2
203598499,295827899,2
203598499,296155122,7
203598499,296497316,2
203598499,296690817,1
203598499,296851261,1
203598499,296872298,1
203598499,297166053,5
203598499,297183251,1
203598499,297519807,5
203598499,298055752,4
203598499,298927224,2
203598499,325489440,5
203598499,326525255,2
203598499,326525339,3
203598499,327203386,2
203598499,327225145,1
203598499,327565800,3
203598499,327566137,2
203598499,357569116,1
203598499,357569240,1
203598499,387913101,2
203598499,387913933,3
203598499,388012215,16
203598499,388608485,1
203598499,420842989,1
203598499,481112669,1
203598499,481199836,22
203598499,483193732,36
203598499,511806866,6
203598499,540112974,13
203598499,633541960,5
203598499,671345931,1
203598499,697355826,1
203598499,732401014,1
203598499,732741880,8
203598499,757396504,1
203598499,764459322,7
203598499,764800313,4
203598499,765145895,5
203598499,788461444,6
203598499,789445825,1
203598499,793128475,1
203598499,796175881,1
203598499,817678848,3
203598499,847336715,4
203598499,850764542,8
203598499,851200326,35
203598499,858047578,6
203598499,879468563,1
203598499,880811120,2
203598499,881152299,2
203598499,882239837,2
203598499,884916660,1
203598499,884921015,4
203598499,885253510,2
203598499,885253534,2
203598499,885257860,40
203598499,885257867,16
203598499,885257938,1
203598499,885262090,7
203598499,885262118,5
203598499,885262169,2
203598499,885599043,3
203598499,885599283,2
203598499,885607728,3
203598499,885940052,2
203598499,885940095,1
203598499,886276864,27
203598499,886280796,3
203598499,886281163,19
203598499,886635309,1
203598499,911220341,1
203598499,915605750,6
203598499,915605802,2
203598499,915610725,1
203598499,915610815,3
203598499,915623395,4
203598499,915946994,7
203598499,915951309,1
203598499,916288408,1
203598499,916288689,1
203598499,916296656,6
203598499,916296860,6
203598499,916309801,3
203598499,916310074,1
203598499,916628962,3
203598499,916629616,6
203598499,916637896,3
203598499,916646157,4
203598499,916646779,1
203598499,916651038,8
203598499,916970165,1
203598499,916970574,1
203598499,916970680,1
203598499,916987393,1
203598499,916987819,1
203598499,917315269,1
203598499,917656984,1
203598499,917674256,22
203598499,919763043,1
203598499,947003647,6
203598499,947003825,2
203598499,947664053,3
203598499,947681334,1
203598499,947681574,11
203598499,947685653,5
203598499,948333576,9
203598499,948342190,2
203598499,948346463,2
203598499,948346519,10
203598499,948363764,32
203598499,948372338,1
203598499,948372363,4
203598499,948372442,5
203598499,948704521,6
203598499,948704770,1
203598499,949015717,17
203598499,949045811,2
203598499,949054716,6
203598499,949710555,2
203598499,977352235,5
203598499,977995787,1
203598499,978345784,6
203598499,978681977,3
203598499,979031711,1
203598499,979066072,1
203598499,979069882,4
203598499,979364024,1
203598499,979367873,1
203598499,979368408,10
203598499,979398348,4
203598499,979739054,1
203598499,980089353,1
203598499,980391392,3
203598499,980391580,1
203598499,1008693462,8
203598499,1008693605,4
203598499,1009375310,3
203598499,1009375668,2
203598499,1009708586,2
203598499,1009721053,3
203598499,1010437434,3
203598499,1010731508,8
203598499,1010740063,3
203598499,1011076931,1
203598499,1033887446,1
203598499,1035393986,1
203598499,1040056887,2
203598499,1040393594,1
203598499,1041075688,3
203598499,1041407655,1
203598499,1041748833,1
203598499,1041761742,3
203598499,1041830697,1
203598499,1042089954,1
203598499,1042116109,3
203598499,1042128295,1
203598499,1042448496,3
203598499,1042495376,3
203598499,1042512810,1
203598499,1071760480,9
203598499,1072442312,1
203598499,1072472949,2
203598499,1072533704,4
203598499,1072779298,9
203598499,1072779568,7
203598499,1072805036,2
203598499,1072861316,2
203598499,1072874511,1
203598499,1073224194,1
203598499,1073457310,4
203598499,1073461640,1
203598499,1073470453,2
203598499,1073538900,2
203598499,1073548297,3
203598499,1073560773,1
203598499,1073897808,2
203598499,1076185604,1
203598499,1076285102,4
203598499,1102795781,3
203598499,1103576992,2
203598499,1103577592,6
203598499,1103923012,1
203598499,1104146655,1
203598499,1104151060,4
203598499,1104155212,9
203598499,1104491936,8
203598499,1104492207,1
203598499,1104595988,3
203598499,1104824502,1
203598499,1104824699,2
203598499,1104832963,27
203598499,1104837598,5
203598499,1105178570,2
203598499,1134836349,1
203598499,1134840743,3
203598499,1134849005,8
203598499,1134849078,4
203598499,1134966166,4
203598499,1135173449,6
203598499,1135294306,3
203598499,1135639185,1
203598499,1135643372,1
203598499,1135863582,2
203598499,1135881013,2
203598499,1136273393,1
203598499,1136312746,3
203598499,1136545839,3
203598499,1163190900,1
203598499,1164187272,9
203598499,1166000620,2
203598499,1166328873,1
203598499,1166674437,2
203598499,1166686904,1
203598499,1166885674,1
203598499,1166890100,10
203598499,1167356178,1
203598499,1168262962,2
203598499,1197242945,1
203598499,1198049989,2
203598499,1198749960,2
203598499,1199082254,3
203598499,1200027441,1
203598499,1225605932,1
203598499,1227735330,1
203598499,1229780309,2
203598499,1230328538,3
203598499,1250920325,2
203598499,1261129711,1
203598499,1279775029,2
203598499,1281622703,1
203598499,1291370565,2
203598499,1321485893,1
203598499,1323221783,4
203598499,1342194347,2
203598499,1385291703,1
203598499,1418618235,1
203598499,5812986472,20
203598499,5812986798,5
203598499,5813010807,3
203598499,5813012769,12
203598499,5813016287,4
203598499,5813016320,4
203598499,5813016553,1
203598499,5813020735,1
203598499,5813041497,3
203598499,5813041504,3
203598499,5813041510,34
203598499,5813041610,5
203598499,5813050758,1
203598499,5813053685,6
203598499,5813058338,1
203598499,5813058518,7
203598499,5813069498,6
203598499,5813071231,5
203598499,5813079341,1
203598499,5813081818,1
203598499,5813082948,7
203598499,5813103626,4
203598499,5813108066,1
203598499,5813128313,2
203598499,5813128431,2
203598499,5901220093,1
203598504,203598499,7
203598504,203931040,2
203598504,797989902,1
203598504,885940052,1
203598504,886285039,1
203598504,946645190,1
203598504,948346519,6
203598504,1072472949,2
203598504,1073457310,2
203598504,1168387674,3
203598504,1349102153,1
203598504,1351756766,1
203598542,202916528,1
203598542,203257652,1
203598542,424236821,1
203598542,483245369,1
203598542,915610388,1
203598542,916987393,2
203598542,1073897808,1
203598542,1168387674,1
203598542,1254947903,3
203598542,1279775082,1
203598542,1537327396,1
203598542,5813009284,3
203598542,5813016853,1
203598542,5813041684,1
203598542,5813058338,14
203598542,5813108066,1
203598557,203257652,1
203598557,203598542,1
203598557,234292899,1
203598557,264986706,1
203598557,295473813,1
203598557,483245369,7
203598557,726663601,1
203598557,885599283,1
203598557,885940052,2
203598557,885943588,1
203598557,886280843,1
203598557,916970190,2
203598557,917311067,1
203598557,917669507,1
203598557,948683239,1
203598557,980391392,1
203598557,1011465025,1
203598557,1072861316,1
203598557,1168387674,3
203598557,1250920325,1
203598557,1254947903,1
203598557,1279775082,1
203598557,1342194347,1
203598557,1385291703,1
203598557,1442176747,2
203598557,1536986927,1
203598557,1536991376,1
203598557,5813009284,2
203598557,5813016853,2
203598557,5813058338,3
203598557,5813108066,1
203931040,205299889,8
203931040,265655867,5
203931040,295116205,1
203931040,296156918,2
203931040,298055752,3
203931040,635234035,1
203931040,755950242,1
203931040,859977121,1
203931040,910447181,1
203931040,941127873,2
203931040,948342190,1
203931040,948346463,2
203931040,948346519,2
203931040,1072472949,1
203931040,1100796921,1
203931040,1104837598,1
203931040,1132483817,1
203931040,1136252170,2
203931040,1136545839,1
203931040,1168387674,1
203931040,1310831405,1
203931040,1348773541,1
203931040,1537327396,1
203931040,1537327465,1
203931040,1537327673,2
203931040,1537327732,2
203931040,5813127091,1
204613133,203594175,3
204613133,203598499,1
204613133,203931040,1
204613133,235985275,15
204613133,236331138,3
204613133,265120677,2
204613133,294800293,1
204613133,295136778,3
204613133,295141618,1
204613133,295473813,12
204613133,295820069,3
204613133,295820085,6
204613133,296143798,1
204613133,296160764,11
204613133,296497316,18
204613133,296690817,1
204613133,296851261,3
204613133,296872298,3
204613133,296872415,3
204613133,296880800,1
204613133,297166053,1
204613133,297178509,1
204613133,300455904,2
204613133,325489440,2
204613133,326875404,2
204613133,326884203,1
204613133,326884264,2
204613133,327225145,2
204613133,327565800,2
204613133,327566137,4
204613133,329102850,2
204613133,358424052,4
204613133,360466268,1
204613133,388012215,21
204613133,388246273,5
204613133,388612388,1
204613133,451356082,2
204613133,481199836,28
204613133,483193732,8
204613133,540112974,6
204613133,668716892,6
204613133,697355826,2
204613133,725955898,1
204613133,726663601,6
204613133,757396504,1
204613133,787779388,1
204613133,795291970,2
204613133,850760107,1
204613133,850764542,19
204613133,851200326,60
204613133,855250466,2
204613133,880811120,1
204613133,881152299,1
204613133,885253510,3
204613133,885257860,14
204613133,885262169,15
204613133,885598938,7
204613133,885599260,1
204613133,885602804,1
204613133,885607728,2
204613133,885939922,21
204613133,885940052,1
204613133,885940095,1
204613133,885943588,4
204613133,885943890,3
204613133,885943948,2
204613133,885944205,1
204613133,885944508,5
204613133,886276864,68
204613133,886280332,1
204613133,886280488,2
204613133,886280616,3
204613133,886280843,3
204613133,886281051,12
204613133,886281163,5
204613133,886285243,1
204613133,886285443,9
204613133,886289222,1
204613133,886635309,2
204613133,911496103,2
204613133,915610680,1
204613133,915610725,1
204613133,915610815,3
204613133,916288689,1
204613133,916296656,2
204613133,916309801,2
204613133,916309838,4
204613133,916310074,1
204613133,916628962,4
204613133,916646694,5
204613133,916651038,16
204613133,916970165,2
204613133,916970190,5
204613133,917311067,12
204613133,917311264,1
204613133,917311482,6
204613133,917311549,2
204613133,917315578,1
204613133,917324165,4
204613133,917328229,2
204613133,917328669,1
204613133,917669507,2
204613133,917669951,8
204613133,917674256,54
204613133,918011113,1
204613133,920441518,2
204613133,947003825,2
204613133,947664053,2
204613133,947681574,2
204613133,948333576,15
204613133,948342102,1
204613133,948342190,1
204613133,948346519,1
204613133,948363764,8
204613133,948372442,1
204613133,948704585,1
204613133,948704770,1
204613133,948708664,1
204613133,949024399,1
204613133,949045596,1
204613133,949045811,15
204613133,949378258,1
204613133,977710985,1
204613133,977995787,14
204613133,979398348,1
204613133,979709436,3
204613133,980391392,2
204613133,980391580,3
204613133,1005710800,1
204613133,1008369816,1
204613133,1009038430,5
204613133,1011076931,3
204613133,1011413348,1
204613133,1011451632,1
204613133,1011465025,11
204613133,1039383744,2
204613133,1041761742,1
204613133,1042089826,2
204613133,1042089954,2
204613133,1042171582,1
204613133,1042499530,1
204613133,1043825714,2
204613133,1048975307,1
204613133,1072472949,3
204613133,1072779298,1
204613133,1073116395,4
204613133,1073120403,5
204613133,1073120513,5
204613133,1073457310,1
204613133,1073461640,1
204613133,1073465869,1
204613133,1073469757,1
204613133,1073897808,1
204613133,1103576992,4
204613133,1104146655,2
204613133,1104487828,3
204613133,1104491936,1
204613133,1104824502,2
204613133,1104824699,1
204613133,1104832963,14
204613133,1104841576,1
204613133,1104941082,2
204613133,1135518161,5
204613133,1135518409,1
204613133,1135639185,1
204613133,1135643372,3
204613133,1135648698,1
204613133,1135859119,1
204613133,1136545637,2
204613133,1136545839,1
204613133,1167356178,1
204613133,1197243068,1
204613133,1250920325,9
204613133,1250924355,5
204613133,1259027455,2
204613133,1291370565,1
204613133,1310831405,8
204613133,1310831596,4
204613133,1321485893,2
204613133,1342539738,1
204613133,1345397641,8
204613133,1348380828,4
204613133,1348769352,1
204613133,1348773541,6
204613133,1385291703,1
204613133,1413882984,1
204613133,1418618235,1
204613133,1443272825,2
204613133,1443946326,6
204613133,1446204202,3
204613133,1446204221,1
204613133,1472520219,3
204613133,1475318548,1
204613133,1504621994,7
204613133,1534616031,9
204613133,1536986964,4
204613133,1537327249,2
204613133,1537331894,3
204613133,1537686032,2
204613133,1539758131,2
204613133,1568729235,3
204613133,5812986472,1
204613133,5812988731,1
204613133,5813012769,12
204613133,5813013524,1
204613133,5813016314,3
204613133,5813020699,3
204613133,5813041510,47
204613133,5813060726,1
204613133,5813071231,2
204613133,5813127091,3
204613133,5813128431,1
204613133,5901220093,3
204962646,202916528,2
204962646,203253072,2
204962646,203257652,1
204962646,203594169,1
204962646,203594175,2
204962646,203598499,1
204962646,203598504,2
204962646,203598542,8
204962646,203598557,4
204962646,203931040,5
204962646,234292899,1
204962646,236330337,2
204962646,236331138,4
204962646,265120677,1
204962646,294800293,1
204962646,295477903,5
204962646,295490863,2
204962646,295820085,2
204962646,295827899,4
204962646,296155122,1
204962646,296531421,1
204962646,296838079,4
204962646,296851261,3
204962646,296855409,6
204962646,296872298,1
204962646,296872415,1
204962646,297178509,3
204962646,297908595,1
204962646,298055752,1
204962646,298405402,4
204962646,298927224,3
204962646,299078990,5
204962646,300455904,1
204962646,325489440,3
204962646,326521082,1
204962646,326525255,2
204962646,326525339,1
204962646,326884203,1
204962646,326884264,4
204962646,327225145,1
204962646,328213227,3
204962646,328930845,3
204962646,329638509,5
204962646,329772284,1
204962646,357223889,2
204962646,357569240,1
204962646,357909813,2
204962646,357919199,2
204962646,358259842,4
204962646,358424052,4
204962646,360466268,4
204962646,361364000,5
204962646,362507326,1
204962646,387913933,5
204962646,388012215,2
204962646,388608485,3
