bodyId,roi,pre,post,downstream,upstream,mito
202916528,CX,1,395,9,395,34
202916528,FB,1,395,9,395,34
202916528,FB-column3,0,79,0,79,1
202916528,FBl1,0,9,0,9,0
202916528,FBl2,0,90,0,90,5
202916528,FBl3,0,20,0,20,4
202916528,FBl4,0,7,0,7,1
202916528,FBl5,0,49,0,49,6
202916528,FBl6,0,96,0,96,12
202916528,FBl7,1,98,9,98,6
202916528,FBl8,0,26,0,26,0
202916528,NotPrimary,1,0,5,0,11
202916528,SMP(L),93,35,762,35,39
202916528,SMP(R),0,1,0,1,0
202916528,SNP(L),93,35,762,35,39
202916528,SNP(R),0,1,0,1,0
203253072,AB(R),6,55,46,55,2
203253072,CRE(-RUB)(L),0,2,0,2,1
203253072,CRE(L),0,2,0,2,1
203253072,CX,10,333,74,333,18
203253072,FB,4,278,28,278,16
203253072,FB-column3,1,130,7,130,11
203253072,FBl1,1,29,8,29,1
203253072,FBl2,0,17,0,17,2
203253072,FBl3,0,44,0,44,1
203253072,FBl4,0,14,0,14,1
203253072,FBl5,0,9,0,9,2
203253072,FBl6,0,4,0,4,2
203253072,FBl7,1,31,7,31,4
203253072,FBl8,2,130,13,130,3
203253072,ICL(R),0,1,0,1,0
203253072,INP,0,3,0,3,1
203253072,NotPrimary,0,0,0,0,11
203253072,SMP(L),52,30,352,30,15
203253072,SNP(L),52,30,352,30,15
203257652,CX,0,229,0,229,26
203257652,FB,0,229,0,229,26
203257652,FBl1,0,4,0,4,2
203257652,FBl2,0,73,0,73,3
203257652,FBl3,0,27,0,27,3
203257652,FBl4,0,2,0,2,0
203257652,FBl5,0,8,0,8,2
203257652,FBl6,0,22,0,22,2
203257652,FBl7,0,64,0,64,8
203257652,FBl8,0,26,0,26,6
203257652,FBl9,0,3,0,3,0
203257652,NotPrimary,0,5,0,5,11
203257652,SIP(L),3,2,25,2,1
203257652,SMP(L),62,34,471,34,27
203257652,SNP(L),65,36,496,36,28
203594169,AB(R),4,60,40,60,2
203594169,CX,6,257,47,257,17
203594169,FB,2,197,7,197,15
203594169,FB-column3,1,67,3,67,4
203594169,FBl1,0,17,0,17,2
203594169,FBl2,0,4,0,4,1
203594169,FBl3,1,14,3,14,1
203594169,FBl4,0,10,0,10,3
203594169,FBl5,0,7,0,7,0
203594169,FBl6,0,3,0,3,0
203594169,FBl7,0,19,0,19,1
203594169,FBl8,1,110,4,110,7
203594169,FBl9,0,13,0,13,0
203594169,NotPrimary,0,0,0,0,6
203594169,SIP(L),0,1,0,1,0
203594169,SMP(L),39,34,285,34,15
203594169,SNP(L),39,35,285,35,15
203594175,AB(R),5,40,34,40,2
203594175,CX,7,310,45,310,14
203594175,FB,2,270,11,270,12
203594175,FB-column3,0,78,0,78,1
203594175,FBl1,0,46,0,46,1
203594175,FBl2,0,5,0,5,0
203594175,FBl3,0,29,0,29,1
203594175,FBl4,0,11,0,11,0
203594175,FBl5,0,7,0,7,1
203594175,FBl6,0,6,0,6,0
203594175,FBl7,0,22,0,22,1
203594175,FBl8,2,126,11,126,8
203594175,FBl9,0,18,0,18,0
203594175,NotPrimary,0,1,0,1,8
203594175,SIP(L),1,1,7,1,2
203594175,SMP(L),49,34,328,34,20
203594175,SNP(L),50,35,335,35,22
