bodyId,index,type,instance,pool,is_sensory,is_internal,is_output,outside_input_frac,outside_output_frac,post_in_cx_primary,pre_in_cx_primary,assignment_reason
108632992,0,,Franken2,internal,False,True,False,0.7818181818181819,0.8461538461538461,12.0,2.0,near_tie_internal_default
205985855,1,,,internal,False,True,False,0.9601706970128022,0.9928057553956835,56.0,1.0,near_tie_internal_default
206667928,2,,,output,False,False,True,0.8333333333333334,1.0,2.0,0.0,threshold
239395239,3,,,internal,False,True,False,0.0,0.0,116.0,42.0,near_tie_internal_default
239395292,4,,,internal,False,True,False,0.0,0.0,332.0,39.0,near_tie_internal_default
239395305,5,,,internal,False,True,False,0.0,0.0,95.0,48.0,near_tie_internal_default
239395319,6,,,internal,False,True,False,0.0,0.0,169.0,9.0,near_tie_internal_default
239395350,7,,,internal,False,True,False,0.0,0.0,115.0,45.0,near_tie_internal_default
239395358,8,,,internal,False,True,False,0.0,0.0,118.0,46.0,near_tie_internal_default
239399511,9,,,internal,False,True,False,0.0,0.0,85.0,29.0,near_tie_internal_default
239399518,10,,,internal,False,True,False,0.0,0.0,41.0,23.0,near_tie_internal_default
239399526,11,,,internal,False,True,False,0.0035460992907801418,0.0,281.0,33.0,near_tie_internal_default
239399581,12,,,internal,False,True,False,0.0,0.0,14.0,10.0,near_tie_internal_default
239399602,13,,,internal,False,True,False,0.0,0.0,91.0,33.0,near_tie_internal_default
239399645,14,,,internal,False,True,False,0.0,0.0,103.0,47.0,near_tie_internal_default
239399660,15,,,internal,False,True,False,0.0,0.0,105.0,37.0,near_tie_internal_default
239399691,16,,,internal,False,True,False,0.0,0.0,65.0,21.0,near_tie_internal_default
239399693,17,,,internal,False,True,False,0.0,0.0,75.0,27.0,near_tie_internal_default
239399712,18,,,internal,False,True,False,0.0,0.0,51.0,30.0,near_tie_internal_default
239399716,19,,,internal,False,True,False,0.0,0.0,51.0,17.0,near_tie_internal_default
239404017,20,,,internal,False,True,False,0.0,0.0,105.0,38.0,near_tie_internal_default
239731801,21,,,internal,False,True,False,0.0,0.0,81.0,32.0,near_tie_internal_default
239736057,22,,,internal,False,True,False,0.00909090909090909,0.022222222222222223,109.0,44.0,near_tie_internal_default
239736092,23,,,internal,False,True,False,0.0,0.0,94.0,42.0,near_tie_internal_default
239736097,24,,,internal,False,True,False,0.0,0.0,76.0,23.0,near_tie_internal_default
239736118,25,,,internal,False,True,False,0.008403361344537815,0.022222222222222223,118.0,44.0,near_tie_internal_default
239736135,26,,,internal,False,True,False,0.0,0.0,96.0,30.0,near_tie_internal_default
239736149,27,,,internal,False,True,False,0.0,0.0,114.0,38.0,near_tie_internal_default
239736157,28,,,internal,False,True,False,0.0,0.0,88.0,37.0,near_tie_internal_default
239736205,29,,,internal,False,True,False,0.0,0.0,101.0,32.0,near_tie_internal_default
239736232,30,,,internal,False,True,False,0.0,0.0,88.0,28.0,near_tie_internal_default
239736319,31,,,internal,False,True,False,0.0,0.0,87.0,45.0,near_tie_internal_default
239736335,32,,,internal,False,True,False,0.0,0.0,76.0,32.0,near_tie_internal_default
239736345,33,,,internal,False,True,False,0.0,0.0,86.0,27.0,near_tie_internal_default
239736356,34,,,internal,False,True,False,0.0,0.0,103.0,47.0,near_tie_internal_default
239736369,35,,,internal,False,True,False,0.0,0.0,75.0,29.0,near_tie_internal_default
239736380,36,,,internal,False,True,False,0.0,0.0,116.0,49.0,near_tie_internal_default
239736384,37,,,internal,False,True,False,0.0,0.0,56.0,20.0,near_tie_internal_default
