model,seed,N,init_nonzero_edges,recurrent_params,trainable_params,best_val_loss,test_loss,test_overall_rmse,test_yaw_rmse,test_forward_rmse,test_lateral_rmse,test_translation_rmse,test_yaw_r2,test_forward_r2,test_lateral_r2
optic_lobe_seeded,1,96816,8757188,8757188,15050231,0.013562232845773299,0.013848049954200784,0.11767774075269699,0.08120056241750717,0.12787961959838867,0.13637159764766693,0.1321941614151001,0.688349723815918,0.8418148159980774,0.5436475872993469
optic_lobe_seeded,2,96816,8757188,8757188,15050231,0.013582592209180197,0.013388447587688763,0.11570845544338226,0.08023244142532349,0.12697041034698486,0.13268844783306122,0.1298614889383316,0.6912230849266052,0.8409104347229004,0.5721683502197266
optic_lobe_seeded,3,96816,8757188,8757188,15050231,0.013737588499983152,0.013664133939892053,0.11689367890357971,0.07921338081359863,0.12371322512626648,0.13932770490646362,0.13175281882286072,0.6934782266616821,0.8462462425231934,0.5305640697479248
random_weight_topology,1,96816,8757188,8757188,15050231,0.013056507520377635,0.013317537338783344,0.11540163308382034,0.08074362576007843,0.12524192035198212,0.13321882486343384,0.12929238379001617,0.6918473839759827,0.8482730984687805,0.5645043849945068
random_weight_topology,2,96816,8757188,8757188,15050231,0.01354798668374618,0.013716612228502829,0.11711794137954712,0.08058880269527435,0.1254367083311081,0.13755163550376892,0.13163438439369202,0.6884740591049194,0.8447305560112,0.5402325987815857
random_weight_topology,3,96816,8757188,8757188,15050231,0.01343696548913916,0.013614027372871837,0.11667916178703308,0.0818040743470192,0.12473960965871811,0.13634485006332397,0.13067157566547394,0.6731005907058716,0.8436844348907471,0.5504491329193115
shuffled_topology,1,96816,8757188,8757188,15050231,0.021162128634750844,0.0210596797366937,0.1451195329427719,0.10814867168664932,0.16383062303066254,0.15697740018367767,0.16044124960899353,0.44716978073120117,0.7403709292411804,0.3953183889389038
shuffled_topology,2,96816,8757188,8757188,15050231,0.021042327272395293,0.0209168730614086,0.1446266621351242,0.10807029902935028,0.16330687701702118,0.15621060132980347,0.15979887545108795,0.43978142738342285,0.7368243932723999,0.4070369601249695
shuffled_topology,3,96816,8757188,8757188,15050231,0.021324922703206538,0.02163454287995895,0.14708684384822845,0.11265774071216583,0.16443151235580444,0.15866214036941528,0.16157320141792297,0.3800077438354492,0.7283788919448853,0.3912373185157776
random_sparse,1,96816,8757188,8757188,15050231,0.021167568676173688,0.0219779871404171,0.14824974536895752,0.11244498193264008,0.16782765090465546,0.15850350260734558,0.1632329523563385,0.40237390995025635,0.7275478839874268,0.3835040330886841
random_sparse,2,96816,8757188,8757188,15050231,0.020994325044254462,0.02088659079745412,0.14452193677425385,0.10836555808782578,0.16300049424171448,0.15603509545326233,0.15955649316310883,0.43671613931655884,0.7378110289573669,0.4083685874938965
random_sparse,3,96816,8757188,8757188,15050231,0.021163526549935342,0.021603689497957625,0.14698193967342377,0.11227540671825409,0.16473208367824554,0.15832912921905518,0.1615629941225052,0.3842087984085083,0.7273849248886108,0.3937901258468628
