run-start task=odor_valence_associative_reversal output_dir=/home/ec2-user/pathintegrationBPU/outputs/mb_assoc_dense_only_lr1e4_3seed_100ep matrix=/home/ec2-user/pathintegrationBPU/outputs/hemibrain_mushroom_body_plume/adjacency_unsigned.npz device=cuda
data-ready N=11690 edges=1277773 input_dim=67 timesteps=21 models=hemibrain_dense,random_dense
model-start model=hemibrain_dense seed=0 runtime=dense N=11690 recurrent_params=136656100 trainable_params=137462711 init_nonzero_edges=1277773 timesteps=21
loss model=hemibrain_dense seed=0 epoch=1/100 train_loss=0.629167 val_loss=0.603802 val_acc=0.6583 val_reversal_acc=0.6620 best_val_loss=0.603802 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=2/100 train_loss=0.606126 val_loss=0.599901 val_acc=0.6600 val_reversal_acc=0.6639 best_val_loss=0.599901 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=3/100 train_loss=0.604123 val_loss=0.600034 val_acc=0.6607 val_reversal_acc=0.6650 best_val_loss=0.599901 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=4/100 train_loss=0.602055 val_loss=0.599509 val_acc=0.6604 val_reversal_acc=0.6629 best_val_loss=0.599509 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=5/100 train_loss=0.60447 val_loss=0.598715 val_acc=0.6645 val_reversal_acc=0.6686 best_val_loss=0.598715 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=6/100 train_loss=0.601887 val_loss=0.600017 val_acc=0.6646 val_reversal_acc=0.6668 best_val_loss=0.598715 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=7/100 train_loss=0.602082 val_loss=0.599073 val_acc=0.6613 val_reversal_acc=0.6668 best_val_loss=0.598715 patience_wait=2
loss model=hemibrain_dense seed=0 epoch=8/100 train_loss=0.602057 val_loss=0.600119 val_acc=0.6626 val_reversal_acc=0.6665 best_val_loss=0.598715 patience_wait=3
loss model=hemibrain_dense seed=0 epoch=9/100 train_loss=0.600696 val_loss=0.599171 val_acc=0.6672 val_reversal_acc=0.6684 best_val_loss=0.598715 patience_wait=4
loss model=hemibrain_dense seed=0 epoch=10/100 train_loss=0.601546 val_loss=0.596315 val_acc=0.6706 val_reversal_acc=0.6743 best_val_loss=0.596315 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=11/100 train_loss=0.597349 val_loss=0.582205 val_acc=0.6908 val_reversal_acc=0.6878 best_val_loss=0.582205 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=12/100 train_loss=0.567352 val_loss=0.546629 val_acc=0.7177 val_reversal_acc=0.7076 best_val_loss=0.546629 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=13/100 train_loss=0.523072 val_loss=0.4968 val_acc=0.7582 val_reversal_acc=0.7464 best_val_loss=0.4968 patience_wait=0
