,update,total_updates,T,FPS,window,mean,median,min,max
0,2,390,384,0,2,-105.414766,-105.414766,-112.485086,-98.344446
1,3,390,512,0,2,-105.414766,-105.414766,-112.485086,-98.344446
2,4,390,640,0,2,-105.414766,-105.414766,-112.485086,-98.344446
3,5,390,768,0,4,-85.38835925,-91.0337375,-112.485086,-47.000876
4,6,390,896,0,4,-85.38835925,-91.0337375,-112.485086,-47.000876
5,7,390,1024,0,5,-91.57576379999999,-98.344446,-116.325382,-47.000876
6,8,390,1152,0,6,-86.03077416666666,-91.0337375,-116.325382,-47.000876
7,9,390,1280,0,7,-80.40904942857142,-83.723029,-116.325382,-46.678701
8,10,390,1408,0,8,-84.86904775000001,-91.0337375,-116.325382,-46.678701
9,11,390,1536,0,8,-84.86904775000001,-91.0337375,-116.325382,-46.678701
10,12,390,1664,0,8,-84.86904775000001,-91.0337375,-116.325382,-46.678701
11,13,390,1792,0,9,-85.77338700000001,-93.008101,-116.325382,-46.678701
12,14,390,1920,0,9,-85.77338700000001,-93.008101,-116.325382,-46.678701
13,15,390,2048,0,10,-88.30347160000001,-95.67627350000001,-116.325382,-46.678701
14,16,390,2176,0,11,-85.87399772727274,-93.008101,-116.325382,-46.678701
15,17,390,2304,0,11,-85.87399772727274,-93.008101,-116.325382,-46.678701
16,18,390,2432,0,12,-84.55578041666668,-88.365565,-116.325382,-46.678701
17,19,390,2560,0,12,-84.55578041666668,-88.365565,-116.325382,-46.678701
18,20,390,2688,0,12,-84.55578041666668,-88.365565,-116.325382,-46.678701
19,21,390,2816,0,13,-85.29742646153846,-93.008101,-116.325382,-46.678701
20,22,390,2944,0,13,-85.29742646153846,-93.008101,-116.325382,-46.678701
21,23,390,3072,0,14,-85.63162407142856,-91.49214699999999,-116.325382,-46.678701
22,24,390,3200,0,15,-83.89735446666667,-89.976193,-116.325382,-46.678701
23,25,390,3328,0,15,-83.89735446666667,-89.976193,-116.325382,-46.678701
24,26,390,3456,0,16,-83.3252280625,-86.849611,-116.325382,-46.678701
25,27,390,3584,0,17,-82.17653947058824,-83.723029,-116.325382,-46.678701
26,28,390,3712,0,17,-82.17653947058824,-83.723029,-116.325382,-46.678701
27,29,390,3840,0,18,-86.49525216666667,-86.849611,-159.913368,-46.678701
28,30,390,3968,0,18,-86.49525216666667,-86.849611,-159.913368,-46.678701
29,31,390,4096,0,18,-86.49525216666667,-86.849611,-159.913368,-46.678701
30,32,390,4224,0,19,-85.52572400000001,-83.723029,-159.913368,-46.678701
31,33,390,4352,0,19,-85.52572400000001,-83.723029,-159.913368,-46.678701
32,34,390,4480,0,20,-86.3462714,-86.849611,-159.913368,-46.678701
33,35,390,4608,0,20,-86.3462714,-86.849611,-159.913368,-46.678701
34,36,390,4736,0,21,-86.11707671428573,-83.723029,-159.913368,-46.678701
35,37,390,4864,0,21,-86.11707671428573,-83.723029,-159.913368,-46.678701
36,38,390,4992,0,22,-88.63890386363637,-86.849611,-159.913368,-46.678701
37,39,390,5120,0,22,-88.63890386363637,-86.849611,-159.913368,-46.678701
38,40,390,5248,0,23,-88.17644760869567,-83.723029,-159.913368,-46.678701
39,41,390,5376,0,23,-88.17644760869567,-83.723029,-159.913368,-46.678701
40,42,390,5504,0,24,-88.945927375,-86.849611,-159.913368,-46.678701
41,43,390,5632,0,24,-88.945927375,-86.849611,-159.913368,-46.678701
42,44,390,5760,0,25,-87.82709935999999,-83.723029,-159.913368,-46.678701
43,45,390,5888,0,25,-87.82709935999999,-83.723029,-159.913368,-46.678701
44,46,390,6016,0,26,-88.00916388461539,-86.849611,-159.913368,-46.678701
45,47,390,6144,0,27,-86.56705977777777,-83.723029,-159.913368,-46.678701
46,48,390,6272,0,29,-84.28552548275863,-81.533183,-159.913368,-46.678701
47,49,390,6400,0,29,-84.28552548275863,-81.533183,-159.913368,-46.678701
48,50,390,6528,0,29,-84.28552548275863,-81.533183,-159.913368,-46.678701
49,51,390,6656,0,31,-83.2409225483871,-81.533183,-159.913368,-46.678701
50,52,390,6784,0,31,-83.2409225483871,-81.533183,-159.913368,-46.678701
51,53,390,6912,0,32,-83.11909815625,-80.4378625,-159.913368,-46.678701
52,54,390,7040,0,33,-83.82999293939395,-81.533183,-159.913368,-46.678701
53,55,390,7168,0,34,-83.59259735294118,-80.4378625,-159.913368,-46.678701
54,56,390,7296,0,34,-83.59259735294118,-80.4378625,-159.913368,-46.678701
55,57,390,7424,0,35,-84.89567357142857,-81.533183,-159.913368,-46.678701
56,58,390,7552,0,35,-84.89567357142857,-81.533183,-159.913368,-46.678701
57,59,390,7680,0,36,-84.81805672222222,-81.817325,-159.913368,-46.678701
58,60,390,7808,0,37,-84.90076697297297,-82.101467,-159.913368,-46.678701
59,61,390,7936,0,37,-84.90076697297297,-82.101467,-159.913368,-46.678701
60,62,390,8064,0,37,-84.90076697297297,-82.101467,-159.913368,-46.678701
