Unnamed: 0,update,total_updates,T,FPS,window,mean,median,min,max,model
0,4,781,640,111,2,-111.721628,-111.721628,-116.810582,-106.632674,rnn_param_matched
1,5,781,768,113,2,-111.721628,-111.721628,-116.810582,-106.632674,rnn_param_matched
2,6,781,896,113,3,-104.00046266666668,-106.632674,-116.810582,-88.558132,rnn_param_matched
3,7,781,1024,114,3,-104.00046266666668,-106.632674,-116.810582,-88.558132,rnn_param_matched
4,8,781,1152,114,4,-103.69489825,-104.7054395,-116.810582,-88.558132,rnn_param_matched
5,9,781,1280,114,4,-103.69489825,-104.7054395,-116.810582,-88.558132,rnn_param_matched
6,10,781,1408,114,4,-103.69489825,-104.7054395,-116.810582,-88.558132,rnn_param_matched
7,11,781,1536,113,5,-94.6995672,-102.778205,-116.810582,-58.718243,rnn_param_matched
8,12,781,1664,113,5,-94.6995672,-102.778205,-116.810582,-58.718243,rnn_param_matched
9,13,781,1792,113,6,-87.59842483333334,-95.6681685,-116.810582,-52.092713,rnn_param_matched
10,14,781,1920,114,6,-87.59842483333334,-95.6681685,-116.810582,-52.092713,rnn_param_matched
11,15,781,2048,114,7,-82.93846057142856,-88.558132,-116.810582,-52.092713,rnn_param_matched
12,16,781,2176,114,7,-82.93846057142856,-88.558132,-116.810582,-52.092713,rnn_param_matched
13,17,781,2304,115,7,-82.93846057142856,-88.558132,-116.810582,-52.092713,rnn_param_matched
14,18,781,2432,115,8,-81.113955875,-78.4502775,-116.810582,-52.092713,rnn_param_matched
15,19,781,2560,115,8,-81.113955875,-78.4502775,-116.810582,-52.092713,rnn_param_matched
16,20,781,2688,115,9,-79.93191733333333,-70.475609,-116.810582,-52.092713,rnn_param_matched
17,21,781,2816,78,9,-79.93191733333333,-70.475609,-116.810582,-52.092713,rnn_param_matched
18,22,781,2944,79,10,-79.8489589,-74.788971,-116.810582,-52.092713,rnn_param_matched
19,23,781,3072,80,10,-79.8489589,-74.788971,-116.810582,-52.092713,rnn_param_matched
20,24,781,3200,81,10,-79.8489589,-74.788971,-116.810582,-52.092713,rnn_param_matched
21,25,781,3328,82,11,-78.52847872727273,-70.475609,-116.810582,-52.092713,rnn_param_matched
22,26,781,3456,82,11,-78.52847872727273,-70.475609,-116.810582,-52.092713,rnn_param_matched
23,27,781,3584,83,12,-78.71931766666667,-74.788971,-116.810582,-52.092713,rnn_param_matched
24,28,781,3712,84,12,-78.71931766666667,-74.788971,-116.810582,-52.092713,rnn_param_matched
